DT,prcp,pres,dwpt,wdir,wspd,San_Antonio,rhum,temp
2022-06-01 08:00:00,0.0,1010.8,22.3,150.0,24.1,0.465307,82.0,25.6
2022-06-01 09:00:00,0.0,1011.0,22.3,150.0,16.6,0.448479,82.0,25.6
2022-06-01 10:00:00,0.0,1011.0,22.3,150.0,16.6,0.498041,82.0,25.6
2022-06-01 11:00:00,0.0,1011.3,22.3,140.0,16.6,0.52432,82.0,25.6
2022-06-01 12:00:00,0.0,1011.6,22.9,150.0,13.0,0.526049,85.0,25.6
2022-06-01 13:00:00,0.0,1011.6,22.9,150.0,13.0,0.523744,85.0,25.6
2022-06-01 14:00:00,0.0,1012.3,22.9,120.0,18.4,0.5219,70.0,28.9
2022-06-01 15:00:00,0.0,1012.2,22.1,160.0,13.0,0.537748,65.0,29.4
2022-06-01 16:00:00,0.0,1011.8,21.6,140.0,14.8,0.578492,57.0,31.1
2022-06-01 17:00:00,0.0,1011.8,21.6,140.0,14.8,0.571923,57.0,31.1
2022-06-01 18:00:00,0.0,1010.2,19.4,140.0,16.6,0.64494,40.0,35.0
2022-06-01 19:00:00,0.0,1009.3,18.2,130.0,20.5,0.66148,36.0,35.6
2022-06-01 20:00:00,0.0,1009.0,18.3,110.0,18.4,0.714615,34.0,36.7
2022-06-01 21:00:00,0.0,1009.3,22.3,110.0,18.4,0.791436,56.0,32.2
2022-06-01 22:00:00,0.0,1009.3,22.3,100.0,27.7,0.857019,56.0,32.2
2022-06-01 23:00:00,0.0,1007.6,21.1,100.0,35.3,0.882895,52.0,32.2
2022-06-02 00:00:00,0.0,1007.8,20.5,100.0,25.9,0.863301,55.0,30.6
2022-06-02 01:00:00,0.0,1009.6,19.4,100.0,25.9,0.838117,53.0,30.0
2022-06-02 02:00:00,0.0,1009.6,19.4,130.0,33.5,0.796508,53.0,30.0
2022-06-02 03:00:00,0.0,1012.6,20.1,140.0,18.4,0.72908,63.0,27.8
2022-06-02 04:00:00,0.0,1012.3,20.5,140.0,24.1,0.642059,69.0,26.7
2022-06-02 05:00:00,0.0,1012.3,20.5,140.0,24.1,0.564258,69.0,26.7
2022-06-02 06:00:00,0.0,1012.5,21.1,170.0,20.5,0.5287,74.0,26.1
2022-06-02 07:00:00,0.0,1012.6,21.1,170.0,14.8,0.472453,76.0,25.6
2022-06-02 08:00:00,0.0,1011.9,21.1,160.0,13.0,0.447268,79.0,25.0
2022-06-02 09:00:00,0.0,1011.6,21.1,170.0,13.0,0.437125,82.0,24.4
2022-06-02 10:00:00,0.0,1012.0,21.1,200.0,11.2,0.480809,82.0,24.4
2022-06-02 11:00:00,0.0,1012.0,21.1,200.0,11.2,0.47107,82.0,24.4
2022-06-02 12:00:00,0.0,1011.9,21.7,190.0,11.2,0.475507,85.0,24.4
2022-06-02 13:00:00,0.0,1013.2,21.7,0.0,0.0,0.468073,79.0,25.6
2022-06-02 14:00:00,0.0,1013.8,20.1,210.0,13.0,0.493718,65.0,27.2
2022-06-02 15:00:00,0.0,1013.9,20.1,210.0,7.6,0.498674,59.0,28.9
2022-06-02 16:00:00,0.0,1013.5,18.8,90.0,9.4,0.564373,48.0,31.1
2022-06-02 17:00:00,0.0,1013.5,18.8,90.0,9.4,0.593649,48.0,31.1
2022-06-02 18:00:00,0.0,1013.2,18.9,70.0,20.5,0.636353,44.0,32.8
2022-06-02 19:00:00,0.0,1011.6,20.1,60.0,7.6,0.725046,49.0,32.2
2022-06-02 20:00:00,0.0,1010.7,18.9,30.0,11.2,0.742047,40.0,34.4
2022-06-02 21:00:00,0.0,1009.9,18.5,30.0,7.6,0.77651,39.0,34.4
2022-06-02 22:00:00,0.0,1009.9,18.5,70.0,7.6,0.802444,39.0,34.4
2022-06-02 23:00:00,0.0,1009.0,18.0,80.0,14.8,0.850104,39.0,33.9
2022-06-03 00:00:00,0.0,1008.9,17.3,70.0,14.8,0.811837,41.0,32.2
2022-06-03 01:00:00,0.0,1009.0,17.7,80.0,22.3,0.814258,46.0,30.6
2022-06-03 02:00:00,0.0,1010.3,18.2,60.0,16.6,0.786883,51.0,29.4
2022-06-03 03:00:00,0.0,1010.3,18.2,60.0,16.6,0.751095,51.0,29.4
2022-06-03 04:00:00,0.0,1011.6,18.2,70.0,16.6,0.683379,58.0,27.2
2022-06-03 05:00:00,0.0,1012.7,18.8,80.0,16.6,0.616067,62.0,26.7
2022-06-03 06:00:00,0.0,1012.4,19.0,100.0,14.8,0.546277,65.0,26.1
2022-06-03 07:00:00,0.0,1011.5,19.0,90.0,11.2,0.482884,65.0,26.1
2022-06-03 08:00:00,0.0,1011.5,19.0,90.0,11.2,0.462828,65.0,26.1
2022-06-03 09:00:00,0.0,1011.4,19.5,50.0,5.4,0.43678,69.0,25.6
2022-06-03 10:00:00,0.0,1011.5,19.4,50.0,11.2,0.487148,71.0,25.0
2022-06-03 11:00:00,0.0,1011.7,19.5,70.0,9.4,0.471473,74.0,24.4
2022-06-03 12:00:00,0.0,1011.7,19.5,70.0,9.4,0.483114,74.0,24.4
2022-06-03 13:00:00,0.0,1012.3,20.1,90.0,11.2,0.491989,67.0,26.7
2022-06-03 14:00:00,0.0,1012.6,19.3,90.0,7.6,0.514004,60.0,27.8
2022-06-03 15:00:00,0.0,1012.5,19.4,80.0,11.2,0.548294,55.0,29.4
2022-06-03 16:00:00,0.0,1012.4,19.5,80.0,5.4,0.595436,50.0,31.1
2022-06-03 17:00:00,0.0,1011.8,19.5,10.0,11.2,0.656236,47.0,32.2
2022-06-03 18:00:00,0.0,1011.8,19.5,10.0,11.2,0.636872,47.0,32.2
2022-06-03 19:00:00,0.0,1010.1,19.0,360.0,11.2,0.698709,43.0,33.3
2022-06-03 20:00:00,0.0,1009.6,18.2,70.0,13.0,0.744583,42.0,32.8
2022-06-03 21:00:00,0.0,1008.9,17.1,50.0,11.2,0.753343,38.0,33.3
2022-06-03 22:00:00,0.0,1008.9,17.1,50.0,11.2,0.771323,38.0,33.3
2022-06-03 23:00:00,0.0,1007.9,17.1,80.0,20.5,0.825207,38.0,33.3
2022-06-04 00:00:00,0.0,1008.1,16.7,90.0,20.5,0.822787,42.0,31.1
2022-06-04 01:00:00,0.0,1008.6,16.2,100.0,16.6,0.797314,45.0,29.4
2022-06-04 02:00:00,0.0,1009.2,16.1,70.0,9.4,0.758414,46.0,28.9
2022-06-04 03:00:00,0.0,1009.2,16.1,70.0,9.4,0.713405,46.0,28.9
2022-06-04 04:00:00,0.0,1010.2,19.0,170.0,13.0,0.649723,61.0,27.2
2022-06-04 05:00:00,0.0,1010.5,17.8,150.0,7.6,0.577513,62.0,25.6
2022-06-04 06:00:00,0.0,1010.2,18.9,100.0,7.6,0.512448,69.0,25.0
2022-06-04 07:00:00,0.0,1010.2,18.9,100.0,7.6,0.470263,69.0,25.0
2022-06-04 08:00:00,0.0,1009.7,19.0,110.0,5.4,0.450784,74.0,23.9
2022-06-04 09:00:00,0.0,1010.3,19.0,200.0,5.4,0.434647,74.0,23.9
2022-06-04 10:00:00,0.0,1010.7,19.4,200.0,7.6,0.417819,71.0,25.0
2022-06-04 11:00:00,0.0,1012.1,19.4,340.0,7.6,0.419721,84.0,22.2
2022-06-04 12:00:00,2.5,1012.1,19.4,340.0,27.7,0.377132,84.0,22.2
2022-06-04 13:00:00,0.0,1011.4,17.7,0.0,0.0,0.385777,71.0,23.3
2022-06-04 14:00:00,0.0,1010.4,17.9,110.0,7.6,0.403873,69.0,23.9
2022-06-04 15:00:00,0.0,1010.1,17.2,280.0,7.6,0.420874,56.0,26.7
2022-06-04 16:00:00,0.0,1009.8,16.8,280.0,7.6,0.431362,45.0,30.0
2022-06-04 17:00:00,0.0,1009.8,16.8,170.0,7.6,0.512102,45.0,30.0
2022-06-04 18:00:00,0.0,1008.3,16.7,190.0,13.0,0.580798,36.0,33.9
2022-06-04 19:00:00,0.0,1007.3,16.3,190.0,7.6,0.632319,35.0,33.9
2022-06-04 20:00:00,0.0,1006.5,16.9,180.0,18.4,0.689373,33.0,35.6
2022-06-04 21:00:00,0.0,1005.6,15.9,180.0,9.4,0.754553,31.0,35.6
2022-06-04 22:00:00,0.0,1005.6,15.9,140.0,9.4,0.817888,31.0,35.6
2022-06-04 23:00:00,0.0,1004.5,15.9,0.0,0.0,0.835293,32.0,35.0
2022-06-05 00:00:00,0.0,1004.6,15.8,140.0,9.4,0.819156,33.0,34.4
2022-06-05 01:00:00,0.0,1005.2,16.9,120.0,18.4,0.810224,40.0,32.2
2022-06-05 02:00:00,0.0,1006.3,20.0,120.0,18.4,0.775818,57.0,29.4
2022-06-05 03:00:00,0.0,1006.3,20.0,120.0,33.5,0.742681,57.0,29.4
2022-06-05 04:00:00,0.0,1007.3,20.0,160.0,14.8,0.695424,69.0,26.1
2022-06-05 05:00:00,0.0,1007.1,20.0,140.0,13.0,0.627651,74.0,25.0
2022-06-05 06:00:00,0.0,1006.5,20.7,150.0,11.2,0.565929,77.0,25.0
2022-06-05 07:00:00,0.0,1006.5,20.7,150.0,11.2,0.49879,77.0,25.0
2022-06-05 08:00:00,0.0,1005.7,20.5,180.0,9.4,0.458103,79.0,24.4
2022-06-05 09:00:00,0.0,1005.9,20.6,160.0,11.2,0.425484,82.0,23.9
2022-06-05 10:00:00,0.0,1006.3,20.6,190.0,7.6,0.397994,85.0,23.3
2022-06-05 11:00:00,0.0,1006.7,20.6,170.0,9.4,0.389119,85.0,23.3
2022-06-05 12:00:00,0.0,1006.7,20.6,170.0,9.4,0.361342,85.0,23.3
2022-06-05 13:00:00,0.0,1007.1,20.0,170.0,11.2,0.379495,69.0,26.1
2022-06-05 14:00:00,0.0,1006.8,18.8,170.0,14.8,0.42704,58.0,27.8
2022-06-05 15:00:00,0.0,1006.8,18.8,150.0,20.5,0.489569,53.0,29.4
2022-06-05 16:00:00,0.0,1006.4,18.0,180.0,16.6,0.552098,44.0,31.7
2022-06-05 17:00:00,0.0,1006.4,18.0,180.0,16.6,0.59411,44.0,31.7
2022-06-05 18:00:00,0.0,1004.6,17.3,160.0,20.5,0.654391,33.0,36.1
2022-06-05 19:00:00,0.0,1003.9,16.8,180.0,18.4,0.700611,32.0,36.1
2022-06-05 20:00:00,0.0,1003.2,15.0,180.0,18.4,0.747522,26.0,37.8
2022-06-05 21:00:00,0.0,1003.2,15.0,170.0,25.9,0.789592,26.0,37.8
2022-06-05 22:00:00,0.0,1001.9,13.1,160.0,31.7,0.868834,23.0,37.8
2022-06-05 23:00:00,0.0,1001.7,14.5,160.0,24.1,0.889696,26.0,37.2
2022-06-06 00:00:00,0.0,1002.3,16.3,150.0,25.9,0.893615,33.0,35.0
2022-06-06 01:00:00,0.0,1003.0,16.2,150.0,25.9,0.895228,37.0,32.8
2022-06-06 02:00:00,0.0,1003.0,16.2,150.0,35.3,0.857192,37.0,32.8
2022-06-06 03:00:00,0.0,1004.2,17.8,140.0,29.5,0.811261,51.0,28.9
2022-06-06 04:00:00,0.0,1005.0,19.3,130.0,27.7,0.730348,64.0,26.7
2022-06-06 05:00:00,0.0,1005.3,20.6,140.0,24.1,0.639292,74.0,25.6
2022-06-06 06:00:00,0.0,1005.3,20.6,140.0,24.1,0.589673,74.0,25.6
2022-06-06 07:00:00,0.0,1005.0,21.1,130.0,18.4,0.517865,82.0,24.4
2022-06-06 08:00:00,0.0,1005.0,21.1,150.0,18.4,0.486745,79.0,25.0
2022-06-06 09:00:00,0.0,1004.5,21.1,160.0,25.9,0.466229,82.0,24.4
2022-06-06 10:00:00,0.0,1004.5,21.1,160.0,25.9,0.463578,82.0,24.4
2022-06-06 11:00:00,0.0,1004.8,21.1,160.0,16.6,0.474239,82.0,24.4
2022-06-06 12:00:00,0.0,1004.8,21.1,160.0,16.6,0.484094,82.0,24.4
2022-06-06 13:00:00,0.0,1005.8,20.7,180.0,22.3,0.478965,72.0,26.1
2022-06-06 14:00:00,0.0,1006.1,20.6,190.0,25.9,0.506455,65.0,27.8
2022-06-06 15:00:00,0.0,1005.7,20.0,160.0,22.3,0.535904,55.0,30.0
2022-06-06 16:00:00,0.0,1005.7,20.0,160.0,22.3,0.578147,55.0,30.0
2022-06-06 17:00:00,0.0,1005.3,19.5,160.0,20.5,0.649262,47.0,32.2
2022-06-06 18:00:00,0.0,1003.9,19.5,190.0,22.3,0.69698,39.0,35.6
2022-06-06 19:00:00,0.0,1002.8,18.8,170.0,27.7,0.736342,33.0,37.8
2022-06-06 20:00:00,0.0,1002.2,18.2,150.0,27.7,0.766482,30.0,38.9
2022-06-06 21:00:00,0.0,1002.2,18.2,150.0,27.7,0.801867,30.0,38.9
2022-06-06 22:00:00,0.0,1001.3,17.0,160.0,20.5,0.874885,27.0,39.4
2022-06-06 23:00:00,0.0,1001.3,17.7,160.0,20.5,0.937759,29.0,38.9
2022-06-07 00:00:00,0.0,1002.0,21.1,130.0,33.5,0.976544,43.0,35.6
2022-06-07 01:00:00,0.0,1003.1,21.1,130.0,31.7,0.940929,52.0,32.2
2022-06-07 02:00:00,0.0,1003.1,21.1,130.0,31.7,0.898513,52.0,32.2
2022-06-07 03:00:00,0.0,1005.1,21.6,130.0,29.5,0.845032,69.0,27.8
2022-06-07 04:00:00,0.0,1005.6,21.0,130.0,29.5,0.747176,71.0,26.7
2022-06-07 05:00:00,0.0,1005.6,21.0,160.0,25.9,0.663612,71.0,26.7
2022-06-07 06:00:00,0.0,1005.7,21.7,140.0,25.9,0.600795,79.0,25.6
2022-06-07 07:00:00,0.0,1006.1,21.7,160.0,16.6,0.546335,82.0,25.0
2022-06-07 08:00:00,0.0,1006.3,21.1,170.0,22.3,0.513774,79.0,25.0
2022-06-07 09:00:00,0.0,1006.5,21.1,160.0,22.3,0.489396,79.0,25.0
2022-06-07 10:00:00,0.0,1006.9,21.1,180.0,14.8,0.457642,76.0,25.6
2022-06-07 11:00:00,0.0,1007.4,21.1,170.0,20.5,0.484613,79.0,25.0
2022-06-07 12:00:00,0.0,1007.4,21.1,170.0,20.5,0.481962,79.0,25.0
2022-06-07 13:00:00,0.0,1007.5,21.1,170.0,25.9,0.479772,79.0,25.0
2022-06-07 14:00:00,0.0,1008.3,21.0,180.0,20.5,0.489915,71.0,26.7
2022-06-07 15:00:00,0.0,1008.5,20.0,160.0,18.4,0.532446,55.0,30.0
2022-06-07 16:00:00,0.0,1008.5,20.0,160.0,18.4,0.580798,55.0,30.0
2022-06-07 17:00:00,0.0,1007.9,18.8,170.0,24.1,0.623213,41.0,33.9
2022-06-07 18:00:00,0.0,1007.3,18.2,130.0,25.9,0.703781,36.0,35.6
2022-06-07 19:00:00,0.0,1006.8,16.6,160.0,20.5,0.763485,28.0,38.3
2022-06-07 20:00:00,0.0,1006.2,15.3,170.0,18.4,0.803654,25.0,38.9
2022-06-07 21:00:00,0.0,1006.2,15.3,170.0,18.4,0.799965,25.0,38.9
2022-06-07 22:00:00,0.0,1005.5,15.9,120.0,27.7,0.832008,26.0,38.9
2022-06-07 23:00:00,0.0,1005.5,17.8,120.0,27.7,0.875692,32.0,37.2
2022-06-08 00:00:00,0.0,1006.5,17.2,130.0,29.5,0.928481,36.0,34.4
2022-06-08 01:00:00,0.0,1006.5,17.2,130.0,29.5,0.90174,36.0,34.4
2022-06-08 02:00:00,0.0,1008.2,20.0,130.0,25.9,0.865894,57.0,29.4
2022-06-08 03:00:00,0.0,1009.4,21.1,140.0,31.7,0.807169,67.0,27.8
2022-06-08 04:00:00,0.0,1010.0,21.7,130.0,29.5,0.733114,74.0,26.7
2022-06-08 05:00:00,0.0,1009.8,21.8,150.0,27.7,0.635373,77.0,26.1
2022-06-08 06:00:00,0.0,1009.8,21.8,150.0,27.7,0.569156,77.0,26.1
2022-06-08 07:00:00,0.0,1009.5,21.1,180.0,18.4,0.507722,76.0,25.6
2022-06-08 08:00:00,0.0,1009.6,21.1,180.0,22.3,0.4747,76.0,25.6
2022-06-08 09:00:00,0.0,1010.0,21.1,170.0,24.1,0.454991,76.0,25.6
2022-06-08 10:00:00,0.0,1010.1,21.1,170.0,20.5,0.452974,76.0,25.6
2022-06-08 11:00:00,0.0,1010.1,21.1,170.0,20.5,0.498271,76.0,25.6
2022-06-08 12:00:00,0.0,1010.9,20.6,180.0,18.4,0.488935,74.0,25.6
2022-06-08 13:00:00,0.0,1011.4,20.7,190.0,20.5,0.483748,72.0,26.1
2022-06-08 14:00:00,0.0,1011.0,20.1,190.0,20.5,0.499539,61.0,28.3
2022-06-08 15:00:00,0.0,1010.5,20.0,160.0,16.6,0.529161,57.0,29.4
2022-06-08 16:00:00,0.0,1010.5,20.0,160.0,16.6,0.538497,57.0,29.4
2022-06-08 17:00:00,0.0,1010.9,19.0,210.0,14.8,0.603792,43.0,33.3
2022-06-08 18:00:00,0.0,1010.5,18.1,210.0,11.2,0.652259,37.0,35.0
2022-06-08 19:00:00,0.0,1009.7,16.8,140.0,14.8,0.695367,32.0,36.1
2022-06-08 20:00:00,0.0,1009.6,17.3,140.0,14.8,0.780659,31.0,37.2
2022-06-08 21:00:00,0.0,1009.6,17.3,110.0,20.5,0.854311,31.0,37.2
2022-06-08 22:00:00,0.0,1008.4,16.7,80.0,20.5,0.883587,29.0,37.8
2022-06-08 23:00:00,0.0,1008.4,16.8,80.0,18.4,0.926694,31.0,36.7
2022-06-09 00:00:00,0.0,1009.0,17.3,110.0,22.3,0.922545,35.0,35.0
2022-06-09 01:00:00,0.0,1009.6,17.8,100.0,14.8,0.88497,41.0,32.8
2022-06-09 02:00:00,0.0,1009.6,17.8,100.0,14.8,0.857596,41.0,32.8
2022-06-09 03:00:00,0.0,1011.6,21.7,150.0,24.1,0.812414,65.0,28.9
2022-06-09 04:00:00,0.0,1012.0,21.6,150.0,20.5,0.753631,69.0,27.8
2022-06-09 05:00:00,0.0,1012.0,21.8,150.0,20.5,0.666148,70.0,27.8
2022-06-09 06:00:00,0.0,1012.3,21.7,160.0,13.0,0.614281,74.0,26.7
2022-06-09 07:00:00,0.0,1012.3,22.1,180.0,18.4,0.556362,76.0,26.7
2022-06-09 08:00:00,0.0,1012.3,22.1,180.0,18.4,0.516886,76.0,26.7
2022-06-09 09:00:00,0.0,1012.9,21.7,180.0,13.0,0.489281,79.0,25.6
2022-06-09 10:00:00,0.0,1013.4,21.7,180.0,9.4,0.479541,79.0,25.6
2022-06-09 11:00:00,0.0,1013.4,21.7,180.0,9.4,0.48565,79.0,25.6
2022-06-09 12:00:00,0.0,1015.0,21.8,140.0,11.2,0.474066,77.0,26.1
2022-06-09 13:00:00,0.0,1015.7,21.7,130.0,9.4,0.470493,72.0,27.2
2022-06-09 14:00:00,0.0,1015.8,20.6,140.0,7.6,0.495735,65.0,27.8
2022-06-09 15:00:00,0.0,1015.5,20.0,130.0,14.8,0.517289,57.0,29.4
2022-06-09 16:00:00,0.0,1015.5,20.0,130.0,14.8,0.560281,57.0,29.4
2022-06-09 17:00:00,0.0,1014.9,19.3,170.0,9.4,0.64592,45.0,32.8
2022-06-09 18:00:00,0.0,1013.8,18.8,154.0,7.6,0.673813,41.0,33.9
2022-06-09 19:00:00,0.0,1013.8,18.8,120.0,7.6,0.72666,41.0,33.9
2022-06-09 20:00:00,0.0,1012.9,17.6,120.0,14.8,0.776452,37.0,34.4
2022-06-09 21:00:00,0.0,1011.0,17.3,130.0,13.0,0.81737,33.0,36.1
2022-06-09 22:00:00,0.0,1010.4,17.3,110.0,20.5,0.786077,32.0,36.7
2022-06-09 23:00:00,0.0,1009.9,16.8,150.0,20.5,0.823421,31.0,36.7
2022-06-10 00:00:00,0.0,1010.1,16.8,130.0,22.3,0.912114,34.0,35.0
2022-06-10 01:00:00,0.0,1010.1,16.8,130.0,22.3,0.881628,34.0,35.0
2022-06-10 02:00:00,0.0,1011.1,20.0,150.0,31.7,0.858806,50.0,31.7
2022-06-10 03:00:00,0.0,1011.7,20.6,150.0,29.5,0.823767,57.0,30.0
2022-06-10 04:00:00,0.0,1011.8,21.8,150.0,29.5,0.740606,68.0,28.3
2022-06-10 05:00:00,0.0,1011.9,22.8,160.0,18.4,0.655717,77.0,27.2
2022-06-10 06:00:00,0.0,1011.9,22.8,160.0,18.4,0.593361,77.0,27.2
2022-06-10 07:00:00,0.0,1012.1,22.2,180.0,11.2,0.526395,79.0,26.1
2022-06-10 08:00:00,0.0,1012.8,22.3,160.0,9.4,0.49441,82.0,25.6
2022-06-10 09:00:00,0.0,1012.8,22.3,160.0,9.4,0.458564,82.0,25.6
2022-06-10 10:00:00,0.0,1013.0,22.9,170.0,13.0,0.464096,88.0,25.0
2022-06-10 11:00:00,0.0,1012.3,22.3,190.0,11.2,0.472914,82.0,25.6
2022-06-10 12:00:00,0.0,1012.4,22.2,210.0,16.6,0.469053,79.0,26.1
2022-06-10 13:00:00,0.0,1012.4,22.2,210.0,14.8,0.483921,74.0,27.2
2022-06-10 14:00:00,0.0,1013.0,21.7,210.0,11.2,0.528527,65.0,28.9
2022-06-10 15:00:00,0.0,1013.0,21.7,210.0,11.2,0.560396,65.0,28.9
2022-06-10 16:00:00,0.0,1012.5,21.1,240.0,7.6,0.613128,52.0,32.2
2022-06-10 17:00:00,0.0,1012.0,21.0,0.0,0.0,0.6537,47.0,33.9
2022-06-10 18:00:00,0.0,1011.2,20.0,0.0,7.6,0.70234,43.0,34.4
2022-06-10 19:00:00,0.0,1011.2,20.0,190.0,7.6,0.749078,43.0,34.4
2022-06-10 20:00:00,0.0,1010.1,18.2,190.0,13.0,0.752881,36.0,35.6
2022-06-10 21:00:00,0.0,1008.2,16.7,210.0,13.0,0.797775,29.0,37.8
2022-06-10 22:00:00,0.0,1007.5,16.7,180.0,13.0,0.800023,29.0,37.8
2022-06-10 23:00:00,0.0,1007.2,15.6,200.0,9.4,0.849355,27.0,37.8
2022-06-11 00:00:00,0.0,1007.3,16.3,140.0,7.6,0.910443,30.0,36.7
2022-06-11 01:00:00,0.0,1007.3,16.3,140.0,7.6,0.897764,30.0,36.7
2022-06-11 02:00:00,0.0,1008.4,20.7,140.0,11.2,0.84532,49.0,32.8
2022-06-11 03:00:00,0.0,1009.8,22.7,140.0,25.9,0.825265,61.0,31.1
2022-06-11 04:00:00,0.0,1010.2,22.7,150.0,16.6,0.784578,65.0,30.0
2022-06-11 05:00:00,0.0,1010.2,22.7,150.0,16.6,0.717785,65.0,30.0
2022-06-11 06:00:00,0.0,1010.0,22.3,170.0,18.4,0.651164,70.0,28.3
2022-06-11 07:00:00,0.0,1009.8,21.7,170.0,11.2,0.578147,72.0,27.2
2022-06-11 08:00:00,0.0,1009.7,21.0,190.0,14.8,0.52772,71.0,26.7
2022-06-11 09:00:00,0.0,1009.9,21.1,180.0,9.4,0.479023,74.0,26.1
2022-06-11 10:00:00,0.0,1009.9,21.1,180.0,9.4,0.448479,74.0,26.1
2022-06-11 11:00:00,0.0,1010.1,21.1,180.0,11.2,0.422314,76.0,25.6
2022-06-11 12:00:00,0.0,1010.6,21.7,190.0,11.2,0.403815,74.0,26.7
2022-06-11 13:00:00,0.0,1010.8,21.1,190.0,16.6,0.426579,67.0,27.8
2022-06-11 14:00:00,0.0,1010.9,20.6,190.0,16.6,0.486226,59.0,29.4
2022-06-11 15:00:00,0.0,1010.9,20.6,190.0,16.6,0.545182,59.0,29.4
2022-06-11 16:00:00,0.0,1010.5,19.4,210.0,11.2,0.604714,44.0,33.3
2022-06-11 17:00:00,0.0,1009.8,18.1,200.0,9.4,0.657734,37.0,35.0
2022-06-11 18:00:00,0.0,1009.0,18.2,150.0,5.4,0.726717,35.0,36.1
2022-06-11 19:00:00,0.0,1009.0,18.2,150.0,5.4,0.770113,35.0,36.1
2022-06-11 20:00:00,0.0,1006.6,14.8,130.0,14.8,0.756512,22.0,40.6
2022-06-11 21:00:00,0.0,1006.5,15.3,174.0,9.4,0.810627,25.0,38.9
2022-06-11 22:00:00,0.0,1006.1,15.1,180.0,7.6,0.864223,24.0,39.4
2022-06-11 23:00:00,0.0,1005.7,14.7,130.0,24.1,0.889638,24.0,38.9
