DT,dwpt,pres,prcp,rhum,temp,Donalsonville,wspd,wdir
2022-01-02 19:00:00,21.4,1010.0,1.2,66.0,28.4,-0.017241,29.5,220.0
2022-01-02 20:00:00,22.0,1010.0,4.6,71.0,27.7,0.068966,37.1,220.0
2022-01-02 21:00:00,22.4,1010.0,0.4,81.0,25.9,0.12069,29.5,210.0
2022-01-02 22:00:00,20.2,1010.0,2.3,87.0,22.5,0.189655,24.1,270.0
2022-01-02 23:00:00,20.0,1010.0,9.7,100.0,20.4,0.172414,27.7,260.0
2022-01-03 00:00:00,19.7,1010.0,34.5,96.0,19.7,0.189655,25.9,230.0
2022-01-03 01:00:00,19.3,1010.0,18.8,96.0,20.0,0.189655,14.8,230.0
2022-01-03 02:00:00,19.4,1008.0,1.0,97.0,20.1,0.172414,18.4,210.0
2022-01-03 03:00:00,18.7,1008.0,1.3,98.0,20.5,0.172414,20.5,200.0
2022-01-03 04:00:00,18.5,1012.0,2.0,98.0,18.8,0.172414,51.8,280.0
2022-01-03 05:00:00,11.7,1015.0,0.1,93.0,12.8,0.155172,50.0,290.0
2022-01-03 06:00:00,9.2,1015.0,0.0,88.0,11.1,0.137931,38.9,290.0
2022-01-03 07:00:00,6.8,1017.0,0.0,87.0,8.8,0.12069,29.5,290.0
2022-01-03 08:00:00,4.9,1018.0,0.0,86.0,7.1,0.12069,27.7,290.0
2022-01-03 09:00:00,3.3,1019.0,0.0,83.0,6.0,0.12069,40.7,290.0
2022-01-03 10:00:00,1.8,1020.0,0.0,82.0,4.6,0.137931,40.7,300.0
2022-01-03 11:00:00,1.0,1021.0,0.0,83.0,3.6,0.172414,31.7,290.0
2022-01-03 12:00:00,0.7,1022.0,0.0,83.0,3.3,0.189655,31.7,310.0
2022-01-03 13:00:00,0.2,1024.0,0.0,82.0,3.0,0.396552,31.7,310.0
2022-01-03 14:00:00,0.4,1025.0,0.0,81.0,3.3,0.465517,25.9,320.0
2022-01-03 15:00:00,0.5,1026.0,0.0,79.0,3.8,0.482759,24.1,310.0
2022-01-03 16:00:00,0.6,1026.0,0.0,77.0,4.3,0.465517,22.3,320.0
2022-01-03 17:00:00,1.0,1025.0,0.0,74.0,5.3,0.431034,20.5,310.0
2022-01-03 18:00:00,1.1,1025.0,0.0,73.0,5.6,0.431034,22.3,320.0
2022-01-03 19:00:00,1.4,1025.0,0.0,70.0,6.5,0.37931,24.1,320.0
2022-01-03 20:00:00,1.2,1025.0,0.0,66.0,7.1,0.12069,24.1,330.0
2022-01-03 21:00:00,1.1,1025.0,0.0,60.0,8.4,0.137931,18.4,360.0
2022-01-03 22:00:00,1.0,1025.0,0.0,62.0,7.8,0.293103,20.5,350.0
2022-01-03 23:00:00,1.0,1026.0,0.0,68.0,6.5,0.551724,16.6,350.0
2022-01-04 00:00:00,1.5,1026.0,0.0,77.0,5.2,0.655172,11.2,330.0
2022-01-04 01:00:00,1.3,1026.0,0.0,79.0,4.6,0.396552,18.4,350.0
2022-01-04 02:00:00,1.1,1026.0,0.0,79.0,4.4,0.396552,11.2,360.0
2022-01-04 03:00:00,0.9,1027.0,0.0,81.0,3.9,0.37931,9.4,350.0
2022-01-04 04:00:00,1.8,1027.0,0.0,95.0,2.5,0.37931,9.4,290.0
2022-01-04 05:00:00,1.7,1027.0,0.0,95.0,2.4,0.37931,11.2,300.0
2022-01-04 06:00:00,1.4,1027.0,0.0,95.0,2.1,0.362069,11.2,360.0
2022-01-04 07:00:00,0.8,1027.0,0.0,92.0,2.0,0.362069,9.4,10.0
2022-01-04 08:00:00,0.6,1027.0,0.0,92.0,1.8,0.362069,9.4,360.0
2022-01-04 09:00:00,0.7,1026.0,0.0,96.0,1.3,0.344828,5.4,360.0
2022-01-04 10:00:00,0.6,1026.0,0.0,97.0,1.0,0.37931,11.2,40.0
2022-01-04 11:00:00,0.5,1027.0,0.0,97.0,0.9,0.396552,11.2,40.0
2022-01-04 12:00:00,0.4,1027.0,0.0,97.0,0.8,0.448276,9.4,30.0
2022-01-04 13:00:00,0.9,1028.0,0.0,97.0,1.3,0.689655,9.4,50.0
2022-01-04 14:00:00,1.9,1028.0,0.0,93.0,2.9,0.689655,7.6,50.0
2022-01-04 15:00:00,3.5,1028.0,0.0,89.0,5.2,0.551724,13.0,60.0
2022-01-04 16:00:00,4.5,1027.0,0.0,79.0,7.9,0.448276,14.8,90.0
2022-01-04 17:00:00,5.2,1026.0,0.0,70.0,10.4,0.465517,11.2,70.0
2022-01-04 18:00:00,5.7,1025.0,0.0,66.0,11.9,0.465517,7.6,30.0
2022-01-04 19:00:00,6.1,1023.0,0.0,63.0,13.0,0.344828,13.0,90.0
2022-01-04 20:00:00,6.9,1023.0,0.0,64.0,13.6,0.448276,13.0,90.0
2022-01-04 21:00:00,7.0,1023.0,0.0,63.0,13.9,0.310345,16.6,70.0
2022-01-04 22:00:00,7.3,1022.0,0.0,64.0,14.0,0.344828,11.2,90.0
2022-01-04 23:00:00,7.5,1023.0,0.0,79.0,11.0,0.517241,9.4,100.0
2022-01-05 00:00:00,8.3,1022.0,0.0,87.0,10.4,0.603448,0.0,0.0
2022-01-05 01:00:00,8.4,1022.0,0.0,95.0,9.2,0.362069,9.4,260.0
2022-01-05 02:00:00,7.8,1022.0,0.0,98.0,8.1,0.344828,0.0,0.0
2022-01-05 03:00:00,8.4,1022.0,0.0,100.0,8.4,0.344828,5.4,280.0
2022-01-05 04:00:00,8.5,1021.0,0.0,96.0,9.1,0.327586,9.4,310.0
2022-01-05 05:00:00,8.7,1021.0,0.0,98.0,9.0,0.310345,0.0,0.0
2022-01-05 06:00:00,8.7,1020.0,0.0,95.0,9.5,0.293103,7.6,330.0
2022-01-05 07:00:00,9.1,1020.0,0.1,97.0,9.6,0.275862,0.0,0.0
2022-01-05 08:00:00,9.2,1020.0,0.2,96.0,9.8,0.275862,11.2,300.0
2022-01-05 09:00:00,9.2,1020.0,0.0,95.0,10.0,0.258621,9.4,310.0
2022-01-05 10:00:00,9.2,1020.0,0.0,94.0,10.1,0.241379,7.6,330.0
2022-01-05 11:00:00,9.2,1020.0,0.1,93.0,10.3,0.293103,7.6,360.0
2022-01-05 12:00:00,9.1,1020.0,0.0,91.0,10.5,0.344828,11.2,330.0
2022-01-05 13:00:00,8.8,1020.0,0.0,90.0,10.4,0.568966,9.4,360.0
2022-01-05 14:00:00,8.6,1020.0,0.0,85.0,11.0,0.534483,7.6,350.0
2022-01-05 15:00:00,8.6,1020.0,0.0,75.0,12.9,0.344828,9.4,20.0
2022-01-05 16:00:00,8.2,1019.0,0.0,62.0,15.4,0.189655,14.8,360.0
2022-01-05 17:00:00,7.6,1018.0,0.0,55.0,16.7,0.12069,14.8,300.0
2022-01-05 18:00:00,7.0,1017.0,0.0,50.0,17.5,0.103448,14.8,280.0
2022-01-05 19:00:00,7.0,1016.0,0.0,50.0,17.5,0.241379,18.4,280.0
2022-01-05 20:00:00,7.0,1016.0,0.0,52.0,16.9,0.293103,13.0,280.0
2022-01-05 21:00:00,6.5,1016.0,0.0,44.0,19.0,0.293103,13.0,290.0
2022-01-05 22:00:00,7.0,1016.0,0.0,49.0,17.9,0.396552,14.8,290.0
2022-01-05 23:00:00,7.8,1017.0,0.0,61.0,15.3,0.448276,7.6,360.0
2022-01-06 00:00:00,9.0,1017.0,0.0,76.0,13.1,0.5,0.0,0.0
2022-01-06 01:00:00,9.6,1017.0,0.0,92.0,10.8,0.241379,0.0,0.0
2022-01-06 02:00:00,8.5,1017.0,0.0,96.0,9.1,0.241379,0.0,0.0
2022-01-06 03:00:00,8.6,1017.0,0.0,98.0,8.9,0.241379,0.0,0.0
2022-01-06 04:00:00,7.4,1017.0,0.0,100.0,7.4,0.224138,0.0,0.0
2022-01-06 05:00:00,7.1,1016.0,0.0,97.0,7.5,0.224138,5.4,210.0
2022-01-06 06:00:00,7.1,1016.0,0.0,97.0,7.5,0.224138,0.0,0.0
2022-01-06 07:00:00,7.3,1017.0,0.0,91.0,6.0,0.206897,0.0,0.0
2022-01-06 08:00:00,6.5,1017.0,0.0,92.0,6.6,0.206897,7.6,290.0
2022-01-06 09:00:00,7.3,1017.0,0.0,88.0,6.3,0.206897,0.0,0.0
2022-01-06 10:00:00,7.3,1017.0,0.0,91.0,5.5,0.224138,0.0,0.0
2022-01-06 11:00:00,6.2,1017.0,0.0,94.0,5.1,0.258621,5.4,150.0
2022-01-06 12:00:00,5.9,1017.0,0.0,96.0,4.4,0.327586,7.6,90.0
2022-01-06 13:00:00,9.0,1017.0,0.0,100.0,4.8,0.534483,0.0,0.0
2022-01-06 14:00:00,8.6,1017.0,0.0,100.0,8.6,0.482759,5.4,100.0
2022-01-06 15:00:00,9.6,1017.0,0.0,81.0,12.8,0.310345,9.4,140.0
2022-01-06 16:00:00,9.5,1016.0,0.0,63.0,16.6,0.155172,14.8,150.0
2022-01-06 17:00:00,8.4,1014.0,0.0,47.0,20.1,0.12069,16.6,190.0
2022-01-06 18:00:00,8.0,1014.0,0.0,43.0,21.1,0.086207,25.9,210.0
2022-01-06 19:00:00,8.9,1013.0,0.0,46.0,21.0,0.310345,20.5,190.0
2022-01-06 20:00:00,10.4,1013.0,0.0,53.0,20.3,0.431034,13.0,210.0
2022-01-06 21:00:00,12.0,1014.0,0.1,61.0,19.7,0.465517,14.8,240.0
2022-01-06 22:00:00,14.6,1014.0,0.6,82.0,17.7,0.482759,14.8,230.0
2022-01-06 23:00:00,14.9,1013.0,4.3,87.0,15.6,0.465517,7.6,220.0
2022-01-07 00:00:00,15.3,1014.0,1.0,91.0,14.9,0.5,16.6,140.0
2022-01-07 01:00:00,15.7,1014.0,0.5,93.0,14.3,0.258621,7.6,180.0
2022-01-07 02:00:00,16.0,1014.0,0.2,94.0,14.2,0.224138,9.4,200.0
2022-01-07 03:00:00,15.8,1014.0,0.1,93.0,15.5,0.206897,11.2,210.0
2022-01-07 04:00:00,13.0,1016.0,0.0,94.0,15.9,0.189655,11.2,250.0
2022-01-07 05:00:00,13.3,1016.0,0.0,94.0,14.3,0.172414,24.1,340.0
2022-01-07 06:00:00,12.2,1018.0,0.0,94.0,13.1,0.172414,18.4,320.0
2022-01-07 07:00:00,7.7,1019.0,0.0,82.0,10.6,0.155172,24.1,350.0
2022-01-07 08:00:00,5.3,1020.0,0.0,82.0,8.2,0.172414,18.4,350.0
2022-01-07 09:00:00,3.9,1021.0,0.0,84.0,6.4,0.172414,22.3,350.0
2022-01-07 10:00:00,3.3,1022.0,0.0,88.0,5.1,0.189655,14.8,350.0
2022-01-07 11:00:00,2.7,1023.0,0.0,89.0,4.4,0.224138,16.6,360.0
2022-01-07 12:00:00,2.2,1023.0,0.0,90.0,3.7,0.310345,14.8,360.0
2022-01-07 13:00:00,1.6,1025.0,0.0,88.0,3.4,0.551724,16.6,10.0
2022-01-07 14:00:00,1.4,1026.0,0.0,81.0,4.4,0.517241,18.4,10.0
2022-01-07 15:00:00,1.0,1026.0,0.0,70.0,6.1,0.327586,20.5,40.0
2022-01-07 16:00:00,0.0,1025.0,0.0,58.0,7.8,0.189655,20.5,50.0
2022-01-07 17:00:00,-0.7,1025.0,0.0,49.0,9.5,0.12069,14.8,40.0
2022-01-07 18:00:00,-1.0,1023.0,0.0,44.0,10.8,0.086207,16.6,10.0
2022-01-07 19:00:00,-1.7,1023.0,0.0,39.0,11.8,0.068966,20.5,30.0
2022-01-07 20:00:00,-0.9,1023.0,0.0,39.0,12.7,0.068966,11.2,20.0
2022-01-07 21:00:00,-1.1,1023.0,0.0,38.0,12.9,0.12069,13.0,10.0
2022-01-07 22:00:00,-1.4,1024.0,0.0,38.0,12.6,0.258621,14.8,60.0
2022-01-07 23:00:00,0.3,1025.0,0.0,52.0,9.7,0.448276,9.4,70.0
2022-01-08 00:00:00,0.1,1025.0,0.0,53.0,9.2,0.517241,7.6,30.0
2022-01-08 01:00:00,2.6,1026.0,0.0,71.0,7.5,0.310345,0.0,0.0
2022-01-08 02:00:00,3.1,1026.0,0.0,89.0,4.8,0.275862,5.4,90.0
2022-01-08 03:00:00,2.3,1027.0,0.0,82.0,5.1,0.258621,9.4,80.0
2022-01-08 04:00:00,1.7,1027.0,0.0,79.0,5.0,0.275862,7.6,100.0
2022-01-08 05:00:00,0.7,1027.0,0.0,71.0,5.5,0.258621,5.4,40.0
2022-01-08 06:00:00,1.2,1027.0,0.0,81.0,4.2,0.241379,7.6,50.0
2022-01-08 07:00:00,0.9,1027.0,0.0,82.0,3.7,0.241379,7.6,60.0
2022-01-08 08:00:00,0.7,1027.0,0.0,80.0,3.8,0.258621,13.0,60.0
2022-01-08 09:00:00,0.8,1027.0,0.0,84.0,3.2,0.241379,9.4,60.0
2022-01-08 10:00:00,0.3,1028.0,0.0,86.0,2.4,0.258621,7.6,80.0
2022-01-08 11:00:00,0.0,1028.0,0.0,84.0,2.4,0.293103,13.0,70.0
2022-01-08 12:00:00,-0.2,1030.0,0.0,85.0,2.1,0.310345,11.2,60.0
2022-01-08 13:00:00,-0.6,1030.0,0.0,81.0,2.3,0.344828,13.0,60.0
2022-01-08 14:00:00,-0.1,1031.0,0.0,72.0,4.5,0.275862,14.8,60.0
2022-01-08 15:00:00,-0.5,1031.0,0.0,57.0,7.5,0.086207,16.6,80.0
2022-01-08 16:00:00,-0.2,1031.0,0.0,47.0,10.7,-0.017241,14.8,80.0
2022-01-08 17:00:00,0.7,1030.0,0.0,40.0,14.1,-0.12069,16.6,90.0
2022-01-08 18:00:00,3.2,1029.0,0.0,42.0,16.1,-0.224138,22.3,80.0
2022-01-08 19:00:00,5.8,1028.0,0.0,45.0,17.9,-0.258621,18.4,70.0
2022-01-08 20:00:00,6.8,1028.0,0.0,47.0,18.3,-0.189655,18.4,60.0
2022-01-08 21:00:00,8.0,1029.0,0.0,54.0,17.4,0.034483,18.4,90.0
2022-01-08 22:00:00,8.7,1029.0,0.0,56.0,17.6,0.155172,14.8,70.0
2022-01-08 23:00:00,9.2,1029.0,0.0,69.0,14.8,0.189655,14.8,70.0
2022-01-09 00:00:00,9.1,1030.0,0.0,80.0,12.5,0.241379,13.0,80.0
2022-01-09 01:00:00,9.4,1030.0,0.0,87.0,11.5,0.241379,11.2,80.0
2022-01-09 02:00:00,9.4,1030.0,0.0,94.0,10.3,0.241379,14.8,80.0
2022-01-09 03:00:00,10.0,1030.0,0.0,96.0,10.6,0.224138,13.0,90.0
2022-01-09 04:00:00,11.0,1030.0,0.0,97.0,11.5,0.224138,13.0,80.0
2022-01-09 05:00:00,10.0,1030.0,0.0,86.0,10.9,0.224138,14.8,80.0
2022-01-09 06:00:00,11.6,1029.0,0.0,88.0,11.0,0.189655,16.6,70.0
2022-01-09 07:00:00,11.5,1028.0,0.0,92.0,11.8,0.189655,14.8,80.0
2022-01-09 08:00:00,11.6,1027.0,0.0,93.0,11.8,0.189655,18.4,110.0
2022-01-09 09:00:00,11.7,1027.0,0.0,93.0,12.2,0.189655,9.4,100.0
2022-01-09 10:00:00,12.3,1028.0,0.0,94.0,11.5,0.189655,7.6,70.0
2022-01-09 11:00:00,13.0,1027.0,0.0,93.0,12.2,0.189655,11.2,80.0
2022-01-09 12:00:00,12.9,1027.0,0.0,95.0,12.0,0.206897,13.0,90.0
2022-01-09 13:00:00,12.8,1028.0,0.0,99.0,12.1,0.206897,11.2,90.0
2022-01-09 14:00:00,12.7,1028.0,0.0,99.0,12.9,0.206897,7.6,20.0
2022-01-09 15:00:00,13.6,1028.0,0.0,96.0,14.2,0.189655,0.0,0.0
2022-01-09 16:00:00,15.0,1027.0,0.0,86.0,17.4,0.103448,13.0,180.0
2022-01-09 17:00:00,16.2,1026.0,0.0,80.0,19.7,-0.017241,18.4,180.0
2022-01-09 18:00:00,16.6,1024.0,0.0,72.0,21.9,-0.189655,20.5,190.0
2022-01-09 19:00:00,17.2,1024.0,0.0,67.0,23.7,-0.224138,20.5,190.0
2022-01-09 20:00:00,17.5,1023.0,0.0,61.0,25.6,-0.103448,25.9,200.0
2022-01-09 21:00:00,17.8,1023.0,0.0,69.0,23.8,0.068966,18.4,190.0
2022-01-09 22:00:00,18.0,1023.0,0.0,71.0,23.6,0.12069,16.6,190.0
2022-01-09 23:00:00,18.3,1023.0,0.0,79.0,22.1,0.189655,11.2,200.0
2022-01-10 00:00:00,18.7,1023.0,0.0,87.0,20.9,0.224138,9.4,180.0
2022-01-10 01:00:00,18.9,1024.0,3.1,93.0,20.1,0.224138,11.2,190.0
2022-01-10 02:00:00,19.0,1024.0,2.5,97.0,19.5,0.224138,11.2,210.0
2022-01-10 03:00:00,17.0,1026.0,0.4,100.0,19.1,0.224138,13.0,220.0
2022-01-10 04:00:00,16.9,1026.0,4.6,99.0,17.1,0.206897,24.1,310.0
2022-01-10 05:00:00,17.0,1022.0,5.6,98.0,15.9,0.189655,9.4,120.0
2022-01-10 06:00:00,17.0,1023.0,0.5,98.0,15.9,0.172414,13.0,190.0
2022-01-10 07:00:00,17.0,1023.0,0.0,98.0,15.2,0.155172,9.4,260.0
2022-01-10 08:00:00,17.3,1023.0,0.0,98.0,15.0,0.155172,7.6,250.0
2022-01-10 09:00:00,17.9,1023.0,0.0,99.0,15.3,0.137931,11.2,240.0
2022-01-10 10:00:00,17.7,1023.0,0.1,99.0,15.5,0.155172,7.6,270.0
2022-01-10 11:00:00,16.9,1023.0,0.0,96.0,15.6,0.189655,7.6,270.0
2022-01-10 12:00:00,12.1,1025.0,0.5,94.0,14.1,0.241379,20.5,350.0
2022-01-10 13:00:00,12.0,1026.0,0.0,94.0,12.9,0.448276,22.3,360.0
2022-01-10 14:00:00,10.6,1027.0,0.0,87.0,12.7,0.5,24.1,360.0
2022-01-10 15:00:00,11.1,1028.0,0.0,87.0,13.2,0.396552,24.1,360.0
2022-01-10 16:00:00,7.8,1028.0,0.0,74.0,12.3,0.155172,20.5,340.0
2022-01-10 17:00:00,3.7,1027.0,0.0,52.0,13.4,0.155172,22.3,340.0
2022-01-10 18:00:00,1.7,1027.0,0.0,44.0,13.7,0.172414,25.9,360.0
2022-01-10 19:00:00,2.3,1026.0,0.0,47.0,13.4,0.206897,18.4,360.0
2022-01-10 20:00:00,1.2,1027.0,0.0,41.0,14.3,0.12069,24.1,360.0
2022-01-10 21:00:00,0.1,1027.0,0.0,40.0,13.4,0.293103,24.1,10.0
2022-01-10 22:00:00,0.0,1027.0,0.0,40.0,13.3,0.344828,16.6,20.0
2022-01-10 23:00:00,1.7,1028.0,0.0,52.0,11.2,0.5,9.4,340.0
2022-01-11 00:00:00,-0.2,1028.0,0.0,51.0,9.4,0.448276,13.0,350.0
2022-01-11 01:00:00,-1.2,1028.0,0.0,51.0,8.4,0.327586,11.2,350.0
2022-01-11 02:00:00,-1.8,1030.0,0.0,51.0,7.7,0.310345,9.4,350.0
2022-01-11 03:00:00,-3.0,1030.0,0.0,48.0,7.3,0.310345,14.8,10.0
2022-01-11 04:00:00,-3.9,1031.0,0.0,47.0,6.6,0.310345,14.8,10.0
2022-01-11 05:00:00,-4.1,1031.0,0.0,49.0,5.8,0.293103,9.4,10.0
2022-01-11 06:00:00,-4.6,1030.0,0.0,48.0,5.6,0.293103,14.8,20.0
2022-01-11 07:00:00,-4.2,1031.0,0.0,53.0,4.6,0.293103,9.4,20.0
2022-01-11 08:00:00,-3.9,1031.0,0.0,57.0,3.8,0.293103,9.4,20.0
2022-01-11 09:00:00,-3.8,1031.0,0.0,61.0,3.0,0.275862,7.6,360.0
2022-01-11 10:00:00,-3.6,1031.0,0.0,64.0,2.5,0.293103,7.6,360.0
2022-01-11 11:00:00,-3.6,1032.0,0.0,66.0,2.1,0.327586,7.6,340.0
2022-01-11 12:00:00,-3.5,1032.0,0.0,69.0,1.6,0.413793,0.0,0.0
2022-01-11 13:00:00,-4.1,1033.0,0.0,64.0,2.0,0.637931,7.6,350.0
2022-01-11 14:00:00,-3.5,1033.0,0.0,58.0,4.0,0.586207,11.2,10.0
2022-01-11 15:00:00,-6.0,1033.0,0.0,41.0,6.3,0.362069,24.1,30.0
2022-01-11 16:00:00,-6.0,1032.0,0.0,36.0,8.2,0.241379,22.3,60.0
2022-01-11 17:00:00,-4.6,1032.0,0.0,36.0,9.8,0.12069,20.5,80.0
2022-01-11 18:00:00,-4.3,1031.0,0.0,35.0,10.5,0.086207,11.2,50.0
2022-01-11 19:00:00,-3.1,1030.0,0.0,35.0,11.9,-0.034483,16.6,60.0
2022-01-11 20:00:00,-2.3,1030.0,0.0,36.0,12.4,-0.12069,13.0,80.0
2022-01-11 21:00:00,-2.6,1029.0,0.0,35.0,12.5,-0.034483,14.8,70.0
2022-01-11 22:00:00,-1.8,1030.0,0.0,38.0,12.1,0.068966,16.6,60.0
2022-01-11 23:00:00,-1.4,1030.0,0.0,46.0,9.7,0.258621,13.0,50.0
2022-01-12 00:00:00,0.3,1031.0,0.0,59.0,7.8,0.327586,11.2,30.0
2022-01-12 01:00:00,-0.1,1031.0,0.0,61.0,6.9,0.344828,11.2,40.0
2022-01-12 02:00:00,-0.2,1031.0,0.0,63.0,6.3,0.362069,13.0,30.0
2022-01-12 03:00:00,-0.6,1031.0,0.0,65.0,5.5,0.344828,11.2,30.0
2022-01-12 04:00:00,-0.3,1031.0,0.0,72.0,4.3,0.310345,5.4,60.0
2022-01-12 05:00:00,-0.2,1029.0,0.0,78.0,3.3,0.327586,9.4,60.0
2022-01-12 06:00:00,-0.1,1029.0,0.0,78.0,3.4,0.310345,9.4,60.0
2022-01-12 07:00:00,0.8,1028.0,0.0,83.0,3.4,0.310345,11.2,70.0
2022-01-12 08:00:00,1.0,1029.0,0.0,84.0,3.4,0.310345,7.6,40.0
2022-01-12 09:00:00,2.2,1028.0,0.0,91.0,3.5,0.293103,7.6,20.0
2022-01-12 10:00:00,2.3,1029.0,0.0,91.0,3.6,0.310345,11.2,60.0
2022-01-12 11:00:00,2.4,1028.0,0.0,87.0,4.4,0.344828,11.2,40.0
2022-01-12 12:00:00,2.2,1029.0,0.0,90.0,3.7,0.431034,9.4,30.0
2022-01-12 13:00:00,2.2,1029.0,0.0,91.0,3.5,0.465517,7.6,40.0
2022-01-12 14:00:00,2.0,1028.0,0.0,81.0,5.0,0.413793,13.0,60.0
2022-01-12 15:00:00,2.8,1028.0,0.0,78.0,6.4,0.37931,11.2,50.0
2022-01-12 16:00:00,3.6,1027.0,0.0,73.0,8.2,0.206897,13.0,60.0
2022-01-12 17:00:00,4.1,1026.0,0.0,61.0,11.4,0.0,14.8,60.0
2022-01-12 18:00:00,5.2,1024.0,0.0,56.0,13.8,0.12069,9.4,30.0
2022-01-12 19:00:00,5.9,1024.0,0.0,58.0,14.0,0.103448,5.4,40.0
2022-01-12 20:00:00,6.0,1023.0,0.0,57.0,14.4,0.103448,11.2,50.0
2022-01-12 21:00:00,6.4,1023.0,0.0,59.0,14.3,0.224138,5.4,20.0
2022-01-12 22:00:00,6.5,1023.0,0.0,59.0,14.4,0.224138,7.6,10.0
2022-01-12 23:00:00,6.9,1023.0,0.0,67.0,12.9,0.275862,5.4,30.0
2022-01-13 00:00:00,7.3,1023.0,0.0,74.0,11.8,0.293103,9.4,60.0
2022-01-13 01:00:00,7.7,1023.0,0.0,79.0,11.2,0.310345,9.4,40.0
2022-01-13 02:00:00,8.0,1023.0,0.0,86.0,10.2,0.293103,7.6,320.0
2022-01-13 03:00:00,7.9,1022.0,0.0,92.0,9.1,0.293103,0.0,0.0
2022-01-13 04:00:00,6.7,1022.0,0.0,97.0,7.1,0.275862,0.0,0.0
2022-01-13 05:00:00,6.0,1021.0,0.0,97.0,6.4,0.258621,0.0,0.0
2022-01-13 06:00:00,4.9,1021.0,0.0,89.0,5.9,0.241379,7.6,320.0
2022-01-13 07:00:00,5.2,1021.0,0.0,84.0,5.3,0.241379,5.4,290.0
2022-01-13 08:00:00,4.9,1020.0,0.0,86.0,4.4,0.258621,0.0,0.0
2022-01-13 09:00:00,4.5,1020.0,0.0,95.0,4.2,0.241379,7.6,300.0
2022-01-13 10:00:00,4.1,1020.0,0.0,95.0,4.4,0.258621,5.4,310.0
2022-01-13 11:00:00,3.7,1020.0,0.0,95.0,4.2,0.293103,0.0,0.0
