DT,prcp,dwpt,pres,wdir,rhum,wspd,Waianae,temp
2022-06-05 06:00:00,0.0,18.5,1017.0,38.0,70.0,10.1,0.781277,24.3
2022-06-05 07:00:00,0.0,19.1,1017.8,42.0,75.0,6.8,0.775319,23.8
2022-06-05 08:00:00,0.0,19.5,1018.5,56.0,79.0,6.1,0.699574,23.4
2022-06-05 09:00:00,0.0,20.2,1018.3,44.0,84.0,7.2,0.631489,23.1
2022-06-05 10:00:00,0.0,20.1,1018.2,48.0,85.0,7.2,0.594894,22.8
2022-06-05 11:00:00,0.0,20.1,1017.7,50.0,86.0,7.2,0.539575,22.6
2022-06-05 12:00:00,0.0,20.1,1017.0,48.0,87.0,8.3,0.497872,22.4
2022-06-05 13:00:00,0.0,20.4,1016.6,49.0,90.0,7.2,0.462979,22.1
2022-06-05 14:00:00,0.0,20.6,1016.3,53.0,91.0,7.2,0.446808,22.1
2022-06-05 15:00:00,0.0,20.4,1016.3,56.0,91.0,7.6,0.452766,21.9
2022-06-05 16:00:00,0.0,20.3,1016.4,53.0,91.0,7.2,0.462979,21.8
2022-06-05 17:00:00,0.0,19.1,1016.9,55.0,78.0,8.6,0.358298,23.1
2022-06-05 18:00:00,0.0,18.2,1017.0,72.0,66.0,8.3,0.108936,25.0
2022-06-05 19:00:00,0.0,16.8,1017.0,97.0,54.0,8.3,-0.122553,26.9
2022-06-05 20:00:00,0.0,16.1,1016.9,134.0,47.0,8.3,-0.339574,28.5
2022-06-05 21:00:00,0.0,15.7,1016.8,161.0,43.0,9.4,-0.445106,29.6
2022-06-05 22:00:00,0.0,16.7,1016.3,165.0,45.0,7.6,-0.524255,29.9
2022-06-05 23:00:00,0.0,17.8,1015.9,192.0,49.0,5.0,-0.518298,29.6
2022-06-06 00:00:00,0.0,18.1,1015.8,244.0,52.0,6.8,-0.455319,28.9
2022-06-06 01:00:00,0.0,18.2,1015.6,241.0,53.0,9.4,-0.288511,28.7
2022-06-06 02:00:00,0.1,18.9,1015.4,243.0,59.0,11.2,-0.00085092,27.6
2022-06-06 03:00:00,0.1,19.4,1015.5,243.0,64.0,10.1,0.462979,26.8
2022-06-06 04:00:00,0.1,19.6,1015.8,241.0,68.0,6.1,0.634043,26.0
2022-06-06 05:00:00,0.0,20.3,1016.7,112.0,76.0,4.7,0.837447,24.8
2022-06-06 06:00:00,0.0,19.9,1017.4,70.0,74.0,7.9,0.861277,24.8
2022-06-06 07:00:00,0.0,19.8,1018.0,73.0,75.0,9.7,0.852766,24.5
2022-06-06 08:00:00,0.0,20.6,1018.4,74.0,82.0,8.6,0.757447,23.9
2022-06-06 09:00:00,0.0,21.1,1018.6,75.0,86.0,7.6,0.671489,23.6
2022-06-06 10:00:00,0.0,21.3,1018.1,90.0,87.0,7.9,0.587234,23.6
2022-06-06 11:00:00,0.0,21.6,1017.6,94.0,90.0,6.5,0.542979,23.3
2022-06-06 12:00:00,0.0,21.9,1017.3,84.0,93.0,4.7,0.498723,23.1
2022-06-06 13:00:00,0.0,21.7,1017.1,73.0,93.0,4.3,0.477447,22.9
2022-06-06 14:00:00,0.0,21.7,1016.9,59.0,94.0,4.3,0.465532,22.7
2022-06-06 15:00:00,0.0,21.6,1017.1,61.0,94.0,4.7,0.481702,22.6
2022-06-06 16:00:00,0.0,21.7,1017.2,68.0,94.0,4.3,0.510638,22.7
2022-06-06 17:00:00,0.0,20.7,1017.8,83.0,82.0,7.6,0.369362,24.0
2022-06-06 18:00:00,0.0,19.9,1018.0,98.0,70.0,8.6,0.101277,25.8
2022-06-06 19:00:00,0.0,18.9,1018.0,109.0,59.0,8.6,-0.0970211,27.6
2022-06-06 20:00:00,0.0,17.8,1017.8,126.0,51.0,7.6,-0.342978,29.0
2022-06-06 21:00:00,0.0,18.5,1017.7,153.0,54.0,7.2,-0.45617,28.7
2022-06-06 22:00:00,0.0,19.0,1017.7,160.0,56.0,4.7,-0.397447,28.6
2022-06-06 23:00:00,0.0,19.3,1017.1,142.0,57.0,1.4,-0.252766,28.6
2022-06-07 00:00:00,0.1,19.7,1016.8,348.0,60.0,3.6,-0.371064,28.2
2022-06-07 01:00:00,0.4,20.0,1016.5,343.0,63.0,6.1,-0.133617,27.7
2022-06-07 02:00:00,0.5,19.9,1016.3,162.0,66.0,6.1,0.313192,26.8
2022-06-07 03:00:00,0.0,19.8,1016.3,91.0,65.0,6.8,0.437447,26.9
2022-06-07 04:00:00,0.0,19.0,1016.4,69.0,63.0,12.2,0.633192,26.6
2022-06-07 05:00:00,0.0,18.9,1017.1,70.0,66.0,14.0,0.851064,25.7
2022-06-07 06:00:00,0.0,20.1,1017.5,73.0,75.0,11.5,0.907234,24.8
2022-06-07 07:00:00,0.0,20.8,1018.2,78.0,81.0,9.7,0.852766,24.3
2022-06-07 08:00:00,0.0,20.8,1018.5,81.0,82.0,9.7,0.782979,24.1
2022-06-07 09:00:00,0.0,21.0,1018.6,84.0,84.0,9.4,0.698723,23.9
2022-06-07 10:00:00,0.0,20.8,1018.1,82.0,84.0,9.0,0.612766,23.7
2022-06-07 11:00:00,0.0,20.7,1017.7,81.0,84.0,8.6,0.558298,23.6
2022-06-07 12:00:00,0.0,20.8,1017.1,87.0,85.0,13.0,0.51234,23.5
2022-06-07 13:00:00,0.0,20.9,1016.8,86.0,86.0,11.5,0.492766,23.4
2022-06-07 14:00:00,0.0,20.9,1016.8,84.0,87.0,10.4,0.485106,23.2
2022-06-07 15:00:00,0.0,20.7,1016.9,82.0,87.0,9.0,0.491915,23.0
2022-06-07 16:00:00,0.0,20.8,1017.4,78.0,88.0,7.9,0.509787,22.9
2022-06-07 17:00:00,0.0,19.8,1017.8,92.0,76.0,11.5,0.398298,24.3
2022-06-07 18:00:00,0.0,19.0,1018.0,88.0,66.0,12.6,0.234894,25.8
2022-06-07 19:00:00,0.0,17.2,1018.0,99.0,53.0,11.2,-0.0706381,27.6
2022-06-07 20:00:00,0.0,15.8,1017.9,114.0,44.0,11.5,0.142979,29.3
2022-06-07 21:00:00,0.0,16.3,1017.7,114.0,44.0,10.8,0.0570213,29.9
2022-06-07 22:00:00,0.0,17.5,1017.6,96.0,49.0,13.3,0.0187235,29.3
2022-06-07 23:00:00,0.0,17.2,1017.2,77.0,49.0,12.2,0.0842554,29.0
2022-06-08 00:00:00,0.0,16.5,1016.9,62.0,47.0,9.4,-0.156596,28.9
2022-06-08 01:00:00,0.0,16.0,1016.6,68.0,45.0,6.8,-0.0842552,29.1
2022-06-08 02:00:00,0.0,15.7,1016.3,80.0,44.0,7.2,0.208511,29.2
2022-06-08 03:00:00,0.0,14.5,1016.5,71.0,43.0,13.0,0.433192,28.3
2022-06-08 04:00:00,0.0,15.5,1016.9,77.0,49.0,13.7,0.729362,27.1
2022-06-08 05:00:00,0.0,17.7,1017.2,81.0,62.0,13.0,0.801702,25.5
2022-06-08 06:00:00,0.0,18.7,1017.8,85.0,69.0,10.8,0.854468,24.8
2022-06-08 07:00:00,0.0,19.9,1018.2,85.0,77.0,11.2,0.817872,24.2
2022-06-08 08:00:00,0.0,20.4,1018.7,99.0,80.0,9.7,0.753191,24.1
2022-06-08 09:00:00,0.0,20.8,1018.8,111.0,84.0,7.6,0.650213,23.7
2022-06-08 10:00:00,0.0,20.7,1018.5,98.0,85.0,5.4,0.589787,23.4
2022-06-08 11:00:00,0.0,20.9,1018.0,78.0,87.0,5.0,0.528511,23.2
2022-06-08 12:00:00,0.0,20.3,1017.6,75.0,84.0,6.5,0.485958,23.2
2022-06-08 13:00:00,0.0,20.3,1016.9,62.0,83.0,7.6,0.468936,23.4
2022-06-08 14:00:00,0.0,20.0,1017.1,58.0,81.0,8.3,0.46383,23.4
2022-06-08 15:00:00,0.0,19.7,1017.2,63.0,80.0,7.6,0.478298,23.3
2022-06-08 16:00:00,0.0,19.6,1017.3,67.0,80.0,8.3,0.505532,23.2
2022-06-08 17:00:00,0.0,19.4,1017.7,73.0,77.0,13.0,0.392341,23.7
2022-06-08 18:00:00,0.0,19.4,1018.0,88.0,71.0,14.8,0.16766,25.0
2022-06-08 19:00:00,0.0,18.9,1017.7,99.0,63.0,18.0,-0.154894,26.5
2022-06-08 20:00:00,0.0,17.7,1017.6,106.0,54.0,16.6,-0.00255301,27.9
2022-06-08 21:00:00,0.0,17.2,1017.3,117.0,48.0,15.5,-0.409361,29.3
2022-06-08 22:00:00,0.0,16.8,1016.9,120.0,45.0,14.8,-0.508085,30.0
2022-06-08 23:00:00,0.0,16.2,1016.5,119.0,43.0,14.4,-0.469787,30.1
2022-06-09 00:00:00,0.0,16.9,1016.6,142.0,47.0,4.0,-0.365106,29.4
2022-06-09 01:00:00,0.0,18.2,1016.3,111.0,54.0,1.8,-0.226383,28.4
2022-06-09 02:00:00,0.0,18.3,1016.2,116.0,56.0,4.0,0.0280853,27.9
2022-06-09 03:00:00,0.0,18.2,1016.0,119.0,58.0,7.2,0.477447,27.2
2022-06-09 04:00:00,0.0,17.8,1016.2,111.0,58.0,10.8,0.664681,26.7
2022-06-09 05:00:00,0.0,17.8,1016.2,98.0,61.0,15.5,0.830638,25.9
2022-06-09 06:00:00,0.0,18.7,1017.0,96.0,68.0,14.0,0.894468,25.0
2022-06-09 07:00:00,0.0,19.3,1017.7,90.0,73.0,9.0,0.859575,24.5
2022-06-09 08:00:00,0.0,19.9,1018.2,75.0,78.0,8.6,0.771064,24.0
2022-06-09 09:00:00,0.0,20.0,1018.1,76.0,80.0,10.4,0.702979,23.7
2022-06-09 10:00:00,0.0,20.6,1018.0,113.0,82.0,6.1,0.617873,23.9
2022-06-09 11:00:00,0.0,21.0,1017.6,98.0,85.0,5.0,0.556596,23.7
2022-06-09 12:00:00,0.1,21.1,1017.1,84.0,87.0,5.8,0.505532,23.4
2022-06-09 13:00:00,0.0,20.2,1016.9,79.0,82.0,5.8,0.479149,23.4
2022-06-09 14:00:00,0.0,19.7,1016.7,74.0,80.0,6.1,0.47234,23.3
2022-06-09 15:00:00,0.0,20.3,1017.1,82.0,87.0,5.0,0.48,22.6
2022-06-09 16:00:00,0.0,20.0,1017.4,69.0,85.0,3.6,0.498723,22.7
2022-06-09 17:00:00,0.0,18.4,1018.0,48.0,72.0,5.8,0.356596,23.8
2022-06-09 18:00:00,0.0,16.7,1018.1,78.0,58.0,9.4,0.0978724,25.6
2022-06-09 19:00:00,0.0,15.4,1017.8,90.0,48.0,7.9,-0.164255,27.4
2022-06-09 20:00:00,0.0,14.8,1017.7,140.0,43.0,5.8,-0.139574,28.6
2022-06-09 21:00:00,0.0,14.1,1017.5,175.0,39.0,7.2,-0.291064,29.5
2022-06-09 22:00:00,0.0,16.1,1017.3,208.0,46.0,14.0,-0.246808,28.9
2022-06-09 23:00:00,0.0,16.9,1017.0,223.0,51.0,15.1,-0.117447,28.0
2022-06-10 00:00:00,0.0,16.7,1016.8,219.0,52.0,12.6,-0.0425532,27.4
2022-06-10 01:00:00,0.0,18.1,1016.1,161.0,57.0,6.5,-0.199149,27.4
2022-06-10 02:00:00,0.0,17.6,1015.8,113.0,54.0,6.5,-0.0306382,27.8
2022-06-10 03:00:00,0.0,17.3,1015.8,83.0,53.0,8.6,0.338724,27.7
2022-06-10 04:00:00,0.0,17.8,1016.1,65.0,58.0,11.9,0.64,26.8
2022-06-10 05:00:00,0.0,18.8,1016.9,64.0,68.0,14.0,0.819574,25.1
2022-06-10 06:00:00,0.0,19.5,1017.5,66.0,75.0,13.0,0.865532,24.2
2022-06-10 07:00:00,0.0,19.9,1018.0,62.0,79.0,12.2,0.798298,23.8
2022-06-10 08:00:00,0.0,20.0,1018.2,67.0,80.0,12.2,0.749787,23.7
2022-06-10 09:00:00,0.0,20.0,1018.3,74.0,80.0,12.2,0.670638,23.7
2022-06-10 10:00:00,0.0,20.1,1017.8,78.0,81.0,12.2,0.606809,23.6
2022-06-10 11:00:00,0.0,20.1,1017.5,78.0,81.0,12.2,0.551489,23.5
2022-06-10 12:00:00,0.0,20.1,1017.1,81.0,82.0,11.2,0.519149,23.3
2022-06-10 13:00:00,0.0,20.1,1016.6,83.0,83.0,9.7,0.506383,23.1
2022-06-10 14:00:00,0.0,20.2,1016.4,81.0,85.0,9.0,0.490213,22.9
2022-06-10 15:00:00,0.0,20.3,1016.6,77.0,86.0,9.0,0.495319,22.8
2022-06-10 16:00:00,0.0,20.0,1016.8,78.0,84.0,9.7,0.525106,22.8
2022-06-10 17:00:00,0.0,18.2,1017.4,76.0,71.0,13.7,0.384681,23.8
2022-06-10 18:00:00,0.0,17.2,1017.6,78.0,60.0,15.1,0.130213,25.5
2022-06-10 19:00:00,0.0,16.1,1017.7,82.0,51.0,16.6,-0.0893616,27.1
2022-06-10 20:00:00,0.0,15.4,1017.6,85.0,45.0,15.5,-0.268085,28.5
2022-06-10 21:00:00,0.0,15.6,1017.5,90.0,43.0,14.0,-0.361702,29.5
2022-06-10 22:00:00,0.0,15.5,1016.7,106.0,41.0,16.6,-0.234893,30.2
2022-06-10 23:00:00,0.0,16.0,1016.5,110.0,42.0,15.8,-0.257021,30.3
2022-06-11 00:00:00,0.0,15.9,1016.1,105.0,41.0,14.8,0.0485108,30.6
2022-06-11 01:00:00,0.0,16.3,1015.8,95.0,44.0,15.1,-0.249362,29.9
2022-06-11 02:00:00,0.0,17.1,1015.9,86.0,49.0,14.0,0.130213,28.9
2022-06-11 03:00:00,0.0,17.3,1015.9,70.0,52.0,11.5,0.362553,28.1
2022-06-11 04:00:00,0.0,17.6,1016.4,71.0,57.0,16.2,0.65617,26.8
2022-06-11 05:00:00,0.0,18.5,1017.1,63.0,66.0,16.9,0.777872,25.3
2022-06-11 06:00:00,0.0,18.9,1017.9,60.0,70.0,15.5,0.790638,24.7
2022-06-11 07:00:00,0.0,18.8,1018.4,62.0,71.0,14.4,0.771064,24.4
2022-06-11 08:00:00,0.0,19.9,1018.8,64.0,78.0,11.9,0.708085,24.0
2022-06-11 09:00:00,0.0,19.9,1018.7,63.0,79.0,11.9,0.683404,23.8
2022-06-11 10:00:00,0.0,19.8,1018.4,61.0,80.0,10.1,0.627234,23.5
2022-06-11 11:00:00,0.0,20.1,1017.8,61.0,82.0,9.7,0.580426,23.3
2022-06-11 12:00:00,0.0,20.2,1017.4,64.0,83.0,9.0,0.519149,23.2
2022-06-11 13:00:00,0.0,20.2,1016.9,63.0,83.0,9.0,0.50383,23.3
2022-06-11 14:00:00,0.0,19.9,1016.9,66.0,81.0,9.0,0.481702,23.3
2022-06-11 15:00:00,0.0,20.1,1017.0,64.0,82.0,8.6,0.498723,23.3
2022-06-11 16:00:00,0.0,20.1,1017.6,66.0,82.0,8.6,0.506383,23.3
2022-06-11 17:00:00,0.0,19.2,1018.3,71.0,75.0,12.6,0.385532,23.9
2022-06-11 18:00:00,0.0,18.6,1018.7,81.0,65.0,15.8,0.126809,25.7
2022-06-11 19:00:00,0.0,17.6,1018.6,86.0,55.0,16.9,-0.0425531,27.4
2022-06-11 20:00:00,0.0,17.1,1018.5,88.0,50.0,17.3,-0.18383,28.5
2022-06-11 21:00:00,0.0,16.3,1018.3,90.0,44.0,20.5,-0.366808,29.9
2022-06-11 22:00:00,0.0,17.0,1018.0,83.0,46.0,20.9,-0.491064,29.9
2022-06-11 23:00:00,0.0,17.5,1017.8,74.0,48.0,21.2,-0.482553,29.7
2022-06-12 00:00:00,0.0,16.8,1017.3,72.0,45.0,20.9,-0.404255,30.0
2022-06-12 01:00:00,0.0,17.1,1017.2,75.0,47.0,21.6,-0.226383,29.6
2022-06-12 02:00:00,0.0,17.3,1017.0,76.0,49.0,22.7,0.0153193,29.1
2022-06-12 03:00:00,0.0,17.4,1017.0,76.0,52.0,22.3,0.295319,28.2
2022-06-12 04:00:00,0.0,17.2,1017.6,78.0,56.0,23.4,0.555745,26.7
2022-06-12 05:00:00,0.0,19.4,1018.3,80.0,71.0,21.2,0.782127,25.0
2022-06-12 06:00:00,0.0,20.0,1019.1,82.0,76.0,16.9,0.817021,24.5
2022-06-12 07:00:00,0.0,20.3,1019.7,78.0,78.0,15.8,0.790638,24.4
2022-06-12 08:00:00,0.0,20.1,1020.3,71.0,78.0,15.1,0.755745,24.2
2022-06-12 09:00:00,0.0,20.2,1020.2,70.0,81.0,16.2,0.694468,23.7
2022-06-12 10:00:00,0.0,20.1,1020.0,71.0,81.0,15.8,0.661277,23.5
2022-06-12 11:00:00,0.0,20.2,1019.8,74.0,83.0,14.8,0.608511,23.2
2022-06-12 12:00:00,0.0,20.1,1019.5,80.0,84.0,12.2,0.56766,22.9
2022-06-12 13:00:00,0.0,20.2,1019.0,77.0,84.0,10.8,0.539575,23.1
2022-06-12 14:00:00,0.0,20.4,1018.7,81.0,84.0,11.2,0.525958,23.3
2022-06-12 15:00:00,0.0,20.2,1018.9,68.0,84.0,12.6,0.533617,23.0
