DT,prcp,pres,dwpt,rhum,temp,wdir,wspd,Waianae
2022-06-01 10:00:00,0.0,1017.3,20.9,88.0,23.0,68.0,9.4,0.582979
2022-06-01 11:00:00,0.0,1016.7,20.7,87.0,23.0,62.0,10.1,0.533617
2022-06-01 12:00:00,0.0,1016.3,20.7,88.0,22.8,59.0,9.0,0.494468
2022-06-01 13:00:00,0.0,1016.1,20.3,86.0,22.8,61.0,9.0,0.469787
2022-06-01 14:00:00,0.0,1016.0,20.2,86.0,22.7,58.0,9.4,0.481702
2022-06-01 15:00:00,0.0,1016.3,20.2,87.0,22.5,57.0,9.4,0.488511
2022-06-01 16:00:00,0.0,1016.7,20.9,90.0,22.6,59.0,8.6,0.510638
2022-06-01 17:00:00,0.0,1017.2,19.8,80.0,23.4,65.0,13.7,0.315745
2022-06-01 18:00:00,0.0,1017.4,19.5,71.0,25.1,78.0,13.7,0.0382981
2022-06-01 19:00:00,0.0,1017.4,18.7,61.0,26.8,85.0,16.6,-0.0910637
2022-06-01 20:00:00,0.0,1017.5,18.3,56.0,27.9,87.0,17.3,-0.348936
2022-06-01 21:00:00,0.0,1017.1,17.4,49.0,29.2,95.0,16.6,-0.300425
2022-06-01 22:00:00,0.0,1016.8,16.8,45.0,30.0,93.0,16.9,-0.391489
2022-06-01 23:00:00,0.0,1016.3,16.2,43.0,30.1,92.0,16.6,-0.174468
2022-06-02 00:00:00,0.0,1015.9,15.5,42.0,29.8,91.0,14.8,-0.0425531
2022-06-02 01:00:00,0.0,1015.7,15.7,42.0,30.0,90.0,13.7,-0.196596
2022-06-02 02:00:00,0.0,1015.5,15.4,44.0,28.9,59.0,9.7,0.10383
2022-06-02 03:00:00,0.0,1015.7,15.7,47.0,28.1,66.0,12.6,0.348085
2022-06-02 04:00:00,0.0,1015.9,16.0,52.0,26.7,73.0,15.1,0.653617
2022-06-02 05:00:00,0.0,1016.7,18.7,68.0,25.0,70.0,14.4,0.824681
2022-06-02 06:00:00,0.0,1017.3,20.0,78.0,24.1,66.0,12.6,0.844255
2022-06-02 07:00:00,0.0,1017.9,19.9,79.0,23.8,71.0,12.2,0.806809
2022-06-02 08:00:00,0.0,1018.4,19.7,79.0,23.6,74.0,11.9,0.731064
2022-06-02 09:00:00,0.0,1018.0,20.2,83.0,23.2,76.0,10.4,0.668085
2022-06-02 10:00:00,0.0,1017.6,20.2,84.0,23.1,80.0,8.3,0.586383
2022-06-02 11:00:00,0.0,1017.4,20.0,83.0,23.0,75.0,7.6,0.548085
2022-06-02 12:00:00,0.0,1016.9,20.3,86.0,22.8,71.0,6.8,0.48766
2022-06-02 13:00:00,0.0,1016.7,20.2,87.0,22.5,68.0,6.5,0.479149
2022-06-02 14:00:00,0.0,1016.6,20.6,90.0,22.3,62.0,6.5,0.468085
2022-06-02 15:00:00,0.0,1016.8,20.8,92.0,22.2,58.0,6.8,0.468936
2022-06-02 16:00:00,0.0,1017.2,20.8,92.0,22.2,55.0,6.5,0.483404
2022-06-02 17:00:00,0.0,1017.8,19.3,77.0,23.6,65.0,7.9,0.348936
2022-06-02 18:00:00,0.0,1018.0,18.5,65.0,25.6,79.0,11.9,0.299574
2022-06-02 19:00:00,0.0,1017.8,17.8,56.0,27.3,85.0,13.3,0.109787
2022-06-02 20:00:00,0.0,1017.5,17.1,50.0,28.5,87.0,13.0,0.0944683
2022-06-02 21:00:00,0.0,1017.3,16.4,45.0,29.6,90.0,13.0,-0.174468
2022-06-02 22:00:00,0.0,1017.0,16.1,43.0,30.0,96.0,10.4,-0.094468
2022-06-02 23:00:00,0.0,1016.4,15.7,42.0,30.0,93.0,7.2,-0.188085
2022-06-03 00:00:00,0.0,1016.2,17.0,47.0,29.5,87.0,4.7,-0.00510627
2022-06-03 01:00:00,0.0,1015.9,17.9,51.0,29.1,67.0,4.7,0.171064
2022-06-03 02:00:00,0.0,1015.9,17.9,52.0,28.7,62.0,7.6,0.317447
2022-06-03 03:00:00,0.0,1016.0,17.8,56.0,27.4,56.0,9.7,0.531915
2022-06-03 04:00:00,0.0,1016.3,18.0,60.0,26.4,68.0,11.9,0.667234
2022-06-03 05:00:00,0.0,1016.8,18.6,67.0,25.2,71.0,13.7,0.795745
2022-06-03 06:00:00,0.0,1017.2,20.0,77.0,24.3,66.0,13.3,0.80766
2022-06-03 07:00:00,0.0,1017.7,20.6,82.0,23.9,69.0,12.2,0.795745
2022-06-03 08:00:00,0.0,1018.2,20.6,84.0,23.5,70.0,11.2,0.716596
2022-06-03 09:00:00,0.0,1018.3,20.7,85.0,23.4,70.0,10.8,0.650213
2022-06-03 10:00:00,0.0,1017.8,20.6,86.0,23.1,65.0,10.4,0.577021
2022-06-03 11:00:00,0.0,1017.1,20.6,87.0,22.9,73.0,8.3,0.534468
2022-06-03 12:00:00,0.0,1016.7,20.8,89.0,22.7,70.0,7.9,0.502979
2022-06-03 13:00:00,0.0,1016.4,21.1,92.0,22.5,59.0,6.5,0.480851
2022-06-03 14:00:00,0.0,1016.4,21.1,93.0,22.3,52.0,6.1,0.47234
2022-06-03 15:00:00,0.0,1016.7,21.3,95.0,22.1,44.0,6.5,0.488511
2022-06-03 16:00:00,0.0,1016.9,21.2,93.0,22.4,38.0,5.0,0.481702
2022-06-03 17:00:00,0.0,1017.2,20.0,82.0,23.2,57.0,6.8,0.356596
2022-06-03 18:00:00,0.0,1017.6,19.5,72.0,24.9,69.0,7.6,0.120851
2022-06-03 19:00:00,0.0,1017.8,18.7,62.0,26.6,73.0,6.5,-0.0587233
2022-06-03 20:00:00,0.0,1017.6,17.7,54.0,27.9,73.0,4.0,-0.288511
2022-06-03 21:00:00,0.0,1017.5,17.5,51.0,28.6,34.0,0.7,-0.28
2022-06-03 22:00:00,0.0,1017.3,17.7,51.0,28.8,210.0,1.8,-0.318298
2022-06-03 23:00:00,0.1,1016.9,18.9,55.0,28.8,215.0,4.3,-0.295319
2022-06-04 00:00:00,0.3,1016.7,19.2,58.0,28.2,223.0,6.1,-0.0842552
2022-06-04 01:00:00,0.2,1016.5,18.7,56.0,28.3,224.0,5.0,-0.0314893
2022-06-04 02:00:00,0.0,1016.2,18.9,59.0,27.6,160.0,9.4,0.201702
2022-06-04 03:00:00,0.0,1016.2,18.6,58.0,27.6,119.0,5.8,0.388085
2022-06-04 04:00:00,0.0,1016.4,18.4,60.0,26.8,75.0,9.4,0.542128
2022-06-04 05:00:00,0.0,1016.9,18.2,64.0,25.5,59.0,13.0,0.771915
2022-06-04 06:00:00,0.0,1017.5,19.3,73.0,24.5,64.0,12.2,0.838298
2022-06-04 07:00:00,0.0,1017.8,19.8,78.0,23.9,62.0,10.1,0.791489
2022-06-04 08:00:00,0.0,1018.3,20.0,80.0,23.7,62.0,10.4,0.731915
2022-06-04 09:00:00,0.0,1018.3,20.3,83.0,23.4,65.0,9.0,0.666383
2022-06-04 10:00:00,0.0,1018.1,20.6,86.0,23.1,71.0,7.9,0.601702
2022-06-04 11:00:00,0.0,1017.6,20.9,89.0,22.8,70.0,6.8,0.554043
2022-06-04 12:00:00,0.0,1017.0,20.7,89.0,22.6,65.0,6.5,0.514042
2022-06-04 13:00:00,0.0,1016.7,21.0,92.0,22.4,60.0,5.8,0.479149
2022-06-04 14:00:00,0.0,1016.6,21.1,94.0,22.1,55.0,5.8,0.469787
2022-06-04 15:00:00,0.0,1016.7,21.1,95.0,21.9,58.0,5.8,0.464681
2022-06-04 16:00:00,0.0,1017.1,21.0,95.0,21.8,56.0,5.4,0.486809
2022-06-04 17:00:00,0.0,1017.4,19.5,80.0,23.1,61.0,7.6,0.364255
2022-06-04 18:00:00,0.0,1017.6,18.4,67.0,24.9,72.0,10.1,0.114894
2022-06-04 19:00:00,0.0,1017.5,17.2,56.0,26.7,78.0,11.2,-0.189787
2022-06-04 20:00:00,0.0,1017.4,16.1,48.0,28.1,80.0,10.8,-0.125106
2022-06-04 21:00:00,0.0,1017.4,15.2,43.0,29.0,83.0,8.6,-0.198298
2022-06-04 22:00:00,0.0,1017.0,14.4,39.0,29.8,75.0,5.8,-0.411915
2022-06-04 23:00:00,0.0,1016.6,16.1,44.0,29.6,165.0,2.2,-0.497872
2022-06-05 00:00:00,0.0,1016.4,17.0,48.0,29.1,230.0,5.0,-0.482553
2022-06-05 01:00:00,0.0,1016.2,16.7,49.0,28.4,243.0,3.2,-0.258723
2022-06-05 02:00:00,0.0,1015.9,17.4,54.0,27.5,12.0,2.2,-0.0110637
2022-06-05 03:00:00,0.0,1015.7,17.8,57.0,27.0,5.0,5.0,0.219575
2022-06-05 04:00:00,0.0,1015.8,16.6,55.0,26.4,78.0,9.7,0.561702
2022-06-05 05:00:00,0.0,1016.4,17.9,64.0,25.2,55.0,11.2,0.780426
2022-06-05 06:00:00,0.0,1017.0,18.5,70.0,24.3,38.0,10.1,0.781277
2022-06-05 07:00:00,0.0,1017.8,19.1,75.0,23.8,42.0,6.8,0.775319
2022-06-05 08:00:00,0.0,1018.5,19.5,79.0,23.4,56.0,6.1,0.699574
2022-06-05 09:00:00,0.0,1018.3,20.2,84.0,23.1,44.0,7.2,0.631489
2022-06-05 10:00:00,0.0,1018.2,20.1,85.0,22.8,48.0,7.2,0.594894
2022-06-05 11:00:00,0.0,1017.7,20.1,86.0,22.6,50.0,7.2,0.539575
2022-06-05 12:00:00,0.0,1017.0,20.1,87.0,22.4,48.0,8.3,0.497872
2022-06-05 13:00:00,0.0,1016.6,20.4,90.0,22.1,49.0,7.2,0.462979
2022-06-05 14:00:00,0.0,1016.3,20.6,91.0,22.1,53.0,7.2,0.446808
2022-06-05 15:00:00,0.0,1016.3,20.4,91.0,21.9,56.0,7.6,0.452766
2022-06-05 16:00:00,0.0,1016.4,20.3,91.0,21.8,53.0,7.2,0.462979
2022-06-05 17:00:00,0.0,1016.9,19.1,78.0,23.1,55.0,8.6,0.358298
2022-06-05 18:00:00,0.0,1017.0,18.2,66.0,25.0,72.0,8.3,0.108936
2022-06-05 19:00:00,0.0,1017.0,16.8,54.0,26.9,97.0,8.3,-0.122553
2022-06-05 20:00:00,0.0,1016.9,16.1,47.0,28.5,134.0,8.3,-0.339574
2022-06-05 21:00:00,0.0,1016.8,15.7,43.0,29.6,161.0,9.4,-0.445106
2022-06-05 22:00:00,0.0,1016.3,16.7,45.0,29.9,165.0,7.6,-0.524255
2022-06-05 23:00:00,0.0,1015.9,17.8,49.0,29.6,192.0,5.0,-0.518298
2022-06-06 00:00:00,0.0,1015.8,18.1,52.0,28.9,244.0,6.8,-0.455319
2022-06-06 01:00:00,0.0,1015.6,18.2,53.0,28.7,241.0,9.4,-0.288511
2022-06-06 02:00:00,0.1,1015.4,18.9,59.0,27.6,243.0,11.2,-0.00085092
2022-06-06 03:00:00,0.1,1015.5,19.4,64.0,26.8,243.0,10.1,0.462979
2022-06-06 04:00:00,0.1,1015.8,19.6,68.0,26.0,241.0,6.1,0.634043
2022-06-06 05:00:00,0.0,1016.7,20.3,76.0,24.8,112.0,4.7,0.837447
2022-06-06 06:00:00,0.0,1017.4,19.9,74.0,24.8,70.0,7.9,0.861277
2022-06-06 07:00:00,0.0,1018.0,19.8,75.0,24.5,73.0,9.7,0.852766
2022-06-06 08:00:00,0.0,1018.4,20.6,82.0,23.9,74.0,8.6,0.757447
2022-06-06 09:00:00,0.0,1018.6,21.1,86.0,23.6,75.0,7.6,0.671489
2022-06-06 10:00:00,0.0,1018.1,21.3,87.0,23.6,90.0,7.9,0.587234
2022-06-06 11:00:00,0.0,1017.6,21.6,90.0,23.3,94.0,6.5,0.542979
2022-06-06 12:00:00,0.0,1017.3,21.9,93.0,23.1,84.0,4.7,0.498723
2022-06-06 13:00:00,0.0,1017.1,21.7,93.0,22.9,73.0,4.3,0.477447
2022-06-06 14:00:00,0.0,1016.9,21.7,94.0,22.7,59.0,4.3,0.465532
2022-06-06 15:00:00,0.0,1017.1,21.6,94.0,22.6,61.0,4.7,0.481702
2022-06-06 16:00:00,0.0,1017.2,21.7,94.0,22.7,68.0,4.3,0.510638
2022-06-06 17:00:00,0.0,1017.8,20.7,82.0,24.0,83.0,7.6,0.369362
2022-06-06 18:00:00,0.0,1018.0,19.9,70.0,25.8,98.0,8.6,0.101277
2022-06-06 19:00:00,0.0,1018.0,18.9,59.0,27.6,109.0,8.6,-0.0970211
2022-06-06 20:00:00,0.0,1017.8,17.8,51.0,29.0,126.0,7.6,-0.342978
2022-06-06 21:00:00,0.0,1017.7,18.5,54.0,28.7,153.0,7.2,-0.45617
2022-06-06 22:00:00,0.0,1017.7,19.0,56.0,28.6,160.0,4.7,-0.397447
2022-06-06 23:00:00,0.0,1017.1,19.3,57.0,28.6,142.0,1.4,-0.252766
2022-06-07 00:00:00,0.1,1016.8,19.7,60.0,28.2,348.0,3.6,-0.371064
2022-06-07 01:00:00,0.4,1016.5,20.0,63.0,27.7,343.0,6.1,-0.133617
2022-06-07 02:00:00,0.5,1016.3,19.9,66.0,26.8,162.0,6.1,0.313192
2022-06-07 03:00:00,0.0,1016.3,19.8,65.0,26.9,91.0,6.8,0.437447
2022-06-07 04:00:00,0.0,1016.4,19.0,63.0,26.6,69.0,12.2,0.633192
2022-06-07 05:00:00,0.0,1017.1,18.9,66.0,25.7,70.0,14.0,0.851064
2022-06-07 06:00:00,0.0,1017.5,20.1,75.0,24.8,73.0,11.5,0.907234
2022-06-07 07:00:00,0.0,1018.2,20.8,81.0,24.3,78.0,9.7,0.852766
2022-06-07 08:00:00,0.0,1018.5,20.8,82.0,24.1,81.0,9.7,0.782979
2022-06-07 09:00:00,0.0,1018.6,21.0,84.0,23.9,84.0,9.4,0.698723
2022-06-07 10:00:00,0.0,1018.1,20.8,84.0,23.7,82.0,9.0,0.612766
2022-06-07 11:00:00,0.0,1017.7,20.7,84.0,23.6,81.0,8.6,0.558298
2022-06-07 12:00:00,0.0,1017.1,20.8,85.0,23.5,87.0,13.0,0.51234
2022-06-07 13:00:00,0.0,1016.8,20.9,86.0,23.4,86.0,11.5,0.492766
2022-06-07 14:00:00,0.0,1016.8,20.9,87.0,23.2,84.0,10.4,0.485106
2022-06-07 15:00:00,0.0,1016.9,20.7,87.0,23.0,82.0,9.0,0.491915
2022-06-07 16:00:00,0.0,1017.4,20.8,88.0,22.9,78.0,7.9,0.509787
2022-06-07 17:00:00,0.0,1017.8,19.8,76.0,24.3,92.0,11.5,0.398298
2022-06-07 18:00:00,0.0,1018.0,19.0,66.0,25.8,88.0,12.6,0.234894
2022-06-07 19:00:00,0.0,1018.0,17.2,53.0,27.6,99.0,11.2,-0.0706381
2022-06-07 20:00:00,0.0,1017.9,15.8,44.0,29.3,114.0,11.5,0.142979
2022-06-07 21:00:00,0.0,1017.7,16.3,44.0,29.9,114.0,10.8,0.0570213
2022-06-07 22:00:00,0.0,1017.6,17.5,49.0,29.3,96.0,13.3,0.0187235
2022-06-07 23:00:00,0.0,1017.2,17.2,49.0,29.0,77.0,12.2,0.0842554
2022-06-08 00:00:00,0.0,1016.9,16.5,47.0,28.9,62.0,9.4,-0.156596
2022-06-08 01:00:00,0.0,1016.6,16.0,45.0,29.1,68.0,6.8,-0.0842552
2022-06-08 02:00:00,0.0,1016.3,15.7,44.0,29.2,80.0,7.2,0.208511
2022-06-08 03:00:00,0.0,1016.5,14.5,43.0,28.3,71.0,13.0,0.433192
2022-06-08 04:00:00,0.0,1016.9,15.5,49.0,27.1,77.0,13.7,0.729362
2022-06-08 05:00:00,0.0,1017.2,17.7,62.0,25.5,81.0,13.0,0.801702
2022-06-08 06:00:00,0.0,1017.8,18.7,69.0,24.8,85.0,10.8,0.854468
2022-06-08 07:00:00,0.0,1018.2,19.9,77.0,24.2,85.0,11.2,0.817872
2022-06-08 08:00:00,0.0,1018.7,20.4,80.0,24.1,99.0,9.7,0.753191
2022-06-08 09:00:00,0.0,1018.8,20.8,84.0,23.7,111.0,7.6,0.650213
2022-06-08 10:00:00,0.0,1018.5,20.7,85.0,23.4,98.0,5.4,0.589787
2022-06-08 11:00:00,0.0,1018.0,20.9,87.0,23.2,78.0,5.0,0.528511
2022-06-08 12:00:00,0.0,1017.6,20.3,84.0,23.2,75.0,6.5,0.485958
2022-06-08 13:00:00,0.0,1016.9,20.3,83.0,23.4,62.0,7.6,0.468936
2022-06-08 14:00:00,0.0,1017.1,20.0,81.0,23.4,58.0,8.3,0.46383
2022-06-08 15:00:00,0.0,1017.2,19.7,80.0,23.3,63.0,7.6,0.478298
2022-06-08 16:00:00,0.0,1017.3,19.6,80.0,23.2,67.0,8.3,0.505532
2022-06-08 17:00:00,0.0,1017.7,19.4,77.0,23.7,73.0,13.0,0.392341
2022-06-08 18:00:00,0.0,1018.0,19.4,71.0,25.0,88.0,14.8,0.16766
2022-06-08 19:00:00,0.0,1017.7,18.9,63.0,26.5,99.0,18.0,-0.154894
2022-06-08 20:00:00,0.0,1017.6,17.7,54.0,27.9,106.0,16.6,-0.00255301
2022-06-08 21:00:00,0.0,1017.3,17.2,48.0,29.3,117.0,15.5,-0.409361
2022-06-08 22:00:00,0.0,1016.9,16.8,45.0,30.0,120.0,14.8,-0.508085
2022-06-08 23:00:00,0.0,1016.5,16.2,43.0,30.1,119.0,14.4,-0.469787
2022-06-09 00:00:00,0.0,1016.6,16.9,47.0,29.4,142.0,4.0,-0.365106
2022-06-09 01:00:00,0.0,1016.3,18.2,54.0,28.4,111.0,1.8,-0.226383
2022-06-09 02:00:00,0.0,1016.2,18.3,56.0,27.9,116.0,4.0,0.0280853
2022-06-09 03:00:00,0.0,1016.0,18.2,58.0,27.2,119.0,7.2,0.477447
2022-06-09 04:00:00,0.0,1016.2,17.8,58.0,26.7,111.0,10.8,0.664681
2022-06-09 05:00:00,0.0,1016.2,17.8,61.0,25.9,98.0,15.5,0.830638
2022-06-09 06:00:00,0.0,1017.0,18.7,68.0,25.0,96.0,14.0,0.894468
2022-06-09 07:00:00,0.0,1017.7,19.3,73.0,24.5,90.0,9.0,0.859575
2022-06-09 08:00:00,0.0,1018.2,19.9,78.0,24.0,75.0,8.6,0.771064
2022-06-09 09:00:00,0.0,1018.1,20.0,80.0,23.7,76.0,10.4,0.702979
2022-06-09 10:00:00,0.0,1018.0,20.6,82.0,23.9,113.0,6.1,0.617873
2022-06-09 11:00:00,0.0,1017.6,21.0,85.0,23.7,98.0,5.0,0.556596
2022-06-09 12:00:00,0.1,1017.1,21.1,87.0,23.4,84.0,5.8,0.505532
2022-06-09 13:00:00,0.0,1016.9,20.2,82.0,23.4,79.0,5.8,0.479149
2022-06-09 14:00:00,0.0,1016.7,19.7,80.0,23.3,74.0,6.1,0.47234
2022-06-09 15:00:00,0.0,1017.1,20.3,87.0,22.6,82.0,5.0,0.48
2022-06-09 16:00:00,0.0,1017.4,20.0,85.0,22.7,69.0,3.6,0.498723
2022-06-09 17:00:00,0.0,1018.0,18.4,72.0,23.8,48.0,5.8,0.356596
2022-06-09 18:00:00,0.0,1018.1,16.7,58.0,25.6,78.0,9.4,0.0978724
2022-06-09 19:00:00,0.0,1017.8,15.4,48.0,27.4,90.0,7.9,-0.164255
2022-06-09 20:00:00,0.0,1017.7,14.8,43.0,28.6,140.0,5.8,-0.139574
2022-06-09 21:00:00,0.0,1017.5,14.1,39.0,29.5,175.0,7.2,-0.291064
2022-06-09 22:00:00,0.0,1017.3,16.1,46.0,28.9,208.0,14.0,-0.246808
2022-06-09 23:00:00,0.0,1017.0,16.9,51.0,28.0,223.0,15.1,-0.117447
2022-06-10 00:00:00,0.0,1016.8,16.7,52.0,27.4,219.0,12.6,-0.0425532
2022-06-10 01:00:00,0.0,1016.1,18.1,57.0,27.4,161.0,6.5,-0.199149
2022-06-10 02:00:00,0.0,1015.8,17.6,54.0,27.8,113.0,6.5,-0.0306382
2022-06-10 03:00:00,0.0,1015.8,17.3,53.0,27.7,83.0,8.6,0.338724
2022-06-10 04:00:00,0.0,1016.1,17.8,58.0,26.8,65.0,11.9,0.64
2022-06-10 05:00:00,0.0,1016.9,18.8,68.0,25.1,64.0,14.0,0.819574
2022-06-10 06:00:00,0.0,1017.5,19.5,75.0,24.2,66.0,13.0,0.865532
2022-06-10 07:00:00,0.0,1018.0,19.9,79.0,23.8,62.0,12.2,0.798298
2022-06-10 08:00:00,0.0,1018.2,20.0,80.0,23.7,67.0,12.2,0.749787
2022-06-10 09:00:00,0.0,1018.3,20.0,80.0,23.7,74.0,12.2,0.670638
2022-06-10 10:00:00,0.0,1017.8,20.1,81.0,23.6,78.0,12.2,0.606809
2022-06-10 11:00:00,0.0,1017.5,20.1,81.0,23.5,78.0,12.2,0.551489
2022-06-10 12:00:00,0.0,1017.1,20.1,82.0,23.3,81.0,11.2,0.519149
2022-06-10 13:00:00,0.0,1016.6,20.1,83.0,23.1,83.0,9.7,0.506383
2022-06-10 14:00:00,0.0,1016.4,20.2,85.0,22.9,81.0,9.0,0.490213
2022-06-10 15:00:00,0.0,1016.6,20.3,86.0,22.8,77.0,9.0,0.495319
2022-06-10 16:00:00,0.0,1016.8,20.0,84.0,22.8,78.0,9.7,0.525106
2022-06-10 17:00:00,0.0,1017.4,18.2,71.0,23.8,76.0,13.7,0.384681
2022-06-10 18:00:00,0.0,1017.6,17.2,60.0,25.5,78.0,15.1,0.130213
2022-06-10 19:00:00,0.0,1017.7,16.1,51.0,27.1,82.0,16.6,-0.0893616
2022-06-10 20:00:00,0.0,1017.6,15.4,45.0,28.5,85.0,15.5,-0.268085
2022-06-10 21:00:00,0.0,1017.5,15.6,43.0,29.5,90.0,14.0,-0.361702
2022-06-10 22:00:00,0.0,1016.7,15.5,41.0,30.2,106.0,16.6,-0.234893
2022-06-10 23:00:00,0.0,1016.5,16.0,42.0,30.3,110.0,15.8,-0.257021
2022-06-11 00:00:00,0.0,1016.1,15.9,41.0,30.6,105.0,14.8,0.0485108
2022-06-11 01:00:00,0.0,1015.8,16.3,44.0,29.9,95.0,15.1,-0.249362
2022-06-11 02:00:00,0.0,1015.9,17.1,49.0,28.9,86.0,14.0,0.130213
2022-06-11 03:00:00,0.0,1015.9,17.3,52.0,28.1,70.0,11.5,0.362553
2022-06-11 04:00:00,0.0,1016.4,17.6,57.0,26.8,71.0,16.2,0.65617
2022-06-11 05:00:00,0.0,1017.1,18.5,66.0,25.3,63.0,16.9,0.777872
2022-06-11 06:00:00,0.0,1017.9,18.9,70.0,24.7,60.0,15.5,0.790638
2022-06-11 07:00:00,0.0,1018.4,18.8,71.0,24.4,62.0,14.4,0.771064
2022-06-11 08:00:00,0.0,1018.8,19.9,78.0,24.0,64.0,11.9,0.708085
2022-06-11 09:00:00,0.0,1018.7,19.9,79.0,23.8,63.0,11.9,0.683404
2022-06-11 10:00:00,0.0,1018.4,19.8,80.0,23.5,61.0,10.1,0.627234
2022-06-11 11:00:00,0.0,1017.8,20.1,82.0,23.3,61.0,9.7,0.580426
2022-06-11 12:00:00,0.0,1017.4,20.2,83.0,23.2,64.0,9.0,0.519149
2022-06-11 13:00:00,0.0,1016.9,20.2,83.0,23.3,63.0,9.0,0.50383
2022-06-11 14:00:00,0.0,1016.9,19.9,81.0,23.3,66.0,9.0,0.481702
2022-06-11 15:00:00,0.0,1017.0,20.1,82.0,23.3,64.0,8.6,0.498723
2022-06-11 16:00:00,0.0,1017.6,20.1,82.0,23.3,66.0,8.6,0.506383
2022-06-11 17:00:00,0.0,1018.3,19.2,75.0,23.9,71.0,12.6,0.385532
2022-06-11 18:00:00,0.0,1018.7,18.6,65.0,25.7,81.0,15.8,0.126809
2022-06-11 19:00:00,0.0,1018.6,17.6,55.0,27.4,86.0,16.9,-0.0425531
2022-06-11 20:00:00,0.0,1018.5,17.1,50.0,28.5,88.0,17.3,-0.18383
2022-06-11 21:00:00,0.0,1018.3,16.3,44.0,29.9,90.0,20.5,-0.366808
2022-06-11 22:00:00,0.0,1018.0,17.0,46.0,29.9,83.0,20.9,-0.491064
2022-06-11 23:00:00,0.0,1017.8,17.5,48.0,29.7,74.0,21.2,-0.482553
2022-06-12 00:00:00,0.0,1017.3,16.8,45.0,30.0,72.0,20.9,-0.404255
2022-06-12 01:00:00,0.0,1017.2,17.1,47.0,29.6,75.0,21.6,-0.226383
2022-06-12 02:00:00,0.0,1017.0,17.3,49.0,29.1,76.0,22.7,0.0153193
2022-06-12 03:00:00,0.0,1017.0,17.4,52.0,28.2,76.0,22.3,0.295319
2022-06-12 04:00:00,0.0,1017.6,17.2,56.0,26.7,78.0,23.4,0.555745
2022-06-12 05:00:00,0.0,1018.3,19.4,71.0,25.0,80.0,21.2,0.782127
2022-06-12 06:00:00,0.0,1019.1,20.0,76.0,24.5,82.0,16.9,0.817021
2022-06-12 07:00:00,0.0,1019.7,20.3,78.0,24.4,78.0,15.8,0.790638
2022-06-12 08:00:00,0.0,1020.3,20.1,78.0,24.2,71.0,15.1,0.755745
2022-06-12 09:00:00,0.0,1020.2,20.2,81.0,23.7,70.0,16.2,0.694468
2022-06-12 10:00:00,0.0,1020.0,20.1,81.0,23.5,71.0,15.8,0.661277
2022-06-12 11:00:00,0.0,1019.8,20.2,83.0,23.2,74.0,14.8,0.608511
2022-06-12 12:00:00,0.0,1019.5,20.1,84.0,22.9,80.0,12.2,0.56766
2022-06-12 13:00:00,0.0,1019.0,20.2,84.0,23.1,77.0,10.8,0.539575
2022-06-12 14:00:00,0.0,1018.7,20.4,84.0,23.3,81.0,11.2,0.525958
2022-06-12 15:00:00,0.0,1018.9,20.2,84.0,23.0,68.0,12.6,0.533617
