DT,prcp,dwpt,pres,rhum,temp,wspd,wdir,Waianae
2022-06-01 23:00:00,0.0,16.2,1016.3,43.0,30.1,16.6,92.0,-0.174468
2022-06-02 00:00:00,0.0,15.5,1015.9,42.0,29.8,14.8,91.0,-0.0425531
2022-06-02 01:00:00,0.0,15.7,1015.7,42.0,30.0,13.7,90.0,-0.196596
2022-06-02 02:00:00,0.0,15.4,1015.5,44.0,28.9,9.7,59.0,0.10383
2022-06-02 03:00:00,0.0,15.7,1015.7,47.0,28.1,12.6,66.0,0.348085
2022-06-02 04:00:00,0.0,16.0,1015.9,52.0,26.7,15.1,73.0,0.653617
2022-06-02 05:00:00,0.0,18.7,1016.7,68.0,25.0,14.4,70.0,0.824681
2022-06-02 06:00:00,0.0,20.0,1017.3,78.0,24.1,12.6,66.0,0.844255
2022-06-02 07:00:00,0.0,19.9,1017.9,79.0,23.8,12.2,71.0,0.806809
2022-06-02 08:00:00,0.0,19.7,1018.4,79.0,23.6,11.9,74.0,0.731064
2022-06-02 09:00:00,0.0,20.2,1018.0,83.0,23.2,10.4,76.0,0.668085
2022-06-02 10:00:00,0.0,20.2,1017.6,84.0,23.1,8.3,80.0,0.586383
2022-06-02 11:00:00,0.0,20.0,1017.4,83.0,23.0,7.6,75.0,0.548085
2022-06-02 12:00:00,0.0,20.3,1016.9,86.0,22.8,6.8,71.0,0.48766
2022-06-02 13:00:00,0.0,20.2,1016.7,87.0,22.5,6.5,68.0,0.479149
2022-06-02 14:00:00,0.0,20.6,1016.6,90.0,22.3,6.5,62.0,0.468085
2022-06-02 15:00:00,0.0,20.8,1016.8,92.0,22.2,6.8,58.0,0.468936
2022-06-02 16:00:00,0.0,20.8,1017.2,92.0,22.2,6.5,55.0,0.483404
2022-06-02 17:00:00,0.0,19.3,1017.8,77.0,23.6,7.9,65.0,0.348936
2022-06-02 18:00:00,0.0,18.5,1018.0,65.0,25.6,11.9,79.0,0.299574
2022-06-02 19:00:00,0.0,17.8,1017.8,56.0,27.3,13.3,85.0,0.109787
2022-06-02 20:00:00,0.0,17.1,1017.5,50.0,28.5,13.0,87.0,0.0944683
2022-06-02 21:00:00,0.0,16.4,1017.3,45.0,29.6,13.0,90.0,-0.174468
2022-06-02 22:00:00,0.0,16.1,1017.0,43.0,30.0,10.4,96.0,-0.094468
2022-06-02 23:00:00,0.0,15.7,1016.4,42.0,30.0,7.2,93.0,-0.188085
2022-06-03 00:00:00,0.0,17.0,1016.2,47.0,29.5,4.7,87.0,-0.00510627
2022-06-03 01:00:00,0.0,17.9,1015.9,51.0,29.1,4.7,67.0,0.171064
2022-06-03 02:00:00,0.0,17.9,1015.9,52.0,28.7,7.6,62.0,0.317447
2022-06-03 03:00:00,0.0,17.8,1016.0,56.0,27.4,9.7,56.0,0.531915
2022-06-03 04:00:00,0.0,18.0,1016.3,60.0,26.4,11.9,68.0,0.667234
2022-06-03 05:00:00,0.0,18.6,1016.8,67.0,25.2,13.7,71.0,0.795745
2022-06-03 06:00:00,0.0,20.0,1017.2,77.0,24.3,13.3,66.0,0.80766
2022-06-03 07:00:00,0.0,20.6,1017.7,82.0,23.9,12.2,69.0,0.795745
2022-06-03 08:00:00,0.0,20.6,1018.2,84.0,23.5,11.2,70.0,0.716596
2022-06-03 09:00:00,0.0,20.7,1018.3,85.0,23.4,10.8,70.0,0.650213
2022-06-03 10:00:00,0.0,20.6,1017.8,86.0,23.1,10.4,65.0,0.577021
2022-06-03 11:00:00,0.0,20.6,1017.1,87.0,22.9,8.3,73.0,0.534468
2022-06-03 12:00:00,0.0,20.8,1016.7,89.0,22.7,7.9,70.0,0.502979
2022-06-03 13:00:00,0.0,21.1,1016.4,92.0,22.5,6.5,59.0,0.480851
2022-06-03 14:00:00,0.0,21.1,1016.4,93.0,22.3,6.1,52.0,0.47234
2022-06-03 15:00:00,0.0,21.3,1016.7,95.0,22.1,6.5,44.0,0.488511
2022-06-03 16:00:00,0.0,21.2,1016.9,93.0,22.4,5.0,38.0,0.481702
2022-06-03 17:00:00,0.0,20.0,1017.2,82.0,23.2,6.8,57.0,0.356596
2022-06-03 18:00:00,0.0,19.5,1017.6,72.0,24.9,7.6,69.0,0.120851
2022-06-03 19:00:00,0.0,18.7,1017.8,62.0,26.6,6.5,73.0,-0.0587233
2022-06-03 20:00:00,0.0,17.7,1017.6,54.0,27.9,4.0,73.0,-0.288511
2022-06-03 21:00:00,0.0,17.5,1017.5,51.0,28.6,0.7,34.0,-0.28
2022-06-03 22:00:00,0.0,17.7,1017.3,51.0,28.8,1.8,210.0,-0.318298
2022-06-03 23:00:00,0.1,18.9,1016.9,55.0,28.8,4.3,215.0,-0.295319
2022-06-04 00:00:00,0.3,19.2,1016.7,58.0,28.2,6.1,223.0,-0.0842552
2022-06-04 01:00:00,0.2,18.7,1016.5,56.0,28.3,5.0,224.0,-0.0314893
2022-06-04 02:00:00,0.0,18.9,1016.2,59.0,27.6,9.4,160.0,0.201702
2022-06-04 03:00:00,0.0,18.6,1016.2,58.0,27.6,5.8,119.0,0.388085
2022-06-04 04:00:00,0.0,18.4,1016.4,60.0,26.8,9.4,75.0,0.542128
2022-06-04 05:00:00,0.0,18.2,1016.9,64.0,25.5,13.0,59.0,0.771915
2022-06-04 06:00:00,0.0,19.3,1017.5,73.0,24.5,12.2,64.0,0.838298
2022-06-04 07:00:00,0.0,19.8,1017.8,78.0,23.9,10.1,62.0,0.791489
2022-06-04 08:00:00,0.0,20.0,1018.3,80.0,23.7,10.4,62.0,0.731915
2022-06-04 09:00:00,0.0,20.3,1018.3,83.0,23.4,9.0,65.0,0.666383
2022-06-04 10:00:00,0.0,20.6,1018.1,86.0,23.1,7.9,71.0,0.601702
2022-06-04 11:00:00,0.0,20.9,1017.6,89.0,22.8,6.8,70.0,0.554043
2022-06-04 12:00:00,0.0,20.7,1017.0,89.0,22.6,6.5,65.0,0.514042
2022-06-04 13:00:00,0.0,21.0,1016.7,92.0,22.4,5.8,60.0,0.479149
2022-06-04 14:00:00,0.0,21.1,1016.6,94.0,22.1,5.8,55.0,0.469787
2022-06-04 15:00:00,0.0,21.1,1016.7,95.0,21.9,5.8,58.0,0.464681
2022-06-04 16:00:00,0.0,21.0,1017.1,95.0,21.8,5.4,56.0,0.486809
2022-06-04 17:00:00,0.0,19.5,1017.4,80.0,23.1,7.6,61.0,0.364255
2022-06-04 18:00:00,0.0,18.4,1017.6,67.0,24.9,10.1,72.0,0.114894
2022-06-04 19:00:00,0.0,17.2,1017.5,56.0,26.7,11.2,78.0,-0.189787
2022-06-04 20:00:00,0.0,16.1,1017.4,48.0,28.1,10.8,80.0,-0.125106
2022-06-04 21:00:00,0.0,15.2,1017.4,43.0,29.0,8.6,83.0,-0.198298
2022-06-04 22:00:00,0.0,14.4,1017.0,39.0,29.8,5.8,75.0,-0.411915
2022-06-04 23:00:00,0.0,16.1,1016.6,44.0,29.6,2.2,165.0,-0.497872
2022-06-05 00:00:00,0.0,17.0,1016.4,48.0,29.1,5.0,230.0,-0.482553
2022-06-05 01:00:00,0.0,16.7,1016.2,49.0,28.4,3.2,243.0,-0.258723
2022-06-05 02:00:00,0.0,17.4,1015.9,54.0,27.5,2.2,12.0,-0.0110637
2022-06-05 03:00:00,0.0,17.8,1015.7,57.0,27.0,5.0,5.0,0.219575
2022-06-05 04:00:00,0.0,16.6,1015.8,55.0,26.4,9.7,78.0,0.561702
2022-06-05 05:00:00,0.0,17.9,1016.4,64.0,25.2,11.2,55.0,0.780426
2022-06-05 06:00:00,0.0,18.5,1017.0,70.0,24.3,10.1,38.0,0.781277
2022-06-05 07:00:00,0.0,19.1,1017.8,75.0,23.8,6.8,42.0,0.775319
2022-06-05 08:00:00,0.0,19.5,1018.5,79.0,23.4,6.1,56.0,0.699574
2022-06-05 09:00:00,0.0,20.2,1018.3,84.0,23.1,7.2,44.0,0.631489
2022-06-05 10:00:00,0.0,20.1,1018.2,85.0,22.8,7.2,48.0,0.594894
2022-06-05 11:00:00,0.0,20.1,1017.7,86.0,22.6,7.2,50.0,0.539575
2022-06-05 12:00:00,0.0,20.1,1017.0,87.0,22.4,8.3,48.0,0.497872
2022-06-05 13:00:00,0.0,20.4,1016.6,90.0,22.1,7.2,49.0,0.462979
2022-06-05 14:00:00,0.0,20.6,1016.3,91.0,22.1,7.2,53.0,0.446808
2022-06-05 15:00:00,0.0,20.4,1016.3,91.0,21.9,7.6,56.0,0.452766
2022-06-05 16:00:00,0.0,20.3,1016.4,91.0,21.8,7.2,53.0,0.462979
2022-06-05 17:00:00,0.0,19.1,1016.9,78.0,23.1,8.6,55.0,0.358298
2022-06-05 18:00:00,0.0,18.2,1017.0,66.0,25.0,8.3,72.0,0.108936
2022-06-05 19:00:00,0.0,16.8,1017.0,54.0,26.9,8.3,97.0,-0.122553
2022-06-05 20:00:00,0.0,16.1,1016.9,47.0,28.5,8.3,134.0,-0.339574
2022-06-05 21:00:00,0.0,15.7,1016.8,43.0,29.6,9.4,161.0,-0.445106
2022-06-05 22:00:00,0.0,16.7,1016.3,45.0,29.9,7.6,165.0,-0.524255
2022-06-05 23:00:00,0.0,17.8,1015.9,49.0,29.6,5.0,192.0,-0.518298
2022-06-06 00:00:00,0.0,18.1,1015.8,52.0,28.9,6.8,244.0,-0.455319
2022-06-06 01:00:00,0.0,18.2,1015.6,53.0,28.7,9.4,241.0,-0.288511
2022-06-06 02:00:00,0.1,18.9,1015.4,59.0,27.6,11.2,243.0,-0.00085092
2022-06-06 03:00:00,0.1,19.4,1015.5,64.0,26.8,10.1,243.0,0.462979
2022-06-06 04:00:00,0.1,19.6,1015.8,68.0,26.0,6.1,241.0,0.634043
2022-06-06 05:00:00,0.0,20.3,1016.7,76.0,24.8,4.7,112.0,0.837447
2022-06-06 06:00:00,0.0,19.9,1017.4,74.0,24.8,7.9,70.0,0.861277
2022-06-06 07:00:00,0.0,19.8,1018.0,75.0,24.5,9.7,73.0,0.852766
2022-06-06 08:00:00,0.0,20.6,1018.4,82.0,23.9,8.6,74.0,0.757447
2022-06-06 09:00:00,0.0,21.1,1018.6,86.0,23.6,7.6,75.0,0.671489
2022-06-06 10:00:00,0.0,21.3,1018.1,87.0,23.6,7.9,90.0,0.587234
2022-06-06 11:00:00,0.0,21.6,1017.6,90.0,23.3,6.5,94.0,0.542979
2022-06-06 12:00:00,0.0,21.9,1017.3,93.0,23.1,4.7,84.0,0.498723
2022-06-06 13:00:00,0.0,21.7,1017.1,93.0,22.9,4.3,73.0,0.477447
2022-06-06 14:00:00,0.0,21.7,1016.9,94.0,22.7,4.3,59.0,0.465532
2022-06-06 15:00:00,0.0,21.6,1017.1,94.0,22.6,4.7,61.0,0.481702
2022-06-06 16:00:00,0.0,21.7,1017.2,94.0,22.7,4.3,68.0,0.510638
2022-06-06 17:00:00,0.0,20.7,1017.8,82.0,24.0,7.6,83.0,0.369362
2022-06-06 18:00:00,0.0,19.9,1018.0,70.0,25.8,8.6,98.0,0.101277
2022-06-06 19:00:00,0.0,18.9,1018.0,59.0,27.6,8.6,109.0,-0.0970211
2022-06-06 20:00:00,0.0,17.8,1017.8,51.0,29.0,7.6,126.0,-0.342978
2022-06-06 21:00:00,0.0,18.5,1017.7,54.0,28.7,7.2,153.0,-0.45617
2022-06-06 22:00:00,0.0,19.0,1017.7,56.0,28.6,4.7,160.0,-0.397447
2022-06-06 23:00:00,0.0,19.3,1017.1,57.0,28.6,1.4,142.0,-0.252766
2022-06-07 00:00:00,0.1,19.7,1016.8,60.0,28.2,3.6,348.0,-0.371064
2022-06-07 01:00:00,0.4,20.0,1016.5,63.0,27.7,6.1,343.0,-0.133617
2022-06-07 02:00:00,0.5,19.9,1016.3,66.0,26.8,6.1,162.0,0.313192
2022-06-07 03:00:00,0.0,19.8,1016.3,65.0,26.9,6.8,91.0,0.437447
2022-06-07 04:00:00,0.0,19.0,1016.4,63.0,26.6,12.2,69.0,0.633192
2022-06-07 05:00:00,0.0,18.9,1017.1,66.0,25.7,14.0,70.0,0.851064
2022-06-07 06:00:00,0.0,20.1,1017.5,75.0,24.8,11.5,73.0,0.907234
2022-06-07 07:00:00,0.0,20.8,1018.2,81.0,24.3,9.7,78.0,0.852766
2022-06-07 08:00:00,0.0,20.8,1018.5,82.0,24.1,9.7,81.0,0.782979
2022-06-07 09:00:00,0.0,21.0,1018.6,84.0,23.9,9.4,84.0,0.698723
2022-06-07 10:00:00,0.0,20.8,1018.1,84.0,23.7,9.0,82.0,0.612766
2022-06-07 11:00:00,0.0,20.7,1017.7,84.0,23.6,8.6,81.0,0.558298
2022-06-07 12:00:00,0.0,20.8,1017.1,85.0,23.5,13.0,87.0,0.51234
2022-06-07 13:00:00,0.0,20.9,1016.8,86.0,23.4,11.5,86.0,0.492766
2022-06-07 14:00:00,0.0,20.9,1016.8,87.0,23.2,10.4,84.0,0.485106
2022-06-07 15:00:00,0.0,20.7,1016.9,87.0,23.0,9.0,82.0,0.491915
2022-06-07 16:00:00,0.0,20.8,1017.4,88.0,22.9,7.9,78.0,0.509787
2022-06-07 17:00:00,0.0,19.8,1017.8,76.0,24.3,11.5,92.0,0.398298
2022-06-07 18:00:00,0.0,19.0,1018.0,66.0,25.8,12.6,88.0,0.234894
2022-06-07 19:00:00,0.0,17.2,1018.0,53.0,27.6,11.2,99.0,-0.0706381
2022-06-07 20:00:00,0.0,15.8,1017.9,44.0,29.3,11.5,114.0,0.142979
2022-06-07 21:00:00,0.0,16.3,1017.7,44.0,29.9,10.8,114.0,0.0570213
2022-06-07 22:00:00,0.0,17.5,1017.6,49.0,29.3,13.3,96.0,0.0187235
2022-06-07 23:00:00,0.0,17.2,1017.2,49.0,29.0,12.2,77.0,0.0842554
2022-06-08 00:00:00,0.0,16.5,1016.9,47.0,28.9,9.4,62.0,-0.156596
2022-06-08 01:00:00,0.0,16.0,1016.6,45.0,29.1,6.8,68.0,-0.0842552
2022-06-08 02:00:00,0.0,15.7,1016.3,44.0,29.2,7.2,80.0,0.208511
2022-06-08 03:00:00,0.0,14.5,1016.5,43.0,28.3,13.0,71.0,0.433192
2022-06-08 04:00:00,0.0,15.5,1016.9,49.0,27.1,13.7,77.0,0.729362
2022-06-08 05:00:00,0.0,17.7,1017.2,62.0,25.5,13.0,81.0,0.801702
2022-06-08 06:00:00,0.0,18.7,1017.8,69.0,24.8,10.8,85.0,0.854468
2022-06-08 07:00:00,0.0,19.9,1018.2,77.0,24.2,11.2,85.0,0.817872
2022-06-08 08:00:00,0.0,20.4,1018.7,80.0,24.1,9.7,99.0,0.753191
2022-06-08 09:00:00,0.0,20.8,1018.8,84.0,23.7,7.6,111.0,0.650213
2022-06-08 10:00:00,0.0,20.7,1018.5,85.0,23.4,5.4,98.0,0.589787
2022-06-08 11:00:00,0.0,20.9,1018.0,87.0,23.2,5.0,78.0,0.528511
2022-06-08 12:00:00,0.0,20.3,1017.6,84.0,23.2,6.5,75.0,0.485958
2022-06-08 13:00:00,0.0,20.3,1016.9,83.0,23.4,7.6,62.0,0.468936
2022-06-08 14:00:00,0.0,20.0,1017.1,81.0,23.4,8.3,58.0,0.46383
2022-06-08 15:00:00,0.0,19.7,1017.2,80.0,23.3,7.6,63.0,0.478298
2022-06-08 16:00:00,0.0,19.6,1017.3,80.0,23.2,8.3,67.0,0.505532
2022-06-08 17:00:00,0.0,19.4,1017.7,77.0,23.7,13.0,73.0,0.392341
2022-06-08 18:00:00,0.0,19.4,1018.0,71.0,25.0,14.8,88.0,0.16766
2022-06-08 19:00:00,0.0,18.9,1017.7,63.0,26.5,18.0,99.0,-0.154894
2022-06-08 20:00:00,0.0,17.7,1017.6,54.0,27.9,16.6,106.0,-0.00255301
2022-06-08 21:00:00,0.0,17.2,1017.3,48.0,29.3,15.5,117.0,-0.409361
2022-06-08 22:00:00,0.0,16.8,1016.9,45.0,30.0,14.8,120.0,-0.508085
2022-06-08 23:00:00,0.0,16.2,1016.5,43.0,30.1,14.4,119.0,-0.469787
2022-06-09 00:00:00,0.0,16.9,1016.6,47.0,29.4,4.0,142.0,-0.365106
2022-06-09 01:00:00,0.0,18.2,1016.3,54.0,28.4,1.8,111.0,-0.226383
2022-06-09 02:00:00,0.0,18.3,1016.2,56.0,27.9,4.0,116.0,0.0280853
2022-06-09 03:00:00,0.0,18.2,1016.0,58.0,27.2,7.2,119.0,0.477447
2022-06-09 04:00:00,0.0,17.8,1016.2,58.0,26.7,10.8,111.0,0.664681
2022-06-09 05:00:00,0.0,17.8,1016.2,61.0,25.9,15.5,98.0,0.830638
2022-06-09 06:00:00,0.0,18.7,1017.0,68.0,25.0,14.0,96.0,0.894468
2022-06-09 07:00:00,0.0,19.3,1017.7,73.0,24.5,9.0,90.0,0.859575
2022-06-09 08:00:00,0.0,19.9,1018.2,78.0,24.0,8.6,75.0,0.771064
2022-06-09 09:00:00,0.0,20.0,1018.1,80.0,23.7,10.4,76.0,0.702979
2022-06-09 10:00:00,0.0,20.6,1018.0,82.0,23.9,6.1,113.0,0.617873
2022-06-09 11:00:00,0.0,21.0,1017.6,85.0,23.7,5.0,98.0,0.556596
2022-06-09 12:00:00,0.1,21.1,1017.1,87.0,23.4,5.8,84.0,0.505532
2022-06-09 13:00:00,0.0,20.2,1016.9,82.0,23.4,5.8,79.0,0.479149
2022-06-09 14:00:00,0.0,19.7,1016.7,80.0,23.3,6.1,74.0,0.47234
2022-06-09 15:00:00,0.0,20.3,1017.1,87.0,22.6,5.0,82.0,0.48
2022-06-09 16:00:00,0.0,20.0,1017.4,85.0,22.7,3.6,69.0,0.498723
2022-06-09 17:00:00,0.0,18.4,1018.0,72.0,23.8,5.8,48.0,0.356596
2022-06-09 18:00:00,0.0,16.7,1018.1,58.0,25.6,9.4,78.0,0.0978724
2022-06-09 19:00:00,0.0,15.4,1017.8,48.0,27.4,7.9,90.0,-0.164255
2022-06-09 20:00:00,0.0,14.8,1017.7,43.0,28.6,5.8,140.0,-0.139574
2022-06-09 21:00:00,0.0,14.1,1017.5,39.0,29.5,7.2,175.0,-0.291064
2022-06-09 22:00:00,0.0,16.1,1017.3,46.0,28.9,14.0,208.0,-0.246808
2022-06-09 23:00:00,0.0,16.9,1017.0,51.0,28.0,15.1,223.0,-0.117447
2022-06-10 00:00:00,0.0,16.7,1016.8,52.0,27.4,12.6,219.0,-0.0425532
2022-06-10 01:00:00,0.0,18.1,1016.1,57.0,27.4,6.5,161.0,-0.199149
2022-06-10 02:00:00,0.0,17.6,1015.8,54.0,27.8,6.5,113.0,-0.0306382
2022-06-10 03:00:00,0.0,17.3,1015.8,53.0,27.7,8.6,83.0,0.338724
2022-06-10 04:00:00,0.0,17.8,1016.1,58.0,26.8,11.9,65.0,0.64
2022-06-10 05:00:00,0.0,18.8,1016.9,68.0,25.1,14.0,64.0,0.819574
2022-06-10 06:00:00,0.0,19.5,1017.5,75.0,24.2,13.0,66.0,0.865532
2022-06-10 07:00:00,0.0,19.9,1018.0,79.0,23.8,12.2,62.0,0.798298
2022-06-10 08:00:00,0.0,20.0,1018.2,80.0,23.7,12.2,67.0,0.749787
2022-06-10 09:00:00,0.0,20.0,1018.3,80.0,23.7,12.2,74.0,0.670638
2022-06-10 10:00:00,0.0,20.1,1017.8,81.0,23.6,12.2,78.0,0.606809
2022-06-10 11:00:00,0.0,20.1,1017.5,81.0,23.5,12.2,78.0,0.551489
2022-06-10 12:00:00,0.0,20.1,1017.1,82.0,23.3,11.2,81.0,0.519149
2022-06-10 13:00:00,0.0,20.1,1016.6,83.0,23.1,9.7,83.0,0.506383
2022-06-10 14:00:00,0.0,20.2,1016.4,85.0,22.9,9.0,81.0,0.490213
2022-06-10 15:00:00,0.0,20.3,1016.6,86.0,22.8,9.0,77.0,0.495319
2022-06-10 16:00:00,0.0,20.0,1016.8,84.0,22.8,9.7,78.0,0.525106
2022-06-10 17:00:00,0.0,18.2,1017.4,71.0,23.8,13.7,76.0,0.384681
2022-06-10 18:00:00,0.0,17.2,1017.6,60.0,25.5,15.1,78.0,0.130213
2022-06-10 19:00:00,0.0,16.1,1017.7,51.0,27.1,16.6,82.0,-0.0893616
2022-06-10 20:00:00,0.0,15.4,1017.6,45.0,28.5,15.5,85.0,-0.268085
2022-06-10 21:00:00,0.0,15.6,1017.5,43.0,29.5,14.0,90.0,-0.361702
2022-06-10 22:00:00,0.0,15.5,1016.7,41.0,30.2,16.6,106.0,-0.234893
2022-06-10 23:00:00,0.0,16.0,1016.5,42.0,30.3,15.8,110.0,-0.257021
2022-06-11 00:00:00,0.0,15.9,1016.1,41.0,30.6,14.8,105.0,0.0485108
2022-06-11 01:00:00,0.0,16.3,1015.8,44.0,29.9,15.1,95.0,-0.249362
2022-06-11 02:00:00,0.0,17.1,1015.9,49.0,28.9,14.0,86.0,0.130213
2022-06-11 03:00:00,0.0,17.3,1015.9,52.0,28.1,11.5,70.0,0.362553
2022-06-11 04:00:00,0.0,17.6,1016.4,57.0,26.8,16.2,71.0,0.65617
2022-06-11 05:00:00,0.0,18.5,1017.1,66.0,25.3,16.9,63.0,0.777872
2022-06-11 06:00:00,0.0,18.9,1017.9,70.0,24.7,15.5,60.0,0.790638
2022-06-11 07:00:00,0.0,18.8,1018.4,71.0,24.4,14.4,62.0,0.771064
2022-06-11 08:00:00,0.0,19.9,1018.8,78.0,24.0,11.9,64.0,0.708085
2022-06-11 09:00:00,0.0,19.9,1018.7,79.0,23.8,11.9,63.0,0.683404
2022-06-11 10:00:00,0.0,19.8,1018.4,80.0,23.5,10.1,61.0,0.627234
2022-06-11 11:00:00,0.0,20.1,1017.8,82.0,23.3,9.7,61.0,0.580426
2022-06-11 12:00:00,0.0,20.2,1017.4,83.0,23.2,9.0,64.0,0.519149
2022-06-11 13:00:00,0.0,20.2,1016.9,83.0,23.3,9.0,63.0,0.50383
2022-06-11 14:00:00,0.0,19.9,1016.9,81.0,23.3,9.0,66.0,0.481702
2022-06-11 15:00:00,0.0,20.1,1017.0,82.0,23.3,8.6,64.0,0.498723
2022-06-11 16:00:00,0.0,20.1,1017.6,82.0,23.3,8.6,66.0,0.506383
2022-06-11 17:00:00,0.0,19.2,1018.3,75.0,23.9,12.6,71.0,0.385532
2022-06-11 18:00:00,0.0,18.6,1018.7,65.0,25.7,15.8,81.0,0.126809
2022-06-11 19:00:00,0.0,17.6,1018.6,55.0,27.4,16.9,86.0,-0.0425531
2022-06-11 20:00:00,0.0,17.1,1018.5,50.0,28.5,17.3,88.0,-0.18383
2022-06-11 21:00:00,0.0,16.3,1018.3,44.0,29.9,20.5,90.0,-0.366808
2022-06-11 22:00:00,0.0,17.0,1018.0,46.0,29.9,20.9,83.0,-0.491064
2022-06-11 23:00:00,0.0,17.5,1017.8,48.0,29.7,21.2,74.0,-0.482553
2022-06-12 00:00:00,0.0,16.8,1017.3,45.0,30.0,20.9,72.0,-0.404255
2022-06-12 01:00:00,0.0,17.1,1017.2,47.0,29.6,21.6,75.0,-0.226383
2022-06-12 02:00:00,0.0,17.3,1017.0,49.0,29.1,22.7,76.0,0.0153193
2022-06-12 03:00:00,0.0,17.4,1017.0,52.0,28.2,22.3,76.0,0.295319
2022-06-12 04:00:00,0.0,17.2,1017.6,56.0,26.7,23.4,78.0,0.555745
2022-06-12 05:00:00,0.0,19.4,1018.3,71.0,25.0,21.2,80.0,0.782127
2022-06-12 06:00:00,0.0,20.0,1019.1,76.0,24.5,16.9,82.0,0.817021
2022-06-12 07:00:00,0.0,20.3,1019.7,78.0,24.4,15.8,78.0,0.790638
2022-06-12 08:00:00,0.0,20.1,1020.3,78.0,24.2,15.1,71.0,0.755745
2022-06-12 09:00:00,0.0,20.2,1020.2,81.0,23.7,16.2,70.0,0.694468
2022-06-12 10:00:00,0.0,20.1,1020.0,81.0,23.5,15.8,71.0,0.661277
2022-06-12 11:00:00,0.0,20.2,1019.8,83.0,23.2,14.8,74.0,0.608511
2022-06-12 12:00:00,0.0,20.1,1019.5,84.0,22.9,12.2,80.0,0.56766
2022-06-12 13:00:00,0.0,20.2,1019.0,84.0,23.1,10.8,77.0,0.539575
2022-06-12 14:00:00,0.0,20.4,1018.7,84.0,23.3,11.2,81.0,0.525958
2022-06-12 15:00:00,0.0,20.2,1018.9,84.0,23.0,12.6,68.0,0.533617
