DT,prcp,dwpt,pres,rhum,temp,wspd,Donalsonville,wdir
2022-01-04 08:00:00,0.0,0.6,1027.0,92.0,1.8,9.4,0.362069,360.0
2022-01-04 09:00:00,0.0,0.7,1026.0,96.0,1.3,5.4,0.344828,360.0
2022-01-04 10:00:00,0.0,0.6,1026.0,97.0,1.0,11.2,0.37931,40.0
2022-01-04 11:00:00,0.0,0.5,1027.0,97.0,0.9,11.2,0.396552,40.0
2022-01-04 12:00:00,0.0,0.4,1027.0,97.0,0.8,9.4,0.448276,30.0
2022-01-04 13:00:00,0.0,0.9,1028.0,97.0,1.3,9.4,0.689655,50.0
2022-01-04 14:00:00,0.0,1.9,1028.0,93.0,2.9,7.6,0.689655,50.0
2022-01-04 15:00:00,0.0,3.5,1028.0,89.0,5.2,13.0,0.551724,60.0
2022-01-04 16:00:00,0.0,4.5,1027.0,79.0,7.9,14.8,0.448276,90.0
2022-01-04 17:00:00,0.0,5.2,1026.0,70.0,10.4,11.2,0.465517,70.0
2022-01-04 18:00:00,0.0,5.7,1025.0,66.0,11.9,7.6,0.465517,30.0
2022-01-04 19:00:00,0.0,6.1,1023.0,63.0,13.0,13.0,0.344828,90.0
2022-01-04 20:00:00,0.0,6.9,1023.0,64.0,13.6,13.0,0.448276,90.0
2022-01-04 21:00:00,0.0,7.0,1023.0,63.0,13.9,16.6,0.310345,70.0
2022-01-04 22:00:00,0.0,7.3,1023.0,64.0,14.0,11.2,0.344828,90.0
2022-01-04 23:00:00,0.0,7.5,1023.0,79.0,11.0,9.4,0.517241,100.0
2022-01-05 00:00:00,0.0,8.3,1022.0,87.0,10.4,0.0,0.603448,0.0
2022-01-05 01:00:00,0.0,8.4,1022.0,95.0,9.2,9.4,0.362069,260.0
2022-01-05 02:00:00,0.0,7.8,1022.0,98.0,8.1,0.0,0.344828,0.0
2022-01-05 03:00:00,0.0,8.4,1022.0,100.0,8.4,5.4,0.344828,280.0
2022-01-05 04:00:00,0.0,8.5,1021.0,96.0,9.1,9.4,0.327586,310.0
2022-01-05 05:00:00,0.0,8.7,1021.0,98.0,9.0,0.0,0.310345,0.0
2022-01-05 06:00:00,0.0,8.7,1020.0,95.0,9.5,7.6,0.293103,330.0
2022-01-05 07:00:00,0.1,9.1,1020.0,97.0,9.6,0.0,0.275862,0.0
2022-01-05 08:00:00,0.2,9.2,1020.0,96.0,9.8,11.2,0.275862,300.0
2022-01-05 09:00:00,0.0,9.2,1020.0,95.0,10.0,9.4,0.258621,310.0
2022-01-05 10:00:00,0.0,9.2,1020.0,94.0,10.1,7.6,0.241379,330.0
2022-01-05 11:00:00,0.1,9.2,1020.0,93.0,10.3,7.6,0.293103,360.0
2022-01-05 12:00:00,0.0,9.1,1020.0,91.0,10.5,11.2,0.344828,330.0
2022-01-05 13:00:00,0.0,8.8,1020.0,90.0,10.4,9.4,0.568966,360.0
2022-01-05 14:00:00,0.0,8.6,1020.0,85.0,11.0,7.6,0.534483,350.0
2022-01-05 15:00:00,0.0,8.6,1020.0,75.0,12.9,9.4,0.344828,20.0
2022-01-05 16:00:00,0.0,8.2,1019.0,62.0,15.4,14.8,0.189655,360.0
2022-01-05 17:00:00,0.0,7.6,1018.0,55.0,16.7,14.8,0.12069,300.0
2022-01-05 18:00:00,0.0,7.0,1017.0,50.0,17.5,14.8,0.103448,280.0
2022-01-05 19:00:00,0.0,7.0,1016.0,50.0,17.5,18.4,0.241379,280.0
2022-01-05 20:00:00,0.0,7.0,1016.0,52.0,16.9,13.0,0.293103,280.0
2022-01-05 21:00:00,0.0,6.5,1016.0,44.0,19.0,13.0,0.293103,290.0
2022-01-05 22:00:00,0.0,7.0,1016.0,49.0,17.9,14.8,0.396552,290.0
2022-01-05 23:00:00,0.0,7.8,1017.0,61.0,15.3,7.6,0.448276,360.0
2022-01-06 00:00:00,0.0,9.0,1017.0,76.0,13.1,0.0,0.5,0.0
2022-01-06 01:00:00,0.0,9.6,1017.0,92.0,10.8,0.0,0.241379,0.0
2022-01-06 02:00:00,0.0,8.5,1017.0,96.0,9.1,0.0,0.241379,0.0
2022-01-06 03:00:00,0.0,8.6,1017.0,98.0,8.9,0.0,0.241379,0.0
2022-01-06 04:00:00,0.0,7.4,1017.0,100.0,7.4,0.0,0.224138,0.0
2022-01-06 05:00:00,0.0,7.1,1016.0,97.0,7.5,5.4,0.224138,210.0
2022-01-06 06:00:00,0.0,7.1,1016.0,97.0,7.5,0.0,0.224138,0.0
2022-01-06 07:00:00,0.0,7.3,1017.0,91.0,6.0,0.0,0.206897,0.0
2022-01-06 08:00:00,0.0,6.5,1017.0,92.0,6.6,7.6,0.206897,290.0
2022-01-06 09:00:00,0.0,7.3,1017.0,88.0,6.3,0.0,0.206897,0.0
2022-01-06 10:00:00,0.0,7.3,1017.0,91.0,5.5,0.0,0.224138,0.0
2022-01-06 11:00:00,0.0,6.2,1017.0,94.0,5.1,5.4,0.258621,150.0
2022-01-06 12:00:00,0.0,5.9,1017.0,96.0,4.4,7.6,0.327586,90.0
2022-01-06 13:00:00,0.0,9.0,1017.0,100.0,4.8,0.0,0.534483,0.0
2022-01-06 14:00:00,0.0,8.6,1017.0,100.0,8.6,5.4,0.482759,100.0
2022-01-06 15:00:00,0.0,9.6,1017.0,81.0,12.8,9.4,0.310345,140.0
2022-01-06 16:00:00,0.0,9.5,1016.0,63.0,16.6,14.8,0.155172,150.0
2022-01-06 17:00:00,0.0,8.4,1014.0,47.0,20.1,16.6,0.12069,190.0
2022-01-06 18:00:00,0.0,8.0,1014.0,43.0,21.1,25.9,0.086207,210.0
2022-01-06 19:00:00,0.0,8.9,1013.0,46.0,21.0,20.5,0.310345,190.0
2022-01-06 20:00:00,0.0,10.4,1013.0,53.0,20.3,13.0,0.431034,210.0
2022-01-06 21:00:00,0.1,12.0,1014.0,61.0,19.7,14.8,0.465517,240.0
2022-01-06 22:00:00,0.6,14.6,1014.0,82.0,17.7,14.8,0.482759,230.0
2022-01-06 23:00:00,4.3,14.9,1013.0,87.0,15.6,7.6,0.465517,220.0
2022-01-07 00:00:00,1.0,15.3,1014.0,91.0,14.9,16.6,0.5,140.0
2022-01-07 01:00:00,0.5,15.7,1014.0,93.0,14.3,7.6,0.258621,180.0
2022-01-07 02:00:00,0.2,16.0,1014.0,94.0,14.2,9.4,0.224138,200.0
2022-01-07 03:00:00,0.1,15.8,1015.0,93.0,15.5,11.2,0.206897,210.0
2022-01-07 04:00:00,0.0,13.0,1016.0,94.0,15.9,11.2,0.189655,250.0
2022-01-07 05:00:00,0.0,13.3,1016.0,94.0,14.3,24.1,0.172414,340.0
2022-01-07 06:00:00,0.0,12.2,1018.0,94.0,13.1,18.4,0.172414,320.0
2022-01-07 07:00:00,0.0,7.7,1019.0,82.0,10.6,24.1,0.155172,350.0
2022-01-07 08:00:00,0.0,5.3,1020.0,82.0,8.2,18.4,0.172414,350.0
2022-01-07 09:00:00,0.0,3.9,1021.0,84.0,6.4,22.3,0.172414,350.0
2022-01-07 10:00:00,0.0,3.3,1022.0,88.0,5.1,14.8,0.189655,350.0
2022-01-07 11:00:00,0.0,2.7,1023.0,89.0,4.4,16.6,0.224138,360.0
2022-01-07 12:00:00,0.0,2.2,1023.0,90.0,3.7,14.8,0.310345,360.0
2022-01-07 13:00:00,0.0,1.6,1025.0,88.0,3.4,16.6,0.551724,10.0
2022-01-07 14:00:00,0.0,1.4,1025.0,81.0,4.4,18.4,0.517241,10.0
2022-01-07 15:00:00,0.0,1.0,1026.0,70.0,6.1,20.5,0.327586,40.0
2022-01-07 16:00:00,0.0,0.0,1025.0,58.0,7.8,20.5,0.189655,50.0
2022-01-07 17:00:00,0.0,-0.7,1025.0,49.0,9.5,14.8,0.12069,40.0
2022-01-07 18:00:00,0.0,-1.0,1023.0,44.0,10.8,16.6,0.086207,10.0
2022-01-07 19:00:00,0.0,-1.7,1023.0,39.0,11.8,20.5,0.068966,30.0
2022-01-07 20:00:00,0.0,-0.9,1023.0,39.0,12.7,11.2,0.068966,20.0
2022-01-07 21:00:00,0.0,-1.1,1023.0,38.0,12.9,13.0,0.12069,10.0
2022-01-07 22:00:00,0.0,-1.4,1024.0,38.0,12.6,14.8,0.258621,60.0
2022-01-07 23:00:00,0.0,0.3,1025.0,52.0,9.7,9.4,0.448276,70.0
2022-01-08 00:00:00,0.0,0.1,1026.0,53.0,9.2,7.6,0.517241,30.0
2022-01-08 01:00:00,0.0,2.6,1026.0,71.0,7.5,0.0,0.310345,0.0
2022-01-08 02:00:00,0.0,3.1,1026.0,89.0,4.8,5.4,0.275862,90.0
2022-01-08 03:00:00,0.0,2.3,1027.0,82.0,5.1,9.4,0.258621,80.0
2022-01-08 04:00:00,0.0,1.7,1027.0,79.0,5.0,7.6,0.275862,100.0
2022-01-08 05:00:00,0.0,0.7,1027.0,71.0,5.5,5.4,0.258621,40.0
2022-01-08 06:00:00,0.0,1.2,1027.0,81.0,4.2,7.6,0.241379,50.0
2022-01-08 07:00:00,0.0,0.9,1027.0,82.0,3.7,7.6,0.241379,60.0
2022-01-08 08:00:00,0.0,0.7,1027.0,80.0,3.8,13.0,0.258621,60.0
2022-01-08 09:00:00,0.0,0.8,1027.0,84.0,3.2,9.4,0.241379,60.0
2022-01-08 10:00:00,0.0,0.3,1028.0,86.0,2.4,7.6,0.258621,80.0
2022-01-08 11:00:00,0.0,0.0,1029.0,84.0,2.4,13.0,0.293103,70.0
2022-01-08 12:00:00,0.0,-0.2,1030.0,85.0,2.1,11.2,0.310345,60.0
2022-01-08 13:00:00,0.0,-0.6,1030.0,81.0,2.3,13.0,0.344828,60.0
2022-01-08 14:00:00,0.0,-0.1,1031.0,72.0,4.5,14.8,0.275862,60.0
2022-01-08 15:00:00,0.0,-0.5,1031.0,57.0,7.5,16.6,0.086207,80.0
2022-01-08 16:00:00,0.0,-0.2,1031.0,47.0,10.7,14.8,-0.017241,80.0
2022-01-08 17:00:00,0.0,0.7,1030.0,40.0,14.1,16.6,-0.12069,90.0
2022-01-08 18:00:00,0.0,3.2,1029.0,42.0,16.1,22.3,-0.224138,80.0
2022-01-08 19:00:00,0.0,5.8,1028.0,45.0,17.9,18.4,-0.258621,70.0
2022-01-08 20:00:00,0.0,6.8,1028.0,47.0,18.3,18.4,-0.189655,60.0
2022-01-08 21:00:00,0.0,8.0,1029.0,54.0,17.4,18.4,0.034483,90.0
2022-01-08 22:00:00,0.0,8.7,1029.0,56.0,17.6,14.8,0.155172,70.0
2022-01-08 23:00:00,0.0,9.2,1029.0,69.0,14.8,14.8,0.189655,70.0
2022-01-09 00:00:00,0.0,9.1,1030.0,80.0,12.5,13.0,0.241379,80.0
2022-01-09 01:00:00,0.0,9.4,1030.0,87.0,11.5,11.2,0.241379,80.0
2022-01-09 02:00:00,0.0,9.4,1030.0,94.0,10.3,14.8,0.241379,80.0
2022-01-09 03:00:00,0.0,10.0,1030.0,96.0,10.6,13.0,0.224138,90.0
2022-01-09 04:00:00,0.0,11.0,1030.0,97.0,11.5,13.0,0.224138,80.0
2022-01-09 05:00:00,0.0,10.0,1030.0,86.0,10.9,14.8,0.224138,80.0
2022-01-09 06:00:00,0.0,11.6,1029.0,88.0,11.0,16.6,0.189655,70.0
2022-01-09 07:00:00,0.0,11.5,1028.0,92.0,11.8,14.8,0.189655,80.0
2022-01-09 08:00:00,0.0,11.6,1027.0,93.0,11.8,18.4,0.189655,110.0
2022-01-09 09:00:00,0.0,11.7,1027.0,93.0,12.2,9.4,0.189655,100.0
2022-01-09 10:00:00,0.0,12.3,1028.0,94.0,11.5,7.6,0.189655,70.0
2022-01-09 11:00:00,0.0,13.0,1027.0,93.0,12.2,11.2,0.189655,80.0
2022-01-09 12:00:00,0.0,12.9,1027.0,95.0,12.0,13.0,0.206897,90.0
2022-01-09 13:00:00,0.0,12.8,1028.0,99.0,12.1,11.2,0.206897,90.0
2022-01-09 14:00:00,0.0,12.7,1028.0,99.0,12.9,7.6,0.206897,20.0
2022-01-09 15:00:00,0.0,13.6,1028.0,96.0,14.2,0.0,0.189655,0.0
2022-01-09 16:00:00,0.0,15.0,1027.0,86.0,17.4,13.0,0.103448,180.0
2022-01-09 17:00:00,0.0,16.2,1026.0,80.0,19.7,18.4,-0.017241,180.0
2022-01-09 18:00:00,0.0,16.6,1024.0,72.0,21.9,20.5,-0.189655,190.0
2022-01-09 19:00:00,0.0,17.2,1023.0,67.0,23.7,20.5,-0.224138,190.0
2022-01-09 20:00:00,0.0,17.5,1023.0,61.0,25.6,25.9,-0.103448,200.0
2022-01-09 21:00:00,0.0,17.8,1023.0,69.0,23.8,18.4,0.068966,190.0
2022-01-09 22:00:00,0.0,18.0,1023.0,71.0,23.6,16.6,0.12069,190.0
2022-01-09 23:00:00,0.0,18.3,1023.0,79.0,22.1,11.2,0.189655,200.0
2022-01-10 00:00:00,0.0,18.7,1023.0,87.0,20.9,9.4,0.224138,180.0
2022-01-10 01:00:00,3.1,18.9,1024.0,93.0,20.1,11.2,0.224138,190.0
2022-01-10 02:00:00,2.5,19.0,1024.0,97.0,19.5,11.2,0.224138,210.0
2022-01-10 03:00:00,0.4,17.0,1026.0,100.0,19.1,13.0,0.224138,220.0
2022-01-10 04:00:00,4.6,16.9,1026.0,99.0,17.1,24.1,0.206897,310.0
2022-01-10 05:00:00,5.6,17.0,1022.0,98.0,15.9,9.4,0.189655,120.0
2022-01-10 06:00:00,0.5,17.0,1022.0,98.0,15.9,13.0,0.172414,190.0
2022-01-10 07:00:00,0.0,17.0,1023.0,98.0,15.2,9.4,0.155172,260.0
2022-01-10 08:00:00,0.0,17.3,1023.0,98.0,15.0,7.6,0.155172,250.0
2022-01-10 09:00:00,0.0,17.9,1023.0,99.0,15.3,11.2,0.137931,240.0
2022-01-10 10:00:00,0.1,17.7,1023.0,99.0,15.5,7.6,0.155172,270.0
2022-01-10 11:00:00,0.0,16.9,1024.0,96.0,15.6,7.6,0.189655,270.0
2022-01-10 12:00:00,0.5,12.1,1025.0,94.0,14.1,20.5,0.241379,350.0
2022-01-10 13:00:00,0.0,12.0,1026.0,94.0,12.9,22.3,0.448276,360.0
2022-01-10 14:00:00,0.0,10.6,1027.0,87.0,12.7,24.1,0.5,360.0
2022-01-10 15:00:00,0.0,11.1,1028.0,87.0,13.2,24.1,0.396552,360.0
2022-01-10 16:00:00,0.0,7.8,1028.0,74.0,12.3,20.5,0.155172,340.0
2022-01-10 17:00:00,0.0,3.7,1027.0,52.0,13.4,22.3,0.155172,340.0
2022-01-10 18:00:00,0.0,1.7,1027.0,44.0,13.7,25.9,0.172414,360.0
2022-01-10 19:00:00,0.0,2.3,1026.0,47.0,13.4,18.4,0.206897,360.0
2022-01-10 20:00:00,0.0,1.2,1027.0,41.0,14.3,24.1,0.12069,360.0
2022-01-10 21:00:00,0.0,0.1,1027.0,40.0,13.4,24.1,0.293103,10.0
2022-01-10 22:00:00,0.0,0.0,1027.0,40.0,13.3,16.6,0.344828,20.0
2022-01-10 23:00:00,0.0,1.7,1028.0,52.0,11.2,9.4,0.5,340.0
2022-01-11 00:00:00,0.0,-0.2,1028.0,51.0,9.4,13.0,0.448276,350.0
2022-01-11 01:00:00,0.0,-1.2,1028.0,51.0,8.4,11.2,0.327586,350.0
2022-01-11 02:00:00,0.0,-1.8,1030.0,51.0,7.7,9.4,0.310345,350.0
2022-01-11 03:00:00,0.0,-3.0,1030.0,48.0,7.3,14.8,0.310345,10.0
2022-01-11 04:00:00,0.0,-3.9,1031.0,47.0,6.6,14.8,0.310345,10.0
2022-01-11 05:00:00,0.0,-4.1,1031.0,49.0,5.8,9.4,0.293103,10.0
2022-01-11 06:00:00,0.0,-4.6,1030.0,48.0,5.6,14.8,0.293103,20.0
2022-01-11 07:00:00,0.0,-4.2,1031.0,53.0,4.6,9.4,0.293103,20.0
2022-01-11 08:00:00,0.0,-3.9,1031.0,57.0,3.8,9.4,0.293103,20.0
2022-01-11 09:00:00,0.0,-3.8,1031.0,61.0,3.0,7.6,0.275862,360.0
2022-01-11 10:00:00,0.0,-3.6,1031.0,64.0,2.5,7.6,0.293103,360.0
2022-01-11 11:00:00,0.0,-3.6,1032.0,66.0,2.1,7.6,0.327586,340.0
2022-01-11 12:00:00,0.0,-3.5,1032.0,69.0,1.6,0.0,0.413793,0.0
2022-01-11 13:00:00,0.0,-4.1,1033.0,64.0,2.0,7.6,0.637931,350.0
2022-01-11 14:00:00,0.0,-3.5,1033.0,58.0,4.0,11.2,0.586207,10.0
2022-01-11 15:00:00,0.0,-6.0,1033.0,41.0,6.3,24.1,0.362069,30.0
2022-01-11 16:00:00,0.0,-6.0,1032.0,36.0,8.2,22.3,0.241379,60.0
2022-01-11 17:00:00,0.0,-4.6,1032.0,36.0,9.8,20.5,0.12069,80.0
2022-01-11 18:00:00,0.0,-4.3,1031.0,35.0,10.5,11.2,0.086207,50.0
2022-01-11 19:00:00,0.0,-3.1,1030.0,35.0,11.9,16.6,-0.034483,60.0
2022-01-11 20:00:00,0.0,-2.3,1030.0,36.0,12.4,13.0,-0.12069,80.0
2022-01-11 21:00:00,0.0,-2.6,1029.0,35.0,12.5,14.8,-0.034483,70.0
2022-01-11 22:00:00,0.0,-1.8,1030.0,38.0,12.1,16.6,0.068966,60.0
2022-01-11 23:00:00,0.0,-1.4,1030.0,46.0,9.7,13.0,0.258621,50.0
2022-01-12 00:00:00,0.0,0.3,1031.0,59.0,7.8,11.2,0.327586,30.0
2022-01-12 01:00:00,0.0,-0.1,1031.0,61.0,6.9,11.2,0.344828,40.0
2022-01-12 02:00:00,0.0,-0.2,1031.0,63.0,6.3,13.0,0.362069,30.0
2022-01-12 03:00:00,0.0,-0.6,1031.0,65.0,5.5,11.2,0.344828,30.0
2022-01-12 04:00:00,0.0,-0.3,1031.0,72.0,4.3,5.4,0.310345,60.0
2022-01-12 05:00:00,0.0,-0.2,1029.0,78.0,3.3,9.4,0.327586,60.0
2022-01-12 06:00:00,0.0,-0.1,1029.0,78.0,3.4,9.4,0.310345,60.0
2022-01-12 07:00:00,0.0,0.8,1028.0,83.0,3.4,11.2,0.310345,70.0
2022-01-12 08:00:00,0.0,1.0,1029.0,84.0,3.4,7.6,0.310345,40.0
2022-01-12 09:00:00,0.0,2.2,1028.0,91.0,3.5,7.6,0.293103,20.0
2022-01-12 10:00:00,0.0,2.3,1029.0,91.0,3.6,11.2,0.310345,60.0
2022-01-12 11:00:00,0.0,2.4,1029.0,87.0,4.4,11.2,0.344828,40.0
2022-01-12 12:00:00,0.0,2.2,1029.0,90.0,3.7,9.4,0.431034,30.0
2022-01-12 13:00:00,0.0,2.2,1029.0,91.0,3.5,7.6,0.465517,40.0
2022-01-12 14:00:00,0.0,2.0,1028.0,81.0,5.0,13.0,0.413793,60.0
2022-01-12 15:00:00,0.0,2.8,1028.0,78.0,6.4,11.2,0.37931,50.0
2022-01-12 16:00:00,0.0,3.6,1027.0,73.0,8.2,13.0,0.206897,60.0
2022-01-12 17:00:00,0.0,4.1,1026.0,61.0,11.4,14.8,0.0,60.0
2022-01-12 18:00:00,0.0,5.2,1024.0,56.0,13.8,9.4,0.12069,30.0
2022-01-12 19:00:00,0.0,5.9,1024.0,58.0,14.0,5.4,0.103448,40.0
2022-01-12 20:00:00,0.0,6.0,1023.0,57.0,14.4,11.2,0.103448,50.0
2022-01-12 21:00:00,0.0,6.4,1023.0,59.0,14.3,5.4,0.224138,20.0
2022-01-12 22:00:00,0.0,6.5,1023.0,59.0,14.4,7.6,0.224138,10.0
2022-01-12 23:00:00,0.0,6.9,1023.0,67.0,12.9,5.4,0.275862,30.0
2022-01-13 00:00:00,0.0,7.3,1023.0,74.0,11.8,9.4,0.293103,60.0
2022-01-13 01:00:00,0.0,7.7,1023.0,79.0,11.2,9.4,0.310345,40.0
2022-01-13 02:00:00,0.0,8.0,1023.0,86.0,10.2,7.6,0.293103,320.0
2022-01-13 03:00:00,0.0,7.9,1022.0,92.0,9.1,0.0,0.293103,0.0
2022-01-13 04:00:00,0.0,6.7,1022.0,97.0,7.1,0.0,0.275862,0.0
2022-01-13 05:00:00,0.0,6.0,1021.0,97.0,6.4,0.0,0.258621,0.0
2022-01-13 06:00:00,0.0,4.9,1021.0,89.0,5.9,7.6,0.241379,320.0
2022-01-13 07:00:00,0.0,5.2,1021.0,84.0,5.3,5.4,0.241379,290.0
2022-01-13 08:00:00,0.0,4.9,1020.0,86.0,4.4,0.0,0.258621,0.0
2022-01-13 09:00:00,0.0,4.5,1020.0,95.0,4.2,7.6,0.241379,300.0
2022-01-13 10:00:00,0.0,4.1,1020.0,95.0,4.4,5.4,0.258621,310.0
2022-01-13 11:00:00,0.0,3.7,1020.0,95.0,4.2,0.0,0.293103,0.0
