DT,rhum,dwpt,pres,temp,prcp,Waianae,wdir,wspd
2022-06-02 20:00:00,50.0,17.1,1017.5,28.5,0.0,0.0944683,87.0,13.0
2022-06-02 21:00:00,45.0,16.4,1017.3,29.6,0.0,-0.174468,90.0,13.0
2022-06-02 22:00:00,43.0,16.1,1017.0,30.0,0.0,-0.094468,96.0,10.4
2022-06-02 23:00:00,42.0,15.7,1016.4,30.0,0.0,-0.188085,93.0,7.2
2022-06-03 00:00:00,47.0,17.0,1016.2,29.5,0.0,-0.00510627,87.0,4.7
2022-06-03 01:00:00,51.0,17.9,1015.9,29.1,0.0,0.171064,67.0,4.7
2022-06-03 02:00:00,52.0,17.9,1015.9,28.7,0.0,0.317447,62.0,7.6
2022-06-03 03:00:00,56.0,17.8,1016.0,27.4,0.0,0.531915,56.0,9.7
2022-06-03 04:00:00,60.0,18.0,1016.3,26.4,0.0,0.667234,68.0,11.9
2022-06-03 05:00:00,67.0,18.6,1016.8,25.2,0.0,0.795745,71.0,13.7
2022-06-03 06:00:00,77.0,20.0,1017.2,24.3,0.0,0.80766,66.0,13.3
2022-06-03 07:00:00,82.0,20.6,1017.7,23.9,0.0,0.795745,69.0,12.2
2022-06-03 08:00:00,84.0,20.6,1018.2,23.5,0.0,0.716596,70.0,11.2
2022-06-03 09:00:00,85.0,20.7,1018.3,23.4,0.0,0.650213,70.0,10.8
2022-06-03 10:00:00,86.0,20.6,1017.8,23.1,0.0,0.577021,65.0,10.4
2022-06-03 11:00:00,87.0,20.6,1017.1,22.9,0.0,0.534468,73.0,8.3
2022-06-03 12:00:00,89.0,20.8,1016.7,22.7,0.0,0.502979,70.0,7.9
2022-06-03 13:00:00,92.0,21.1,1016.4,22.5,0.0,0.480851,59.0,6.5
2022-06-03 14:00:00,93.0,21.1,1016.4,22.3,0.0,0.47234,52.0,6.1
2022-06-03 15:00:00,95.0,21.3,1016.7,22.1,0.0,0.488511,44.0,6.5
2022-06-03 16:00:00,93.0,21.2,1016.9,22.4,0.0,0.481702,38.0,5.0
2022-06-03 17:00:00,82.0,20.0,1017.2,23.2,0.0,0.356596,57.0,6.8
2022-06-03 18:00:00,72.0,19.5,1017.6,24.9,0.0,0.120851,69.0,7.6
2022-06-03 19:00:00,62.0,18.7,1017.8,26.6,0.0,-0.0587233,73.0,6.5
2022-06-03 20:00:00,54.0,17.7,1017.6,27.9,0.0,-0.288511,73.0,4.0
2022-06-03 21:00:00,51.0,17.5,1017.5,28.6,0.0,-0.28,34.0,0.7
2022-06-03 22:00:00,51.0,17.7,1017.3,28.8,0.0,-0.318298,210.0,1.8
2022-06-03 23:00:00,55.0,18.9,1016.9,28.8,0.1,-0.295319,215.0,4.3
2022-06-04 00:00:00,58.0,19.2,1016.7,28.2,0.3,-0.0842552,223.0,6.1
2022-06-04 01:00:00,56.0,18.7,1016.5,28.3,0.2,-0.0314893,224.0,5.0
2022-06-04 02:00:00,59.0,18.9,1016.2,27.6,0.0,0.201702,160.0,9.4
2022-06-04 03:00:00,58.0,18.6,1016.2,27.6,0.0,0.388085,119.0,5.8
2022-06-04 04:00:00,60.0,18.4,1016.4,26.8,0.0,0.542128,75.0,9.4
2022-06-04 05:00:00,64.0,18.2,1016.9,25.5,0.0,0.771915,59.0,13.0
2022-06-04 06:00:00,73.0,19.3,1017.5,24.5,0.0,0.838298,64.0,12.2
2022-06-04 07:00:00,78.0,19.8,1017.8,23.9,0.0,0.791489,62.0,10.1
2022-06-04 08:00:00,80.0,20.0,1018.3,23.7,0.0,0.731915,62.0,10.4
2022-06-04 09:00:00,83.0,20.3,1018.3,23.4,0.0,0.666383,65.0,9.0
2022-06-04 10:00:00,86.0,20.6,1018.1,23.1,0.0,0.601702,71.0,7.9
2022-06-04 11:00:00,89.0,20.9,1017.6,22.8,0.0,0.554043,70.0,6.8
2022-06-04 12:00:00,89.0,20.7,1017.0,22.6,0.0,0.514042,65.0,6.5
2022-06-04 13:00:00,92.0,21.0,1016.7,22.4,0.0,0.479149,60.0,5.8
2022-06-04 14:00:00,94.0,21.1,1016.6,22.1,0.0,0.469787,55.0,5.8
2022-06-04 15:00:00,95.0,21.1,1016.7,21.9,0.0,0.464681,58.0,5.8
2022-06-04 16:00:00,95.0,21.0,1017.1,21.8,0.0,0.486809,56.0,5.4
2022-06-04 17:00:00,80.0,19.5,1017.4,23.1,0.0,0.364255,61.0,7.6
2022-06-04 18:00:00,67.0,18.4,1017.6,24.9,0.0,0.114894,72.0,10.1
2022-06-04 19:00:00,56.0,17.2,1017.5,26.7,0.0,-0.189787,78.0,11.2
2022-06-04 20:00:00,48.0,16.1,1017.4,28.1,0.0,-0.125106,80.0,10.8
2022-06-04 21:00:00,43.0,15.2,1017.4,29.0,0.0,-0.198298,83.0,8.6
2022-06-04 22:00:00,39.0,14.4,1017.0,29.8,0.0,-0.411915,75.0,5.8
2022-06-04 23:00:00,44.0,16.1,1016.6,29.6,0.0,-0.497872,165.0,2.2
2022-06-05 00:00:00,48.0,17.0,1016.4,29.1,0.0,-0.482553,230.0,5.0
2022-06-05 01:00:00,49.0,16.7,1016.2,28.4,0.0,-0.258723,243.0,3.2
2022-06-05 02:00:00,54.0,17.4,1015.9,27.5,0.0,-0.0110637,12.0,2.2
2022-06-05 03:00:00,57.0,17.8,1015.7,27.0,0.0,0.219575,5.0,5.0
2022-06-05 04:00:00,55.0,16.6,1015.8,26.4,0.0,0.561702,78.0,9.7
2022-06-05 05:00:00,64.0,17.9,1016.4,25.2,0.0,0.780426,55.0,11.2
2022-06-05 06:00:00,70.0,18.5,1017.0,24.3,0.0,0.781277,38.0,10.1
2022-06-05 07:00:00,75.0,19.1,1017.8,23.8,0.0,0.775319,42.0,6.8
2022-06-05 08:00:00,79.0,19.5,1018.5,23.4,0.0,0.699574,56.0,6.1
2022-06-05 09:00:00,84.0,20.2,1018.3,23.1,0.0,0.631489,44.0,7.2
2022-06-05 10:00:00,85.0,20.1,1018.2,22.8,0.0,0.594894,48.0,7.2
2022-06-05 11:00:00,86.0,20.1,1017.7,22.6,0.0,0.539575,50.0,7.2
2022-06-05 12:00:00,87.0,20.1,1017.0,22.4,0.0,0.497872,48.0,8.3
2022-06-05 13:00:00,90.0,20.4,1016.6,22.1,0.0,0.462979,49.0,7.2
2022-06-05 14:00:00,91.0,20.6,1016.3,22.1,0.0,0.446808,53.0,7.2
2022-06-05 15:00:00,91.0,20.4,1016.3,21.9,0.0,0.452766,56.0,7.6
2022-06-05 16:00:00,91.0,20.3,1016.4,21.8,0.0,0.462979,53.0,7.2
2022-06-05 17:00:00,78.0,19.1,1016.9,23.1,0.0,0.358298,55.0,8.6
2022-06-05 18:00:00,66.0,18.2,1017.0,25.0,0.0,0.108936,72.0,8.3
2022-06-05 19:00:00,54.0,16.8,1017.0,26.9,0.0,-0.122553,97.0,8.3
2022-06-05 20:00:00,47.0,16.1,1016.9,28.5,0.0,-0.339574,134.0,8.3
2022-06-05 21:00:00,43.0,15.7,1016.8,29.6,0.0,-0.445106,161.0,9.4
2022-06-05 22:00:00,45.0,16.7,1016.3,29.9,0.0,-0.524255,165.0,7.6
2022-06-05 23:00:00,49.0,17.8,1015.9,29.6,0.0,-0.518298,192.0,5.0
2022-06-06 00:00:00,52.0,18.1,1015.8,28.9,0.0,-0.455319,244.0,6.8
2022-06-06 01:00:00,53.0,18.2,1015.6,28.7,0.0,-0.288511,241.0,9.4
2022-06-06 02:00:00,59.0,18.9,1015.4,27.6,0.1,-0.00085092,243.0,11.2
2022-06-06 03:00:00,64.0,19.4,1015.5,26.8,0.1,0.462979,243.0,10.1
2022-06-06 04:00:00,68.0,19.6,1015.8,26.0,0.1,0.634043,241.0,6.1
2022-06-06 05:00:00,76.0,20.3,1016.7,24.8,0.0,0.837447,112.0,4.7
2022-06-06 06:00:00,74.0,19.9,1017.4,24.8,0.0,0.861277,70.0,7.9
2022-06-06 07:00:00,75.0,19.8,1018.0,24.5,0.0,0.852766,73.0,9.7
2022-06-06 08:00:00,82.0,20.6,1018.4,23.9,0.0,0.757447,74.0,8.6
2022-06-06 09:00:00,86.0,21.1,1018.6,23.6,0.0,0.671489,75.0,7.6
2022-06-06 10:00:00,87.0,21.3,1018.1,23.6,0.0,0.587234,90.0,7.9
2022-06-06 11:00:00,90.0,21.6,1017.6,23.3,0.0,0.542979,94.0,6.5
2022-06-06 12:00:00,93.0,21.9,1017.3,23.1,0.0,0.498723,84.0,4.7
2022-06-06 13:00:00,93.0,21.7,1017.1,22.9,0.0,0.477447,73.0,4.3
2022-06-06 14:00:00,94.0,21.7,1016.9,22.7,0.0,0.465532,59.0,4.3
2022-06-06 15:00:00,94.0,21.6,1017.1,22.6,0.0,0.481702,61.0,4.7
2022-06-06 16:00:00,94.0,21.7,1017.2,22.7,0.0,0.510638,68.0,4.3
2022-06-06 17:00:00,82.0,20.7,1017.8,24.0,0.0,0.369362,83.0,7.6
2022-06-06 18:00:00,70.0,19.9,1018.0,25.8,0.0,0.101277,98.0,8.6
2022-06-06 19:00:00,59.0,18.9,1018.0,27.6,0.0,-0.0970211,109.0,8.6
2022-06-06 20:00:00,51.0,17.8,1017.8,29.0,0.0,-0.342978,126.0,7.6
2022-06-06 21:00:00,54.0,18.5,1017.7,28.7,0.0,-0.45617,153.0,7.2
2022-06-06 22:00:00,56.0,19.0,1017.7,28.6,0.0,-0.397447,160.0,4.7
2022-06-06 23:00:00,57.0,19.3,1017.1,28.6,0.0,-0.252766,142.0,1.4
2022-06-07 00:00:00,60.0,19.7,1016.8,28.2,0.1,-0.371064,348.0,3.6
2022-06-07 01:00:00,63.0,20.0,1016.5,27.7,0.4,-0.133617,343.0,6.1
2022-06-07 02:00:00,66.0,19.9,1016.3,26.8,0.5,0.313192,162.0,6.1
2022-06-07 03:00:00,65.0,19.8,1016.3,26.9,0.0,0.437447,91.0,6.8
2022-06-07 04:00:00,63.0,19.0,1016.4,26.6,0.0,0.633192,69.0,12.2
2022-06-07 05:00:00,66.0,18.9,1017.1,25.7,0.0,0.851064,70.0,14.0
2022-06-07 06:00:00,75.0,20.1,1017.5,24.8,0.0,0.907234,73.0,11.5
2022-06-07 07:00:00,81.0,20.8,1018.2,24.3,0.0,0.852766,78.0,9.7
2022-06-07 08:00:00,82.0,20.8,1018.5,24.1,0.0,0.782979,81.0,9.7
2022-06-07 09:00:00,84.0,21.0,1018.6,23.9,0.0,0.698723,84.0,9.4
2022-06-07 10:00:00,84.0,20.8,1018.1,23.7,0.0,0.612766,82.0,9.0
2022-06-07 11:00:00,84.0,20.7,1017.7,23.6,0.0,0.558298,81.0,8.6
2022-06-07 12:00:00,85.0,20.8,1017.1,23.5,0.0,0.51234,87.0,13.0
2022-06-07 13:00:00,86.0,20.9,1016.8,23.4,0.0,0.492766,86.0,11.5
2022-06-07 14:00:00,87.0,20.9,1016.8,23.2,0.0,0.485106,84.0,10.4
2022-06-07 15:00:00,87.0,20.7,1016.9,23.0,0.0,0.491915,82.0,9.0
2022-06-07 16:00:00,88.0,20.8,1017.4,22.9,0.0,0.509787,78.0,7.9
2022-06-07 17:00:00,76.0,19.8,1017.8,24.3,0.0,0.398298,92.0,11.5
2022-06-07 18:00:00,66.0,19.0,1018.0,25.8,0.0,0.234894,88.0,12.6
2022-06-07 19:00:00,53.0,17.2,1018.0,27.6,0.0,-0.0706381,99.0,11.2
2022-06-07 20:00:00,44.0,15.8,1017.9,29.3,0.0,0.142979,114.0,11.5
2022-06-07 21:00:00,44.0,16.3,1017.7,29.9,0.0,0.0570213,114.0,10.8
2022-06-07 22:00:00,49.0,17.5,1017.6,29.3,0.0,0.0187235,96.0,13.3
2022-06-07 23:00:00,49.0,17.2,1017.2,29.0,0.0,0.0842554,77.0,12.2
2022-06-08 00:00:00,47.0,16.5,1016.9,28.9,0.0,-0.156596,62.0,9.4
2022-06-08 01:00:00,45.0,16.0,1016.6,29.1,0.0,-0.0842552,68.0,6.8
2022-06-08 02:00:00,44.0,15.7,1016.3,29.2,0.0,0.208511,80.0,7.2
2022-06-08 03:00:00,43.0,14.5,1016.5,28.3,0.0,0.433192,71.0,13.0
2022-06-08 04:00:00,49.0,15.5,1016.9,27.1,0.0,0.729362,77.0,13.7
2022-06-08 05:00:00,62.0,17.7,1017.2,25.5,0.0,0.801702,81.0,13.0
2022-06-08 06:00:00,69.0,18.7,1017.8,24.8,0.0,0.854468,85.0,10.8
2022-06-08 07:00:00,77.0,19.9,1018.2,24.2,0.0,0.817872,85.0,11.2
2022-06-08 08:00:00,80.0,20.4,1018.7,24.1,0.0,0.753191,99.0,9.7
2022-06-08 09:00:00,84.0,20.8,1018.8,23.7,0.0,0.650213,111.0,7.6
2022-06-08 10:00:00,85.0,20.7,1018.5,23.4,0.0,0.589787,98.0,5.4
2022-06-08 11:00:00,87.0,20.9,1018.0,23.2,0.0,0.528511,78.0,5.0
2022-06-08 12:00:00,84.0,20.3,1017.6,23.2,0.0,0.485958,75.0,6.5
2022-06-08 13:00:00,83.0,20.3,1016.9,23.4,0.0,0.468936,62.0,7.6
2022-06-08 14:00:00,81.0,20.0,1017.1,23.4,0.0,0.46383,58.0,8.3
2022-06-08 15:00:00,80.0,19.7,1017.2,23.3,0.0,0.478298,63.0,7.6
2022-06-08 16:00:00,80.0,19.6,1017.3,23.2,0.0,0.505532,67.0,8.3
2022-06-08 17:00:00,77.0,19.4,1017.7,23.7,0.0,0.392341,73.0,13.0
2022-06-08 18:00:00,71.0,19.4,1018.0,25.0,0.0,0.16766,88.0,14.8
2022-06-08 19:00:00,63.0,18.9,1017.7,26.5,0.0,-0.154894,99.0,18.0
2022-06-08 20:00:00,54.0,17.7,1017.6,27.9,0.0,-0.00255301,106.0,16.6
2022-06-08 21:00:00,48.0,17.2,1017.3,29.3,0.0,-0.409361,117.0,15.5
2022-06-08 22:00:00,45.0,16.8,1016.9,30.0,0.0,-0.508085,120.0,14.8
2022-06-08 23:00:00,43.0,16.2,1016.5,30.1,0.0,-0.469787,119.0,14.4
2022-06-09 00:00:00,47.0,16.9,1016.6,29.4,0.0,-0.365106,142.0,4.0
2022-06-09 01:00:00,54.0,18.2,1016.3,28.4,0.0,-0.226383,111.0,1.8
2022-06-09 02:00:00,56.0,18.3,1016.2,27.9,0.0,0.0280853,116.0,4.0
2022-06-09 03:00:00,58.0,18.2,1016.0,27.2,0.0,0.477447,119.0,7.2
2022-06-09 04:00:00,58.0,17.8,1016.2,26.7,0.0,0.664681,111.0,10.8
2022-06-09 05:00:00,61.0,17.8,1016.2,25.9,0.0,0.830638,98.0,15.5
2022-06-09 06:00:00,68.0,18.7,1017.0,25.0,0.0,0.894468,96.0,14.0
2022-06-09 07:00:00,73.0,19.3,1017.7,24.5,0.0,0.859575,90.0,9.0
2022-06-09 08:00:00,78.0,19.9,1018.2,24.0,0.0,0.771064,75.0,8.6
2022-06-09 09:00:00,80.0,20.0,1018.1,23.7,0.0,0.702979,76.0,10.4
2022-06-09 10:00:00,82.0,20.6,1018.0,23.9,0.0,0.617873,113.0,6.1
2022-06-09 11:00:00,85.0,21.0,1017.6,23.7,0.0,0.556596,98.0,5.0
2022-06-09 12:00:00,87.0,21.1,1017.1,23.4,0.1,0.505532,84.0,5.8
2022-06-09 13:00:00,82.0,20.2,1016.9,23.4,0.0,0.479149,79.0,5.8
2022-06-09 14:00:00,80.0,19.7,1016.7,23.3,0.0,0.47234,74.0,6.1
2022-06-09 15:00:00,87.0,20.3,1017.1,22.6,0.0,0.48,82.0,5.0
2022-06-09 16:00:00,85.0,20.0,1017.4,22.7,0.0,0.498723,69.0,3.6
2022-06-09 17:00:00,72.0,18.4,1018.0,23.8,0.0,0.356596,48.0,5.8
2022-06-09 18:00:00,58.0,16.7,1018.1,25.6,0.0,0.0978724,78.0,9.4
2022-06-09 19:00:00,48.0,15.4,1017.8,27.4,0.0,-0.164255,90.0,7.9
2022-06-09 20:00:00,43.0,14.8,1017.7,28.6,0.0,-0.139574,140.0,5.8
2022-06-09 21:00:00,39.0,14.1,1017.5,29.5,0.0,-0.291064,175.0,7.2
2022-06-09 22:00:00,46.0,16.1,1017.3,28.9,0.0,-0.246808,208.0,14.0
2022-06-09 23:00:00,51.0,16.9,1017.0,28.0,0.0,-0.117447,223.0,15.1
2022-06-10 00:00:00,52.0,16.7,1016.8,27.4,0.0,-0.0425532,219.0,12.6
2022-06-10 01:00:00,57.0,18.1,1016.1,27.4,0.0,-0.199149,161.0,6.5
2022-06-10 02:00:00,54.0,17.6,1015.8,27.8,0.0,-0.0306382,113.0,6.5
2022-06-10 03:00:00,53.0,17.3,1015.8,27.7,0.0,0.338724,83.0,8.6
2022-06-10 04:00:00,58.0,17.8,1016.1,26.8,0.0,0.64,65.0,11.9
2022-06-10 05:00:00,68.0,18.8,1016.9,25.1,0.0,0.819574,64.0,14.0
2022-06-10 06:00:00,75.0,19.5,1017.5,24.2,0.0,0.865532,66.0,13.0
2022-06-10 07:00:00,79.0,19.9,1018.0,23.8,0.0,0.798298,62.0,12.2
2022-06-10 08:00:00,80.0,20.0,1018.2,23.7,0.0,0.749787,67.0,12.2
2022-06-10 09:00:00,80.0,20.0,1018.3,23.7,0.0,0.670638,74.0,12.2
2022-06-10 10:00:00,81.0,20.1,1017.8,23.6,0.0,0.606809,78.0,12.2
2022-06-10 11:00:00,81.0,20.1,1017.5,23.5,0.0,0.551489,78.0,12.2
2022-06-10 12:00:00,82.0,20.1,1017.1,23.3,0.0,0.519149,81.0,11.2
2022-06-10 13:00:00,83.0,20.1,1016.6,23.1,0.0,0.506383,83.0,9.7
2022-06-10 14:00:00,85.0,20.2,1016.4,22.9,0.0,0.490213,81.0,9.0
2022-06-10 15:00:00,86.0,20.3,1016.6,22.8,0.0,0.495319,77.0,9.0
2022-06-10 16:00:00,84.0,20.0,1016.8,22.8,0.0,0.525106,78.0,9.7
2022-06-10 17:00:00,71.0,18.2,1017.4,23.8,0.0,0.384681,76.0,13.7
2022-06-10 18:00:00,60.0,17.2,1017.6,25.5,0.0,0.130213,78.0,15.1
2022-06-10 19:00:00,51.0,16.1,1017.7,27.1,0.0,-0.0893616,82.0,16.6
2022-06-10 20:00:00,45.0,15.4,1017.6,28.5,0.0,-0.268085,85.0,15.5
2022-06-10 21:00:00,43.0,15.6,1017.5,29.5,0.0,-0.361702,90.0,14.0
2022-06-10 22:00:00,41.0,15.5,1016.7,30.2,0.0,-0.234893,106.0,16.6
2022-06-10 23:00:00,42.0,16.0,1016.5,30.3,0.0,-0.257021,110.0,15.8
2022-06-11 00:00:00,41.0,15.9,1016.1,30.6,0.0,0.0485108,105.0,14.8
2022-06-11 01:00:00,44.0,16.3,1015.8,29.9,0.0,-0.249362,95.0,15.1
2022-06-11 02:00:00,49.0,17.1,1015.9,28.9,0.0,0.130213,86.0,14.0
2022-06-11 03:00:00,52.0,17.3,1015.9,28.1,0.0,0.362553,70.0,11.5
2022-06-11 04:00:00,57.0,17.6,1016.4,26.8,0.0,0.65617,71.0,16.2
2022-06-11 05:00:00,66.0,18.5,1017.1,25.3,0.0,0.777872,63.0,16.9
2022-06-11 06:00:00,70.0,18.9,1017.9,24.7,0.0,0.790638,60.0,15.5
2022-06-11 07:00:00,71.0,18.8,1018.4,24.4,0.0,0.771064,62.0,14.4
2022-06-11 08:00:00,78.0,19.9,1018.8,24.0,0.0,0.708085,64.0,11.9
2022-06-11 09:00:00,79.0,19.9,1018.7,23.8,0.0,0.683404,63.0,11.9
2022-06-11 10:00:00,80.0,19.8,1018.4,23.5,0.0,0.627234,61.0,10.1
2022-06-11 11:00:00,82.0,20.1,1017.8,23.3,0.0,0.580426,61.0,9.7
2022-06-11 12:00:00,83.0,20.2,1017.4,23.2,0.0,0.519149,64.0,9.0
2022-06-11 13:00:00,83.0,20.2,1016.9,23.3,0.0,0.50383,63.0,9.0
2022-06-11 14:00:00,81.0,19.9,1016.9,23.3,0.0,0.481702,66.0,9.0
2022-06-11 15:00:00,82.0,20.1,1017.0,23.3,0.0,0.498723,64.0,8.6
2022-06-11 16:00:00,82.0,20.1,1017.6,23.3,0.0,0.506383,66.0,8.6
2022-06-11 17:00:00,75.0,19.2,1018.3,23.9,0.0,0.385532,71.0,12.6
2022-06-11 18:00:00,65.0,18.6,1018.7,25.7,0.0,0.126809,81.0,15.8
2022-06-11 19:00:00,55.0,17.6,1018.6,27.4,0.0,-0.0425531,86.0,16.9
2022-06-11 20:00:00,50.0,17.1,1018.5,28.5,0.0,-0.18383,88.0,17.3
2022-06-11 21:00:00,44.0,16.3,1018.3,29.9,0.0,-0.366808,90.0,20.5
2022-06-11 22:00:00,46.0,17.0,1018.0,29.9,0.0,-0.491064,83.0,20.9
2022-06-11 23:00:00,48.0,17.5,1017.8,29.7,0.0,-0.482553,74.0,21.2
2022-06-12 00:00:00,45.0,16.8,1017.3,30.0,0.0,-0.404255,72.0,20.9
2022-06-12 01:00:00,47.0,17.1,1017.2,29.6,0.0,-0.226383,75.0,21.6
2022-06-12 02:00:00,49.0,17.3,1017.0,29.1,0.0,0.0153193,76.0,22.7
2022-06-12 03:00:00,52.0,17.4,1017.0,28.2,0.0,0.295319,76.0,22.3
2022-06-12 04:00:00,56.0,17.2,1017.6,26.7,0.0,0.555745,78.0,23.4
2022-06-12 05:00:00,71.0,19.4,1018.3,25.0,0.0,0.782127,80.0,21.2
2022-06-12 06:00:00,76.0,20.0,1019.1,24.5,0.0,0.817021,82.0,16.9
2022-06-12 07:00:00,78.0,20.3,1019.7,24.4,0.0,0.790638,78.0,15.8
2022-06-12 08:00:00,78.0,20.1,1020.3,24.2,0.0,0.755745,71.0,15.1
2022-06-12 09:00:00,81.0,20.2,1020.2,23.7,0.0,0.694468,70.0,16.2
2022-06-12 10:00:00,81.0,20.1,1020.0,23.5,0.0,0.661277,71.0,15.8
2022-06-12 11:00:00,83.0,20.2,1019.8,23.2,0.0,0.608511,74.0,14.8
2022-06-12 12:00:00,84.0,20.1,1019.5,22.9,0.0,0.56766,80.0,12.2
2022-06-12 13:00:00,84.0,20.2,1019.0,23.1,0.0,0.539575,77.0,10.8
2022-06-12 14:00:00,84.0,20.4,1018.7,23.3,0.0,0.525958,81.0,11.2
2022-06-12 15:00:00,84.0,20.2,1018.9,23.0,0.0,0.533617,68.0,12.6
