DT,prcp,dwpt,temp,wdir,pres,wspd,Donalsonville,rhum
2022-01-02 14:00:00,0.2,22.3,23.3,210.0,1013.0,11.2,0.12069,94.0
2022-01-02 15:00:00,0.3,22.2,24.7,210.0,1014.0,20.5,0.051724,86.0
2022-01-02 16:00:00,0.2,22.2,24.9,220.0,1014.0,16.6,0.068966,85.0
2022-01-02 17:00:00,0.3,22.0,27.0,220.0,1012.0,24.1,-0.051724,74.0
2022-01-02 18:00:00,1.6,21.6,26.8,230.0,1010.0,24.1,-0.034483,73.0
2022-01-02 19:00:00,1.2,21.4,28.4,220.0,1010.0,29.5,-0.017241,66.0
2022-01-02 20:00:00,4.6,22.0,27.7,220.0,1010.0,37.1,0.068966,71.0
2022-01-02 21:00:00,0.4,22.4,25.9,210.0,1009.0,29.5,0.12069,81.0
2022-01-02 22:00:00,2.3,20.2,22.5,270.0,1010.0,24.1,0.189655,87.0
2022-01-02 23:00:00,9.7,20.0,20.4,260.0,1010.0,27.7,0.172414,100.0
2022-01-03 00:00:00,34.5,19.7,19.7,230.0,1010.0,25.9,0.189655,96.0
2022-01-03 01:00:00,18.8,19.3,20.0,230.0,1009.0,14.8,0.189655,96.0
2022-01-03 02:00:00,1.0,19.4,20.1,210.0,1008.0,18.4,0.172414,97.0
2022-01-03 03:00:00,1.3,18.7,20.5,200.0,1010.0,20.5,0.172414,98.0
2022-01-03 04:00:00,2.0,18.5,18.8,280.0,1012.0,51.8,0.172414,98.0
2022-01-03 05:00:00,0.1,11.7,12.8,290.0,1015.0,50.0,0.155172,93.0
2022-01-03 06:00:00,0.0,9.2,11.1,290.0,1015.0,38.9,0.137931,88.0
2022-01-03 07:00:00,0.0,6.8,8.8,290.0,1017.0,29.5,0.12069,87.0
2022-01-03 08:00:00,0.0,4.9,7.1,290.0,1017.0,27.7,0.12069,86.0
2022-01-03 09:00:00,0.0,3.3,6.0,290.0,1019.0,40.7,0.12069,83.0
2022-01-03 10:00:00,0.0,1.8,4.6,300.0,1020.0,40.7,0.137931,82.0
2022-01-03 11:00:00,0.0,1.0,3.6,290.0,1021.0,31.7,0.172414,83.0
2022-01-03 12:00:00,0.0,0.7,3.3,310.0,1022.0,31.7,0.189655,83.0
2022-01-03 13:00:00,0.0,0.2,3.0,310.0,1023.0,31.7,0.396552,82.0
2022-01-03 14:00:00,0.0,0.4,3.3,320.0,1025.0,25.9,0.465517,81.0
2022-01-03 15:00:00,0.0,0.5,3.8,310.0,1026.0,24.1,0.482759,79.0
2022-01-03 16:00:00,0.0,0.6,4.3,320.0,1026.0,22.3,0.465517,77.0
2022-01-03 17:00:00,0.0,1.0,5.3,310.0,1025.0,20.5,0.431034,74.0
2022-01-03 18:00:00,0.0,1.1,5.6,320.0,1025.0,22.3,0.431034,73.0
2022-01-03 19:00:00,0.0,1.4,6.5,320.0,1024.0,24.1,0.37931,70.0
2022-01-03 20:00:00,0.0,1.2,7.1,330.0,1025.0,24.1,0.12069,66.0
2022-01-03 21:00:00,0.0,1.1,8.4,360.0,1025.0,18.4,0.137931,60.0
2022-01-03 22:00:00,0.0,1.0,7.8,350.0,1025.0,20.5,0.293103,62.0
2022-01-03 23:00:00,0.0,1.0,6.5,350.0,1026.0,16.6,0.551724,68.0
2022-01-04 00:00:00,0.0,1.5,5.2,330.0,1026.0,11.2,0.655172,77.0
2022-01-04 01:00:00,0.0,1.3,4.6,350.0,1026.0,18.4,0.396552,79.0
2022-01-04 02:00:00,0.0,1.1,4.4,360.0,1027.0,11.2,0.396552,79.0
2022-01-04 03:00:00,0.0,0.9,3.9,350.0,1027.0,9.4,0.37931,81.0
2022-01-04 04:00:00,0.0,1.8,2.5,290.0,1027.0,9.4,0.37931,95.0
2022-01-04 05:00:00,0.0,1.7,2.4,300.0,1027.0,11.2,0.37931,95.0
2022-01-04 06:00:00,0.0,1.4,2.1,360.0,1027.0,11.2,0.362069,95.0
2022-01-04 07:00:00,0.0,0.8,2.0,10.0,1027.0,9.4,0.362069,92.0
2022-01-04 08:00:00,0.0,0.6,1.8,360.0,1027.0,9.4,0.362069,92.0
2022-01-04 09:00:00,0.0,0.7,1.3,360.0,1026.0,5.4,0.344828,96.0
2022-01-04 10:00:00,0.0,0.6,1.0,40.0,1026.0,11.2,0.37931,97.0
2022-01-04 11:00:00,0.0,0.5,0.9,40.0,1027.0,11.2,0.396552,97.0
2022-01-04 12:00:00,0.0,0.4,0.8,30.0,1027.0,9.4,0.448276,97.0
2022-01-04 13:00:00,0.0,0.9,1.3,50.0,1028.0,9.4,0.689655,97.0
2022-01-04 14:00:00,0.0,1.9,2.9,50.0,1028.0,7.6,0.689655,93.0
2022-01-04 15:00:00,0.0,3.5,5.2,60.0,1028.0,13.0,0.551724,89.0
2022-01-04 16:00:00,0.0,4.5,7.9,90.0,1027.0,14.8,0.448276,79.0
2022-01-04 17:00:00,0.0,5.2,10.4,70.0,1026.0,11.2,0.465517,70.0
2022-01-04 18:00:00,0.0,5.7,11.9,30.0,1025.0,7.6,0.465517,66.0
2022-01-04 19:00:00,0.0,6.1,13.0,90.0,1023.0,13.0,0.344828,63.0
2022-01-04 20:00:00,0.0,6.9,13.6,90.0,1023.0,13.0,0.448276,64.0
2022-01-04 21:00:00,0.0,7.0,13.9,70.0,1023.0,16.6,0.310345,63.0
2022-01-04 22:00:00,0.0,7.3,14.0,90.0,1022.0,11.2,0.344828,64.0
2022-01-04 23:00:00,0.0,7.5,11.0,100.0,1023.0,9.4,0.517241,79.0
2022-01-05 00:00:00,0.0,8.3,10.4,0.0,1022.0,0.0,0.603448,87.0
2022-01-05 01:00:00,0.0,8.4,9.2,260.0,1022.0,9.4,0.362069,95.0
2022-01-05 02:00:00,0.0,7.8,8.1,0.0,1022.0,0.0,0.344828,98.0
2022-01-05 03:00:00,0.0,8.4,8.4,280.0,1022.0,5.4,0.344828,100.0
2022-01-05 04:00:00,0.0,8.5,9.1,310.0,1021.0,9.4,0.327586,96.0
2022-01-05 05:00:00,0.0,8.7,9.0,0.0,1021.0,0.0,0.310345,98.0
2022-01-05 06:00:00,0.0,8.7,9.5,330.0,1020.0,7.6,0.293103,95.0
2022-01-05 07:00:00,0.1,9.1,9.6,0.0,1020.0,0.0,0.275862,97.0
2022-01-05 08:00:00,0.2,9.2,9.8,300.0,1020.0,11.2,0.275862,96.0
2022-01-05 09:00:00,0.0,9.2,10.0,310.0,1020.0,9.4,0.258621,95.0
2022-01-05 10:00:00,0.0,9.2,10.1,330.0,1020.0,7.6,0.241379,94.0
2022-01-05 11:00:00,0.1,9.2,10.3,360.0,1020.0,7.6,0.293103,93.0
2022-01-05 12:00:00,0.0,9.1,10.5,330.0,1020.0,11.2,0.344828,91.0
2022-01-05 13:00:00,0.0,8.8,10.4,360.0,1020.0,9.4,0.568966,90.0
2022-01-05 14:00:00,0.0,8.6,11.0,350.0,1020.0,7.6,0.534483,85.0
2022-01-05 15:00:00,0.0,8.6,12.9,20.0,1020.0,9.4,0.344828,75.0
2022-01-05 16:00:00,0.0,8.2,15.4,360.0,1019.0,14.8,0.189655,62.0
2022-01-05 17:00:00,0.0,7.6,16.7,300.0,1019.0,14.8,0.12069,55.0
2022-01-05 18:00:00,0.0,7.0,17.5,280.0,1017.0,14.8,0.103448,50.0
2022-01-05 19:00:00,0.0,7.0,17.5,280.0,1016.0,18.4,0.241379,50.0
2022-01-05 20:00:00,0.0,7.0,16.9,280.0,1016.0,13.0,0.293103,52.0
2022-01-05 21:00:00,0.0,6.5,19.0,290.0,1016.0,13.0,0.293103,44.0
2022-01-05 22:00:00,0.0,7.0,17.9,290.0,1016.0,14.8,0.396552,49.0
2022-01-05 23:00:00,0.0,7.8,15.3,360.0,1017.0,7.6,0.448276,61.0
2022-01-06 00:00:00,0.0,9.0,13.1,0.0,1017.0,0.0,0.5,76.0
2022-01-06 01:00:00,0.0,9.6,10.8,0.0,1017.0,0.0,0.241379,92.0
2022-01-06 02:00:00,0.0,8.5,9.1,0.0,1017.0,0.0,0.241379,96.0
2022-01-06 03:00:00,0.0,8.6,8.9,0.0,1017.0,0.0,0.241379,98.0
2022-01-06 04:00:00,0.0,7.4,7.4,0.0,1017.0,0.0,0.224138,100.0
2022-01-06 05:00:00,0.0,7.1,7.5,210.0,1017.0,5.4,0.224138,97.0
2022-01-06 06:00:00,0.0,7.1,7.5,0.0,1016.0,0.0,0.224138,97.0
2022-01-06 07:00:00,0.0,7.3,6.0,0.0,1017.0,0.0,0.206897,91.0
2022-01-06 08:00:00,0.0,6.5,6.6,290.0,1017.0,7.6,0.206897,92.0
2022-01-06 09:00:00,0.0,7.3,6.3,0.0,1017.0,0.0,0.206897,88.0
2022-01-06 10:00:00,0.0,7.3,5.5,0.0,1017.0,0.0,0.224138,91.0
2022-01-06 11:00:00,0.0,6.2,5.1,150.0,1017.0,5.4,0.258621,94.0
2022-01-06 12:00:00,0.0,5.9,4.4,90.0,1017.0,7.6,0.327586,96.0
2022-01-06 13:00:00,0.0,9.0,4.8,0.0,1017.0,0.0,0.534483,100.0
2022-01-06 14:00:00,0.0,8.6,8.6,100.0,1017.0,5.4,0.482759,100.0
2022-01-06 15:00:00,0.0,9.6,12.8,140.0,1017.0,9.4,0.310345,81.0
2022-01-06 16:00:00,0.0,9.5,16.6,150.0,1016.0,14.8,0.155172,63.0
2022-01-06 17:00:00,0.0,8.4,20.1,190.0,1014.0,16.6,0.12069,47.0
2022-01-06 18:00:00,0.0,8.0,21.1,210.0,1014.0,25.9,0.086207,43.0
2022-01-06 19:00:00,0.0,8.9,21.0,190.0,1013.0,20.5,0.310345,46.0
2022-01-06 20:00:00,0.0,10.4,20.3,210.0,1013.0,13.0,0.431034,53.0
2022-01-06 21:00:00,0.1,12.0,19.7,240.0,1014.0,14.8,0.465517,61.0
2022-01-06 22:00:00,0.6,14.6,17.7,230.0,1014.0,14.8,0.482759,82.0
2022-01-06 23:00:00,4.3,14.9,15.6,220.0,1013.0,7.6,0.465517,87.0
2022-01-07 00:00:00,1.0,15.3,14.9,140.0,1014.0,16.6,0.5,91.0
2022-01-07 01:00:00,0.5,15.7,14.3,180.0,1014.0,7.6,0.258621,93.0
2022-01-07 02:00:00,0.2,16.0,14.2,200.0,1014.0,9.4,0.224138,94.0
2022-01-07 03:00:00,0.1,15.8,15.5,210.0,1015.0,11.2,0.206897,93.0
2022-01-07 04:00:00,0.0,13.0,15.9,250.0,1016.0,11.2,0.189655,94.0
2022-01-07 05:00:00,0.0,13.3,14.3,340.0,1017.0,24.1,0.172414,94.0
2022-01-07 06:00:00,0.0,12.2,13.1,320.0,1018.0,18.4,0.172414,94.0
2022-01-07 07:00:00,0.0,7.7,10.6,350.0,1019.0,24.1,0.155172,82.0
2022-01-07 08:00:00,0.0,5.3,8.2,350.0,1019.0,18.4,0.172414,82.0
2022-01-07 09:00:00,0.0,3.9,6.4,350.0,1021.0,22.3,0.172414,84.0
2022-01-07 10:00:00,0.0,3.3,5.1,350.0,1021.0,14.8,0.189655,88.0
2022-01-07 11:00:00,0.0,2.7,4.4,360.0,1023.0,16.6,0.224138,89.0
2022-01-07 12:00:00,0.0,2.2,3.7,360.0,1023.0,14.8,0.310345,90.0
2022-01-07 13:00:00,0.0,1.6,3.4,10.0,1024.0,16.6,0.551724,88.0
2022-01-07 14:00:00,0.0,1.4,4.4,10.0,1026.0,18.4,0.517241,81.0
2022-01-07 15:00:00,0.0,1.0,6.1,40.0,1026.0,20.5,0.327586,70.0
2022-01-07 16:00:00,0.0,0.0,7.8,50.0,1025.0,20.5,0.189655,58.0
2022-01-07 17:00:00,0.0,-0.7,9.5,40.0,1025.0,14.8,0.12069,49.0
2022-01-07 18:00:00,0.0,-1.0,10.8,10.0,1023.0,16.6,0.086207,44.0
2022-01-07 19:00:00,0.0,-1.7,11.8,30.0,1023.0,20.5,0.068966,39.0
2022-01-07 20:00:00,0.0,-0.9,12.7,20.0,1023.0,11.2,0.068966,39.0
2022-01-07 21:00:00,0.0,-1.1,12.9,10.0,1024.0,13.0,0.12069,38.0
2022-01-07 22:00:00,0.0,-1.4,12.6,60.0,1024.0,14.8,0.258621,38.0
2022-01-07 23:00:00,0.0,0.3,9.7,70.0,1025.0,9.4,0.448276,52.0
2022-01-08 00:00:00,0.0,0.1,9.2,30.0,1025.0,7.6,0.517241,53.0
2022-01-08 01:00:00,0.0,2.6,7.5,0.0,1026.0,0.0,0.310345,71.0
2022-01-08 02:00:00,0.0,3.1,4.8,90.0,1026.0,5.4,0.275862,89.0
2022-01-08 03:00:00,0.0,2.3,5.1,80.0,1027.0,9.4,0.258621,82.0
2022-01-08 04:00:00,0.0,1.7,5.0,100.0,1027.0,7.6,0.275862,79.0
2022-01-08 05:00:00,0.0,0.7,5.5,40.0,1026.0,5.4,0.258621,71.0
2022-01-08 06:00:00,0.0,1.2,4.2,50.0,1027.0,7.6,0.241379,81.0
2022-01-08 07:00:00,0.0,0.9,3.7,60.0,1027.0,7.6,0.241379,82.0
2022-01-08 08:00:00,0.0,0.7,3.8,60.0,1027.0,13.0,0.258621,80.0
2022-01-08 09:00:00,0.0,0.8,3.2,60.0,1027.0,9.4,0.241379,84.0
2022-01-08 10:00:00,0.0,0.3,2.4,80.0,1028.0,7.6,0.258621,86.0
2022-01-08 11:00:00,0.0,0.0,2.4,70.0,1029.0,13.0,0.293103,84.0
2022-01-08 12:00:00,0.0,-0.2,2.1,60.0,1030.0,11.2,0.310345,85.0
2022-01-08 13:00:00,0.0,-0.6,2.3,60.0,1030.0,13.0,0.344828,81.0
2022-01-08 14:00:00,0.0,-0.1,4.5,60.0,1031.0,14.8,0.275862,72.0
2022-01-08 15:00:00,0.0,-0.5,7.5,80.0,1031.0,16.6,0.086207,57.0
2022-01-08 16:00:00,0.0,-0.2,10.7,80.0,1031.0,14.8,-0.017241,47.0
2022-01-08 17:00:00,0.0,0.7,14.1,90.0,1030.0,16.6,-0.12069,40.0
2022-01-08 18:00:00,0.0,3.2,16.1,80.0,1030.0,22.3,-0.224138,42.0
2022-01-08 19:00:00,0.0,5.8,17.9,70.0,1028.0,18.4,-0.258621,45.0
2022-01-08 20:00:00,0.0,6.8,18.3,60.0,1028.0,18.4,-0.189655,47.0
2022-01-08 21:00:00,0.0,8.0,17.4,90.0,1029.0,18.4,0.034483,54.0
2022-01-08 22:00:00,0.0,8.7,17.6,70.0,1029.0,14.8,0.155172,56.0
2022-01-08 23:00:00,0.0,9.2,14.8,70.0,1029.0,14.8,0.189655,69.0
2022-01-09 00:00:00,0.0,9.1,12.5,80.0,1030.0,13.0,0.241379,80.0
2022-01-09 01:00:00,0.0,9.4,11.5,80.0,1030.0,11.2,0.241379,87.0
2022-01-09 02:00:00,0.0,9.4,10.3,80.0,1030.0,14.8,0.241379,94.0
2022-01-09 03:00:00,0.0,10.0,10.6,90.0,1030.0,13.0,0.224138,96.0
2022-01-09 04:00:00,0.0,11.0,11.5,80.0,1030.0,13.0,0.224138,97.0
2022-01-09 05:00:00,0.0,10.0,10.9,80.0,1029.0,14.8,0.224138,86.0
2022-01-09 06:00:00,0.0,11.6,11.0,70.0,1029.0,16.6,0.189655,88.0
2022-01-09 07:00:00,0.0,11.5,11.8,80.0,1028.0,14.8,0.189655,92.0
2022-01-09 08:00:00,0.0,11.6,11.8,110.0,1027.0,18.4,0.189655,93.0
2022-01-09 09:00:00,0.0,11.7,12.2,100.0,1027.0,9.4,0.189655,93.0
2022-01-09 10:00:00,0.0,12.3,11.5,70.0,1027.0,7.6,0.189655,94.0
2022-01-09 11:00:00,0.0,13.0,12.2,80.0,1027.0,11.2,0.189655,93.0
2022-01-09 12:00:00,0.0,12.9,12.0,90.0,1028.0,13.0,0.206897,95.0
2022-01-09 13:00:00,0.0,12.8,12.1,90.0,1028.0,11.2,0.206897,99.0
2022-01-09 14:00:00,0.0,12.7,12.9,20.0,1028.0,7.6,0.206897,99.0
2022-01-09 15:00:00,0.0,13.6,14.2,0.0,1028.0,0.0,0.189655,96.0
2022-01-09 16:00:00,0.0,15.0,17.4,180.0,1027.0,13.0,0.103448,86.0
2022-01-09 17:00:00,0.0,16.2,19.7,180.0,1026.0,18.4,-0.017241,80.0
2022-01-09 18:00:00,0.0,16.6,21.9,190.0,1024.0,20.5,-0.189655,72.0
2022-01-09 19:00:00,0.0,17.2,23.7,190.0,1023.0,20.5,-0.224138,67.0
2022-01-09 20:00:00,0.0,17.5,25.6,200.0,1023.0,25.9,-0.103448,61.0
2022-01-09 21:00:00,0.0,17.8,23.8,190.0,1023.0,18.4,0.068966,69.0
2022-01-09 22:00:00,0.0,18.0,23.6,190.0,1022.0,16.6,0.12069,71.0
2022-01-09 23:00:00,0.0,18.3,22.1,200.0,1023.0,11.2,0.189655,79.0
2022-01-10 00:00:00,0.0,18.7,20.9,180.0,1023.0,9.4,0.224138,87.0
2022-01-10 01:00:00,3.1,18.9,20.1,190.0,1024.0,11.2,0.224138,93.0
2022-01-10 02:00:00,2.5,19.0,19.5,210.0,1024.0,11.2,0.224138,97.0
2022-01-10 03:00:00,0.4,17.0,19.1,220.0,1026.0,13.0,0.224138,100.0
2022-01-10 04:00:00,4.6,16.9,17.1,310.0,1023.0,24.1,0.206897,99.0
2022-01-10 05:00:00,5.6,17.0,15.9,120.0,1022.0,9.4,0.189655,98.0
2022-01-10 06:00:00,0.5,17.0,15.9,190.0,1023.0,13.0,0.172414,98.0
2022-01-10 07:00:00,0.0,17.0,15.2,260.0,1023.0,9.4,0.155172,98.0
2022-01-10 08:00:00,0.0,17.3,15.0,250.0,1023.0,7.6,0.155172,98.0
2022-01-10 09:00:00,0.0,17.9,15.3,240.0,1023.0,11.2,0.137931,99.0
2022-01-10 10:00:00,0.1,17.7,15.5,270.0,1023.0,7.6,0.155172,99.0
2022-01-10 11:00:00,0.0,16.9,15.6,270.0,1024.0,7.6,0.189655,96.0
2022-01-10 12:00:00,0.5,12.1,14.1,350.0,1025.0,20.5,0.241379,94.0
2022-01-10 13:00:00,0.0,12.0,12.9,360.0,1026.0,22.3,0.448276,94.0
2022-01-10 14:00:00,0.0,10.6,12.7,360.0,1027.0,24.1,0.5,87.0
2022-01-10 15:00:00,0.0,11.1,13.2,360.0,1028.0,24.1,0.396552,87.0
2022-01-10 16:00:00,0.0,7.8,12.3,340.0,1028.0,20.5,0.155172,74.0
2022-01-10 17:00:00,0.0,3.7,13.4,340.0,1027.0,22.3,0.155172,52.0
2022-01-10 18:00:00,0.0,1.7,13.7,360.0,1027.0,25.9,0.172414,44.0
2022-01-10 19:00:00,0.0,2.3,13.4,360.0,1026.0,18.4,0.206897,47.0
2022-01-10 20:00:00,0.0,1.2,14.3,360.0,1027.0,24.1,0.12069,41.0
2022-01-10 21:00:00,0.0,0.1,13.4,10.0,1027.0,24.1,0.293103,40.0
2022-01-10 22:00:00,0.0,0.0,13.3,20.0,1027.0,16.6,0.344828,40.0
2022-01-10 23:00:00,0.0,1.7,11.2,340.0,1028.0,9.4,0.5,52.0
2022-01-11 00:00:00,0.0,-0.2,9.4,350.0,1028.0,13.0,0.448276,51.0
2022-01-11 01:00:00,0.0,-1.2,8.4,350.0,1028.0,11.2,0.327586,51.0
2022-01-11 02:00:00,0.0,-1.8,7.7,350.0,1030.0,9.4,0.310345,51.0
2022-01-11 03:00:00,0.0,-3.0,7.3,10.0,1030.0,14.8,0.310345,48.0
2022-01-11 04:00:00,0.0,-3.9,6.6,10.0,1031.0,14.8,0.310345,47.0
2022-01-11 05:00:00,0.0,-4.1,5.8,10.0,1030.0,9.4,0.293103,49.0
2022-01-11 06:00:00,0.0,-4.6,5.6,20.0,1030.0,14.8,0.293103,48.0
2022-01-11 07:00:00,0.0,-4.2,4.6,20.0,1031.0,9.4,0.293103,53.0
2022-01-11 08:00:00,0.0,-3.9,3.8,20.0,1031.0,9.4,0.293103,57.0
2022-01-11 09:00:00,0.0,-3.8,3.0,360.0,1031.0,7.6,0.275862,61.0
2022-01-11 10:00:00,0.0,-3.6,2.5,360.0,1031.0,7.6,0.293103,64.0
2022-01-11 11:00:00,0.0,-3.6,2.1,340.0,1032.0,7.6,0.327586,66.0
2022-01-11 12:00:00,0.0,-3.5,1.6,0.0,1032.0,0.0,0.413793,69.0
2022-01-11 13:00:00,0.0,-4.1,2.0,350.0,1033.0,7.6,0.637931,64.0
2022-01-11 14:00:00,0.0,-3.5,4.0,10.0,1033.0,11.2,0.586207,58.0
2022-01-11 15:00:00,0.0,-6.0,6.3,30.0,1033.0,24.1,0.362069,41.0
2022-01-11 16:00:00,0.0,-6.0,8.2,60.0,1032.0,22.3,0.241379,36.0
2022-01-11 17:00:00,0.0,-4.6,9.8,80.0,1032.0,20.5,0.12069,36.0
2022-01-11 18:00:00,0.0,-4.3,10.5,50.0,1031.0,11.2,0.086207,35.0
2022-01-11 19:00:00,0.0,-3.1,11.9,60.0,1030.0,16.6,-0.034483,35.0
2022-01-11 20:00:00,0.0,-2.3,12.4,80.0,1030.0,13.0,-0.12069,36.0
2022-01-11 21:00:00,0.0,-2.6,12.5,70.0,1030.0,14.8,-0.034483,35.0
2022-01-11 22:00:00,0.0,-1.8,12.1,60.0,1030.0,16.6,0.068966,38.0
2022-01-11 23:00:00,0.0,-1.4,9.7,50.0,1030.0,13.0,0.258621,46.0
2022-01-12 00:00:00,0.0,0.3,7.8,30.0,1030.0,11.2,0.327586,59.0
2022-01-12 01:00:00,0.0,-0.1,6.9,40.0,1031.0,11.2,0.344828,61.0
2022-01-12 02:00:00,0.0,-0.2,6.3,30.0,1031.0,13.0,0.362069,63.0
2022-01-12 03:00:00,0.0,-0.6,5.5,30.0,1031.0,11.2,0.344828,65.0
2022-01-12 04:00:00,0.0,-0.3,4.3,60.0,1030.0,5.4,0.310345,72.0
2022-01-12 05:00:00,0.0,-0.2,3.3,60.0,1030.0,9.4,0.327586,78.0
2022-01-12 06:00:00,0.0,-0.1,3.4,60.0,1029.0,9.4,0.310345,78.0
2022-01-12 07:00:00,0.0,0.8,3.4,70.0,1028.0,11.2,0.310345,83.0
2022-01-12 08:00:00,0.0,1.0,3.4,40.0,1029.0,7.6,0.310345,84.0
2022-01-12 09:00:00,0.0,2.2,3.5,20.0,1029.0,7.6,0.293103,91.0
2022-01-12 10:00:00,0.0,2.3,3.6,60.0,1029.0,11.2,0.310345,91.0
2022-01-12 11:00:00,0.0,2.4,4.4,40.0,1028.0,11.2,0.344828,87.0
2022-01-12 12:00:00,0.0,2.2,3.7,30.0,1029.0,9.4,0.431034,90.0
2022-01-12 13:00:00,0.0,2.2,3.5,40.0,1028.0,7.6,0.465517,91.0
2022-01-12 14:00:00,0.0,2.0,5.0,60.0,1028.0,13.0,0.413793,81.0
2022-01-12 15:00:00,0.0,2.8,6.4,50.0,1028.0,11.2,0.37931,78.0
2022-01-12 16:00:00,0.0,3.6,8.2,60.0,1027.0,13.0,0.206897,73.0
2022-01-12 17:00:00,0.0,4.1,11.4,60.0,1025.0,14.8,0.0,61.0
2022-01-12 18:00:00,0.0,5.2,13.8,30.0,1024.0,9.4,0.12069,56.0
2022-01-12 19:00:00,0.0,5.9,14.0,40.0,1024.0,5.4,0.103448,58.0
2022-01-12 20:00:00,0.0,6.0,14.4,50.0,1023.0,11.2,0.103448,57.0
2022-01-12 21:00:00,0.0,6.4,14.3,20.0,1023.0,5.4,0.224138,59.0
2022-01-12 22:00:00,0.0,6.5,14.4,10.0,1023.0,7.6,0.224138,59.0
2022-01-12 23:00:00,0.0,6.9,12.9,30.0,1023.0,5.4,0.275862,67.0
2022-01-13 00:00:00,0.0,7.3,11.8,60.0,1023.0,9.4,0.293103,74.0
2022-01-13 01:00:00,0.0,7.7,11.2,40.0,1023.0,9.4,0.310345,79.0
2022-01-13 02:00:00,0.0,8.0,10.2,320.0,1022.0,7.6,0.293103,86.0
2022-01-13 03:00:00,0.0,7.9,9.1,0.0,1022.0,0.0,0.293103,92.0
2022-01-13 04:00:00,0.0,6.7,7.1,0.0,1022.0,0.0,0.275862,97.0
2022-01-13 05:00:00,0.0,6.0,6.4,0.0,1021.0,0.0,0.258621,97.0
2022-01-13 06:00:00,0.0,4.9,5.9,320.0,1021.0,7.6,0.241379,89.0
2022-01-13 07:00:00,0.0,5.2,5.3,290.0,1021.0,5.4,0.241379,84.0
2022-01-13 08:00:00,0.0,4.9,4.4,0.0,1020.0,0.0,0.258621,86.0
2022-01-13 09:00:00,0.0,4.5,4.2,300.0,1020.0,7.6,0.241379,95.0
2022-01-13 10:00:00,0.0,4.1,4.4,310.0,1020.0,5.4,0.258621,95.0
2022-01-13 11:00:00,0.0,3.7,4.2,0.0,1019.0,0.0,0.293103,95.0
