DT,prcp,dwpt,pres,rhum,temp,Amity,wdir,wspd
2022-01-02 09:00:00,0.0,-3.3,1020.3,89.0,-1.7,0.609595,0.0,0.0
2022-01-02 10:00:00,0.0,-3.3,1020.0,89.0,-1.7,0.616228,0.0,0.0
2022-01-02 11:00:00,0.0,-2.2,1019.3,92.0,-1.1,0.616485,0.0,0.0
2022-01-02 12:00:00,0.0,-2.2,1018.7,89.0,-0.6,0.635137,0.0,0.0
2022-01-02 13:00:00,0.0,-2.2,1017.7,89.0,-0.6,0.669157,0.0,0.0
2022-01-02 14:00:00,0.0,-1.8,1017.3,88.0,0.0,0.703446,0.0,0.0
2022-01-02 15:00:00,0.0,-1.8,1016.8,88.0,0.0,0.733549,20.0,5.4
2022-01-02 16:00:00,0.0,-1.8,1016.1,88.0,0.0,0.76472,0.0,0.0
2022-01-02 17:00:00,0.0,-1.2,1015.1,88.0,0.6,0.778277,340.0,5.4
2022-01-02 18:00:00,0.0,-0.7,1014.3,88.0,1.1,0.772386,340.0,5.4
2022-01-02 19:00:00,0.0,0.0,1013.3,79.0,3.3,0.717208,120.0,5.4
2022-01-02 20:00:00,0.0,-1.2,1011.9,53.0,7.8,0.690983,190.0,24.1
2022-01-02 21:00:00,0.0,-1.0,1010.7,50.0,8.9,0.71126,190.0,33.5
2022-01-02 22:00:00,0.3,0.1,1009.7,54.0,8.9,0.730033,190.0,33.5
2022-01-02 23:00:00,1.9,0.1,1008.4,54.0,8.9,0.731476,190.0,27.7
2022-01-03 00:00:00,0.3,1.7,1007.5,63.0,8.3,0.749747,190.0,40.7
2022-01-03 01:00:00,0.3,1.1,1005.9,56.0,9.4,0.777337,180.0,37.1
2022-01-03 02:00:00,0.3,0.6,1004.6,54.0,9.4,0.756927,190.0,37.1
2022-01-03 03:00:00,0.8,2.7,1003.5,68.0,8.3,0.736766,190.0,33.5
2022-01-03 04:00:00,2.3,2.9,1002.7,66.0,8.9,0.705482,190.0,40.7
2022-01-03 05:00:00,0.3,3.9,1001.6,74.0,8.3,0.645611,200.0,31.7
2022-01-03 06:00:00,0.3,3.9,1000.4,71.0,8.9,0.583563,190.0,35.3
2022-01-03 07:00:00,0.8,5.1,999.9,77.0,8.9,0.535251,200.0,44.6
2022-01-03 08:00:00,1.0,5.0,1001.0,86.0,7.2,0.483606,260.0,18.4
2022-01-03 09:00:00,0.5,4.4,999.0,85.0,6.7,0.469177,230.0,24.1
2022-01-03 10:00:00,6.1,5.6,998.1,86.0,7.8,0.475447,160.0,24.1
2022-01-03 11:00:00,7.4,5.7,999.0,90.0,7.2,0.483918,240.0,11.2
2022-01-03 12:00:00,4.8,3.3,999.0,82.0,6.1,0.500053,250.0,25.9
2022-01-03 13:00:00,2.5,3.3,999.4,89.0,5.0,0.579068,200.0,13.0
2022-01-03 14:00:00,1.8,2.9,999.5,86.0,5.0,0.665421,180.0,14.8
2022-01-03 15:00:00,2.8,2.7,1000.0,89.0,4.4,0.697394,150.0,13.0
2022-01-03 16:00:00,1.0,3.3,1000.4,89.0,5.0,0.696163,160.0,24.1
2022-01-03 17:00:00,2.8,2.9,1001.2,86.0,5.0,0.736765,180.0,18.4
2022-01-03 18:00:00,0.7,2.3,1003.0,86.0,4.4,0.753039,170.0,22.3
2022-01-03 19:00:00,1.3,2.3,1002.6,86.0,4.4,0.743226,170.0,13.0
2022-01-03 20:00:00,0.6,2.9,1002.1,86.0,5.0,0.743707,160.0,16.6
2022-01-03 21:00:00,1.3,2.9,1002.6,86.0,5.0,0.741851,230.0,18.4
2022-01-03 22:00:00,0.4,1.7,1002.4,79.0,5.0,0.735648,220.0,20.5
2022-01-03 23:00:00,0.0,2.8,1003.1,82.0,5.6,0.754791,170.0,7.6
2022-01-04 00:00:00,1.2,2.2,1003.7,82.0,5.0,0.790473,200.0,24.1
2022-01-04 01:00:00,1.8,1.2,1004.8,86.0,3.3,0.807057,190.0,18.4
2022-01-04 02:00:00,0.1,0.6,1004.9,89.0,2.2,0.813157,170.0,16.6
2022-01-04 03:00:00,0.8,1.0,1006.2,92.0,2.2,0.777721,0.0,0.0
2022-01-04 04:00:00,0.3,1.0,1007.2,92.0,2.2,0.7453,160.0,7.6
2022-01-04 05:00:00,0.0,0.6,1008.3,89.0,2.2,0.688859,30.0,5.4
2022-01-04 06:00:00,0.5,1.2,1009.2,89.0,2.8,0.599137,130.0,5.4
2022-01-04 07:00:00,0.3,1.8,1010.6,93.0,2.8,0.543845,130.0,9.4
2022-01-04 08:00:00,0.0,1.7,1011.7,89.0,3.3,0.542998,150.0,11.2
2022-01-04 09:00:00,0.0,1.7,1012.9,89.0,3.3,0.529808,0.0,0.0
2022-01-04 10:00:00,0.0,1.7,1013.7,89.0,3.3,0.521671,130.0,11.2
2022-01-04 11:00:00,0.0,1.7,1015.1,89.0,3.3,0.538219,150.0,7.6
2022-01-04 12:00:00,0.0,1.8,1015.1,83.0,4.4,0.56877,180.0,18.4
2022-01-04 13:00:00,0.5,2.3,1015.9,86.0,4.4,0.630391,220.0,14.8
2022-01-04 14:00:00,0.3,2.3,1016.7,86.0,4.4,0.712658,210.0,13.0
2022-01-04 15:00:00,0.0,2.3,1017.1,89.0,3.9,0.771641,0.0,0.0
2022-01-04 16:00:00,0.0,2.3,1018.0,89.0,3.9,0.743071,150.0,9.4
2022-01-04 17:00:00,0.4,2.7,1018.1,89.0,4.4,0.745971,200.0,5.4
2022-01-04 18:00:00,0.1,3.3,1018.4,89.0,5.0,0.705143,160.0,13.0
2022-01-04 19:00:00,0.3,4.4,1018.4,85.0,6.7,0.702894,0.0,0.0
2022-01-04 20:00:00,0.1,4.4,1017.8,89.0,6.1,0.707288,170.0,16.6
2022-01-04 21:00:00,0.3,5.1,1017.5,83.0,7.8,0.707478,190.0,14.8
2022-01-04 22:00:00,0.3,5.1,1017.1,83.0,7.8,0.69356,160.0,13.0
2022-01-04 23:00:00,0.2,6.1,1016.9,93.0,7.2,0.693616,150.0,11.2
2022-01-05 00:00:00,1.0,6.1,1016.2,93.0,7.2,0.723104,150.0,11.2
2022-01-05 01:00:00,1.3,6.1,1015.5,93.0,7.2,0.754064,160.0,16.6
2022-01-05 02:00:00,0.5,5.7,1014.9,90.0,7.2,0.762527,140.0,13.0
2022-01-05 03:00:00,0.3,5.6,1014.5,93.0,6.7,0.712902,140.0,7.6
2022-01-05 04:00:00,0.5,5.6,1014.3,93.0,6.7,0.670412,150.0,11.2
2022-01-05 05:00:00,0.1,5.7,1014.2,90.0,7.2,0.616307,0.0,0.0
2022-01-05 06:00:00,0.0,6.1,1015.3,93.0,7.2,0.54266,240.0,11.2
2022-01-05 07:00:00,0.3,6.1,1016.2,93.0,7.2,0.490843,240.0,9.4
2022-01-05 08:00:00,0.0,5.6,1017.3,93.0,6.7,0.469428,0.0,0.0
2022-01-05 09:00:00,0.0,5.7,1018.9,97.0,6.1,0.45598,0.0,0.0
2022-01-05 10:00:00,0.0,5.1,1019.9,93.0,6.1,0.452163,0.0,0.0
2022-01-05 11:00:00,0.0,5.0,1020.3,89.0,6.7,0.45324,230.0,9.4
2022-01-05 12:00:00,0.0,5.1,1021.5,93.0,6.1,0.489952,250.0,9.4
2022-01-05 13:00:00,0.0,5.1,1021.6,93.0,6.1,0.550964,230.0,9.4
2022-01-05 14:00:00,0.2,5.1,1021.9,93.0,6.1,0.604243,290.0,5.4
2022-01-05 15:00:00,0.3,4.4,1022.4,92.0,5.6,0.662719,0.0,0.0
2022-01-05 16:00:00,0.5,3.9,1022.5,89.0,5.6,0.667402,0.0,0.0
2022-01-05 17:00:00,0.3,4.4,1022.7,96.0,5.0,0.676474,0.0,0.0
2022-01-05 18:00:00,0.8,5.1,1022.8,93.0,6.1,0.678805,0.0,0.0
2022-01-05 19:00:00,1.0,5.1,1022.6,93.0,6.1,0.67252,130.0,11.2
2022-01-05 20:00:00,1.3,5.0,1022.1,89.0,6.7,0.683091,110.0,5.4
2022-01-05 21:00:00,1.3,5.0,1021.7,89.0,6.7,0.672398,0.0,0.0
2022-01-05 22:00:00,1.8,5.1,1020.2,93.0,6.1,0.670018,90.0,7.6
2022-01-05 23:00:00,2.3,4.4,1019.6,89.0,6.1,0.683193,70.0,5.4
2022-01-06 00:00:00,1.0,4.4,1018.8,92.0,5.6,0.713132,50.0,7.6
2022-01-06 01:00:00,0.8,4.0,1017.8,93.0,5.0,0.746645,0.0,0.0
2022-01-06 02:00:00,1.5,3.6,1017.0,97.0,4.0,0.744316,340.0,7.0
2022-01-06 03:00:00,1.0,4.0,1016.6,97.0,4.4,0.710316,340.0,7.6
2022-01-06 04:00:00,1.5,4.0,1016.6,97.0,4.4,0.681036,310.0,5.4
2022-01-06 05:00:00,1.0,4.0,1016.4,93.0,5.0,0.614449,0.0,0.0
2022-01-06 06:00:00,0.3,4.0,1015.5,93.0,5.0,0.549654,0.0,0.0
2022-01-06 07:00:00,0.1,4.4,1014.4,96.0,5.0,0.490123,0.0,0.0
2022-01-06 08:00:00,0.2,4.4,1013.0,92.0,5.6,0.448333,0.0,0.0
2022-01-06 09:00:00,0.5,5.0,1012.5,96.0,5.6,0.440274,0.0,0.0
2022-01-06 10:00:00,0.8,9.9,1011.2,86.0,12.2,0.420177,190.0,20.5
2022-01-06 11:00:00,0.5,9.9,1011.3,86.0,12.2,0.418579,190.0,27.7
2022-01-06 12:00:00,0.8,9.9,1011.2,86.0,12.2,0.428844,200.0,24.1
2022-01-06 13:00:00,0.8,9.4,1010.8,83.0,12.2,0.484091,200.0,16.6
2022-01-06 14:00:00,1.5,10.6,1010.7,90.0,12.2,0.555492,210.0,14.8
2022-01-06 15:00:00,3.0,10.6,1011.0,90.0,12.2,0.595271,220.0,20.5
2022-01-06 16:00:00,0.3,10.6,1010.8,90.0,12.2,0.603052,200.0,25.9
2022-01-06 17:00:00,0.0,10.0,1010.6,83.0,12.8,0.609237,190.0,29.5
2022-01-06 18:00:00,0.7,9.9,1010.8,86.0,12.2,0.603097,190.0,35.3
2022-01-06 19:00:00,0.8,9.4,1010.6,80.0,12.8,0.592975,190.0,29.5
2022-01-06 20:00:00,0.0,9.4,1009.6,80.0,12.8,0.573167,190.0,31.7
2022-01-06 21:00:00,0.1,10.0,1008.4,83.0,12.8,0.574288,180.0,37.1
2022-01-06 22:00:00,0.1,9.9,1007.7,86.0,12.2,0.571973,180.0,35.3
2022-01-06 23:00:00,0.0,9.4,1007.4,83.0,12.2,0.583707,200.0,25.9
2022-01-07 00:00:00,0.0,8.3,1006.7,77.0,12.2,0.608021,200.0,35.3
2022-01-07 01:00:00,0.0,8.3,1006.4,83.0,11.1,0.649146,190.0,24.1
2022-01-07 02:00:00,0.0,7.8,1005.6,80.0,11.1,0.618066,200.0,18.4
2022-01-07 03:00:00,0.0,6.6,1004.1,74.0,11.1,0.58576,190.0,20.5
2022-01-07 04:00:00,0.0,6.0,1003.0,71.0,11.1,0.549969,200.0,16.6
2022-01-07 05:00:00,0.6,6.6,1002.1,74.0,11.1,0.516339,190.0,16.6
2022-01-07 06:00:00,1.8,6.7,1000.4,77.0,10.6,0.470516,190.0,22.3
2022-01-07 07:00:00,0.5,6.7,999.5,77.0,10.6,0.433296,190.0,25.9
2022-01-07 08:00:00,1.3,8.3,998.8,89.0,10.0,0.410719,190.0,24.1
2022-01-07 09:00:00,1.0,7.8,997.4,86.0,10.0,0.397733,190.0,25.9
2022-01-07 10:00:00,0.3,7.8,996.6,86.0,10.0,0.394528,190.0,22.3
2022-01-07 11:00:00,0.0,7.8,996.1,86.0,10.0,0.408376,170.0,27.7
2022-01-07 12:00:00,1.8,8.3,995.1,89.0,10.0,0.427344,170.0,25.9
2022-01-07 13:00:00,1.0,7.8,993.7,83.0,10.6,0.473015,170.0,31.7
2022-01-07 14:00:00,1.8,8.4,992.7,86.0,10.6,0.53611,170.0,31.7
2022-01-07 15:00:00,1.0,7.8,993.1,83.0,10.6,0.579605,210.0,35.3
2022-01-07 16:00:00,0.5,5.1,998.2,80.0,8.3,0.601457,240.0,38.9
2022-01-07 17:00:00,0.9,4.0,1001.6,80.0,7.2,0.617996,230.0,33.5
2022-01-07 18:00:00,0.0,4.0,1004.3,80.0,7.2,0.617643,230.0,33.5
2022-01-07 19:00:00,0.1,4.0,1006.9,80.0,7.2,0.612862,220.0,22.3
2022-01-07 20:00:00,0.0,3.8,1008.4,76.0,7.8,0.60714,250.0,22.3
2022-01-07 21:00:00,0.0,1.7,1009.3,68.0,7.2,0.507764,260.0,20.5
2022-01-07 22:00:00,0.0,2.3,1010.1,71.0,7.2,0.552439,250.0,20.5
2022-01-07 23:00:00,0.0,2.2,1010.9,73.0,6.7,0.603664,260.0,16.6
2022-01-08 00:00:00,0.0,1.6,1011.8,73.0,6.1,0.642261,240.0,11.2
2022-01-08 01:00:00,0.0,2.2,1012.7,76.0,6.1,0.678798,220.0,16.6
2022-01-08 02:00:00,0.0,2.2,1013.2,79.0,5.6,0.681176,190.0,13.0
2022-01-08 03:00:00,0.0,2.2,1014.0,79.0,5.6,0.649964,230.0,13.0
2022-01-08 04:00:00,0.1,2.8,1015.0,82.0,5.6,0.619486,230.0,14.8
2022-01-08 05:00:00,0.1,2.9,1015.8,86.0,5.0,0.569899,190.0,11.2
2022-01-08 06:00:00,0.0,2.2,1016.3,82.0,5.0,0.541069,220.0,7.6
2022-01-08 07:00:00,0.0,2.3,1016.8,89.0,3.9,0.492131,260.0,11.2
2022-01-08 08:00:00,0.0,2.3,1017.6,86.0,4.4,0.486392,190.0,13.0
2022-01-08 09:00:00,0.0,2.9,1018.3,86.0,5.0,0.469082,160.0,13.0
2022-01-08 10:00:00,0.0,2.9,1019.2,86.0,5.0,0.459612,0.0,0.0
2022-01-08 11:00:00,0.0,2.9,1020.1,86.0,5.0,0.46647,0.0,0.0
2022-01-08 12:00:00,0.3,2.7,1020.4,89.0,4.4,0.485495,250.0,7.6
2022-01-08 13:00:00,0.0,2.9,1020.5,86.0,5.0,0.514473,220.0,7.6
2022-01-08 14:00:00,0.0,3.3,1021.5,89.0,5.0,0.559298,220.0,11.2
2022-01-08 15:00:00,0.0,2.9,1022.0,86.0,5.0,0.618068,0.0,0.0
2022-01-08 16:00:00,0.0,2.7,1022.7,89.0,4.4,0.65814,0.0,0.0
2022-01-08 17:00:00,0.0,3.3,1023.9,89.0,5.0,0.681349,0.0,0.0
2022-01-08 18:00:00,0.0,3.3,1024.5,82.0,6.1,0.657187,0.0,0.0
2022-01-08 19:00:00,0.0,3.8,1025.1,76.0,7.8,0.568604,0.0,0.0
2022-01-08 20:00:00,0.0,3.8,1024.9,76.0,7.8,0.468477,0.0,0.0
2022-01-08 21:00:00,0.0,4.3,1024.3,73.0,8.9,0.432577,0.0,0.0
2022-01-08 22:00:00,0.0,4.0,1024.0,69.0,9.4,0.451817,0.0,0.0
2022-01-08 23:00:00,0.0,4.0,1024.2,69.0,9.4,0.504599,0.0,0.0
2022-01-09 00:00:00,0.0,3.9,1024.5,74.0,8.3,0.565232,360.0,5.4
2022-01-09 01:00:00,0.0,2.8,1024.6,76.0,6.7,0.633171,10.0,7.6
2022-01-09 02:00:00,0.0,2.8,1024.5,82.0,5.6,0.639607,340.0,9.4
2022-01-09 03:00:00,0.0,2.3,1024.5,86.0,4.4,0.645026,340.0,11.2
2022-01-09 04:00:00,0.0,2.3,1024.8,89.0,3.9,0.619577,340.0,11.2
2022-01-09 05:00:00,0.0,1.7,1024.8,89.0,3.3,0.593267,350.0,13.0
2022-01-09 06:00:00,0.0,1.0,1025.0,92.0,2.2,0.556188,350.0,9.4
2022-01-09 07:00:00,0.0,1.0,1025.1,92.0,2.2,0.530756,340.0,13.0
2022-01-09 08:00:00,0.0,0.6,1025.0,89.0,2.2,0.510488,350.0,11.2
2022-01-09 09:00:00,0.0,0.5,1024.6,92.0,1.7,0.508062,350.0,9.4
2022-01-09 10:00:00,0.0,0.5,1024.5,92.0,1.7,0.517208,350.0,9.4
2022-01-09 11:00:00,0.0,-0.7,1024.8,88.0,1.1,0.524458,340.0,9.4
2022-01-09 12:00:00,0.0,-0.6,1024.8,92.0,0.6,0.552464,0.0,0.0
2022-01-09 13:00:00,0.0,-0.7,1024.7,88.0,1.1,0.607797,350.0,11.2
2022-01-09 14:00:00,0.0,-0.6,1024.8,92.0,0.6,0.66313,360.0,7.6
2022-01-09 15:00:00,0.0,-0.6,1025.3,92.0,0.6,0.700218,0.0,0.0
2022-01-09 16:00:00,0.0,-2.2,1025.4,92.0,-1.1,0.727181,270.0,7.6
2022-01-09 17:00:00,0.0,-1.2,1025.8,88.0,0.6,0.697612,0.0,0.0
2022-01-09 18:00:00,0.0,1.7,1026.5,89.0,3.3,0.623907,0.0,0.0
2022-01-09 19:00:00,0.0,2.2,1026.4,73.0,6.7,0.521549,340.0,7.6
2022-01-09 20:00:00,0.0,2.2,1025.9,63.0,8.9,0.483856,360.0,7.6
2022-01-09 21:00:00,0.0,1.6,1025.6,56.0,10.0,0.437021,0.0,0.0
2022-01-09 22:00:00,0.0,2.1,1025.2,54.0,11.1,0.483288,0.0,0.0
2022-01-09 23:00:00,0.0,2.2,1025.1,52.0,11.7,0.518503,10.0,5.4
2022-01-10 00:00:00,0.0,2.9,1025.1,59.0,10.6,0.597037,330.0,7.6
2022-01-10 01:00:00,0.0,1.6,1025.3,56.0,10.0,0.679228,350.0,7.6
2022-01-10 02:00:00,0.0,1.7,1025.3,68.0,7.2,0.695897,340.0,9.4
2022-01-10 03:00:00,0.0,1.1,1025.7,82.0,3.9,0.707773,360.0,9.4
2022-01-10 04:00:00,0.0,1.1,1025.5,82.0,3.9,0.659698,360.0,11.2
2022-01-10 05:00:00,0.0,0.6,1025.6,79.0,3.9,0.608046,340.0,13.0
2022-01-10 06:00:00,0.0,0.0,1025.8,79.0,3.3,0.54241,350.0,13.0
2022-01-10 07:00:00,0.0,-0.6,1026.4,82.0,2.2,0.523021,350.0,9.4
2022-01-10 08:00:00,0.0,-0.7,1026.9,78.0,2.8,0.504273,360.0,5.4
2022-01-10 09:00:00,0.0,-0.7,1027.0,88.0,1.1,0.499625,0.0,0.0
2022-01-10 10:00:00,0.0,-1.2,1027.0,88.0,0.6,0.506373,10.0,7.6
2022-01-10 11:00:00,0.0,-1.2,1027.5,88.0,0.6,0.526084,250.0,5.4
2022-01-10 12:00:00,0.0,-0.6,1027.4,92.0,0.6,0.5509,0.0,0.0
2022-01-10 13:00:00,0.0,-0.7,1027.7,88.0,1.1,0.641501,0.0,0.0
2022-01-10 14:00:00,0.2,-0.1,1028.1,92.0,1.1,0.716631,0.0,0.0
2022-01-10 15:00:00,0.8,0.5,1029.2,92.0,1.7,0.769943,0.0,0.0
2022-01-10 16:00:00,0.8,1.0,1029.6,92.0,2.2,0.772815,100.0,5.4
2022-01-10 17:00:00,0.5,1.8,1030.8,93.0,2.8,0.751732,0.0,0.0
2022-01-10 18:00:00,0.5,1.7,1031.2,89.0,3.3,0.751232,0.0,0.0
2022-01-10 19:00:00,0.0,2.3,1031.3,89.0,3.9,0.734415,360.0,7.6
2022-01-10 20:00:00,0.0,3.3,1030.3,89.0,5.0,0.670593,330.0,5.4
2022-01-10 21:00:00,0.0,3.3,1029.9,82.0,6.1,0.550414,330.0,5.4
2022-01-10 22:00:00,0.0,4.0,1029.6,80.0,7.2,0.616458,340.0,7.6
2022-01-10 23:00:00,0.0,4.3,1029.3,82.0,7.2,0.638888,340.0,5.4
2022-01-11 00:00:00,0.0,5.1,1028.7,83.0,7.8,0.662053,0.0,0.0
2022-01-11 01:00:00,0.0,4.4,1029.0,89.0,6.1,0.711387,60.0,5.4
2022-01-11 02:00:00,0.0,4.4,1028.7,89.0,6.1,0.702753,290.0,5.4
2022-01-11 03:00:00,0.0,4.4,1027.7,92.0,5.6,0.668519,0.0,0.0
2022-01-11 04:00:00,0.0,4.4,1027.5,96.0,5.0,0.637455,0.0,0.0
2022-01-11 05:00:00,0.0,5.1,1027.5,93.0,6.1,0.579501,0.0,0.0
2022-01-11 06:00:00,0.0,5.1,1027.1,93.0,6.1,0.521006,0.0,0.0
2022-01-11 07:00:00,0.0,5.0,1027.0,96.0,5.6,0.486512,160.0,5.4
2022-01-11 08:00:00,0.0,5.1,1027.5,93.0,6.1,0.455633,0.0,0.0
2022-01-11 09:00:00,0.0,4.4,1027.6,92.0,5.6,0.440965,0.0,0.0
2022-01-11 10:00:00,0.0,4.4,1027.1,92.0,5.6,0.440545,40.0,7.6
2022-01-11 11:00:00,0.0,4.4,1027.0,96.0,5.0,0.448428,0.0,0.0
2022-01-11 12:00:00,0.0,4.4,1027.1,92.0,5.6,0.46065,0.0,0.0
2022-01-11 13:00:00,0.2,5.1,1026.7,93.0,6.1,0.526505,0.0,0.0
2022-01-11 14:00:00,0.8,5.1,1026.7,93.0,6.1,0.599431,0.0,0.0
2022-01-11 15:00:00,0.8,5.1,1026.7,93.0,6.1,0.629654,0.0,0.0
2022-01-11 16:00:00,0.3,5.1,1026.6,93.0,6.1,0.610746,0.0,0.0
2022-01-11 17:00:00,0.4,5.6,1026.2,93.0,6.7,0.621611,0.0,0.0
2022-01-11 18:00:00,0.1,6.1,1026.8,93.0,7.2,0.61595,0.0,0.0
2022-01-11 19:00:00,0.1,6.8,1026.6,90.0,8.3,0.597281,0.0,0.0
2022-01-11 20:00:00,0.0,7.2,1025.6,89.0,8.9,0.599,20.0,5.4
2022-01-11 21:00:00,0.0,7.2,1025.1,86.0,9.4,0.577765,0.0,0.0
2022-01-11 22:00:00,0.0,8.4,1024.1,86.0,10.6,0.572146,0.0,0.0
2022-01-11 23:00:00,0.0,8.4,1023.9,86.0,10.6,0.567987,50.0,5.4
2022-01-12 00:00:00,0.0,8.4,1023.8,86.0,10.6,0.602923,360.0,5.4
2022-01-12 01:00:00,0.0,8.4,1023.6,86.0,10.6,0.615377,0.0,0.0
2022-01-12 02:00:00,0.0,8.4,1023.2,80.0,11.7,0.626721,140.0,14.8
2022-01-12 03:00:00,0.0,8.3,1022.9,77.0,12.2,0.599846,140.0,14.8
2022-01-12 04:00:00,0.0,8.4,1022.9,80.0,11.7,0.569011,140.0,14.8
2022-01-12 05:00:00,0.0,8.4,1022.8,72.0,13.3,0.500859,180.0,18.4
2022-01-12 06:00:00,0.0,8.4,1023.0,72.0,13.3,0.445031,190.0,11.2
2022-01-12 07:00:00,0.0,8.3,1023.4,74.0,12.8,0.408989,0.0,0.0
2022-01-12 08:00:00,0.0,7.8,1023.3,77.0,11.7,0.385411,220.0,14.8
2022-01-12 09:00:00,0.0,7.8,1023.7,77.0,11.7,0.367278,0.0,0.0
2022-01-12 10:00:00,0.0,7.8,1023.4,77.0,11.7,0.364344,0.0,0.0
2022-01-12 11:00:00,0.0,7.8,1023.7,77.0,11.7,0.356193,0.0,0.0
2022-01-12 12:00:00,0.0,7.8,1023.0,80.0,11.1,0.376292,0.0,0.0
2022-01-12 13:00:00,0.0,7.2,1022.4,86.0,9.4,0.442794,0.0,0.0
2022-01-12 14:00:00,0.0,7.2,1022.5,86.0,9.4,0.51015,30.0,7.6
2022-01-12 15:00:00,0.0,7.2,1022.1,89.0,8.9,0.5454,0.0,0.0
2022-01-12 16:00:00,0.0,6.8,1022.0,90.0,8.3,0.549738,0.0,0.0
2022-01-12 17:00:00,0.0,6.1,1022.0,93.0,7.2,0.529436,0.0,0.0
2022-01-12 18:00:00,0.0,7.8,1022.1,86.0,10.0,0.51149,0.0,0.0
2022-01-12 19:00:00,0.0,6.6,1022.0,74.0,11.1,0.425644,0.0,0.0
2022-01-12 20:00:00,0.0,6.2,1021.2,64.0,12.8,0.418728,0.0,0.0
2022-01-12 21:00:00,0.0,6.6,1020.6,64.0,13.3,0.379566,0.0,0.0
2022-01-12 22:00:00,0.0,6.7,1020.0,60.0,14.4,0.435544,110.0,9.4
2022-01-12 23:00:00,0.0,7.9,1019.4,67.0,13.9,0.463158,120.0,7.6
2022-01-13 00:00:00,0.0,7.7,1018.9,69.0,13.3,0.493323,60.0,5.4
2022-01-13 01:00:00,0.0,6.7,1018.5,77.0,10.6,0.549594,350.0,9.4
2022-01-13 02:00:00,0.0,5.6,1018.2,83.0,8.3,0.585293,0.0,0.0
2022-01-13 03:00:00,0.0,5.1,1018.9,93.0,6.1,0.583653,270.0,11.2
2022-01-13 04:00:00,0.0,5.1,1019.0,93.0,6.1,0.577732,0.0,0.0
2022-01-13 05:00:00,0.0,4.0,1019.2,93.0,5.0,0.521807,0.0,0.0
2022-01-13 06:00:00,0.0,5.1,1018.7,93.0,6.1,0.471655,90.0,7.6
2022-01-13 07:00:00,0.0,5.0,1018.6,89.0,6.7,0.420924,100.0,14.8
2022-01-13 08:00:00,0.0,5.7,1018.3,90.0,7.2,0.412114,300.0,7.6
2022-01-13 09:00:00,0.3,5.6,1018.1,93.0,6.7,0.403055,0.0,0.0
2022-01-13 10:00:00,0.0,5.1,1017.7,93.0,6.1,0.395416,0.0,0.0
2022-01-13 11:00:00,0.2,5.0,1017.6,89.0,6.7,0.399386,10.0,7.0
2022-01-13 12:00:00,1.0,6.7,1017.1,93.0,7.8,0.419682,0.0,0.0
2022-01-13 13:00:00,0.0,7.8,1017.2,83.0,10.6,0.480145,190.0,22.3
2022-01-13 14:00:00,0.3,7.8,1018.0,86.0,10.0,0.550304,180.0,16.6
