DT,dwpt,prcp,rhum,temp,wdir,wspd,Amity
1/3/2022 16:00,3.3,1,89,5,160,24.1,0.696163
1/3/2022 17:00,2.9,2.8,86,5,180,18.4,0.736765
1/3/2022 18:00,2.3,0.7,86,4.4,170,22.3,0.753039
1/3/2022 19:00,2.3,1.3,86,4.4,170,13,0.743226
1/3/2022 20:00,2.9,0.6,86,5,160,16.6,0.743707
1/3/2022 21:00,2.9,1.3,86,5,230,18.4,0.741851
1/3/2022 22:00,1.7,0.4,79,5,220,20.5,0.735648
1/3/2022 23:00,2.8,0,82,5.6,170,7.6,0.754791
1/4/2022 0:00,2.2,1.2,82,5,200,24.1,0.790473
1/4/2022 1:00,1.2,1.8,86,3.3,190,18.4,0.807057
1/4/2022 2:00,0.6,0.1,89,2.2,170,16.6,0.813157
1/4/2022 3:00,1,0.8,92,2.2,0,0,0.777721
1/4/2022 4:00,1,0.3,92,2.2,160,7.6,0.7453
1/4/2022 5:00,0.6,0,89,2.2,30,5.4,0.688859
1/4/2022 6:00,1.2,0.5,89,2.8,130,5.4,0.599137
1/4/2022 7:00,1.8,0.3,93,2.8,130,9.4,0.543845
1/4/2022 8:00,1.7,0,89,3.3,150,11.2,0.542998
1/4/2022 9:00,1.7,0,89,3.3,0,0,0.529808
1/4/2022 10:00,1.7,0,89,3.3,130,11.2,0.521671
1/4/2022 11:00,1.7,0,89,3.3,150,7.6,0.538219
1/4/2022 12:00,1.8,0,83,4.4,180,18.4,0.56877
1/4/2022 13:00,2.3,0.5,86,4.4,220,14.8,0.630391
1/4/2022 14:00,2.3,0.3,86,4.4,210,13,0.712658
1/4/2022 15:00,2.3,0,89,3.9,0,0,0.771641
1/4/2022 16:00,2.3,0,89,3.9,150,9.4,0.743071
1/4/2022 17:00,2.7,0.4,89,4.4,200,5.4,0.745971
1/4/2022 18:00,3.3,0.1,89,5,160,13,0.705143
1/4/2022 19:00,4.4,0.3,85,6.7,0,0,0.702894
1/4/2022 20:00,4.4,0.1,89,6.1,170,16.6,0.707288
1/4/2022 21:00,5.1,0.3,83,7.8,190,14.8,0.707478
1/4/2022 22:00,5.1,0.3,83,7.8,160,13,0.69356
1/4/2022 23:00,6.1,0.2,93,7.2,150,11.2,0.693616
1/5/2022 0:00,6.1,1,93,7.2,150,11.2,0.723104
1/5/2022 1:00,6.1,1.3,93,7.2,160,16.6,0.754064
1/5/2022 2:00,5.7,0.5,90,7.2,140,13,0.762527
1/5/2022 3:00,5.6,0.3,93,6.7,140,7.6,0.712902
1/5/2022 4:00,5.6,0.5,93,6.7,150,11.2,0.670412
1/5/2022 5:00,5.7,0.1,90,7.2,0,0,0.616307
1/5/2022 6:00,6.1,0,93,7.2,240,11.2,0.54266
1/5/2022 7:00,6.1,0.3,93,7.2,240,9.4,0.490843
1/5/2022 8:00,5.6,0,93,6.7,0,0,0.469428
1/5/2022 9:00,5.7,0,97,6.1,0,0,0.45598
1/5/2022 10:00,5.1,0,93,6.1,0,0,0.452163
1/5/2022 11:00,5,0,89,6.7,230,9.4,0.45324
1/5/2022 12:00,5.1,0,93,6.1,250,9.4,0.489952
1/5/2022 13:00,5.1,0,93,6.1,230,9.4,0.550964
1/5/2022 14:00,5.1,0.2,93,6.1,290,5.4,0.604243
1/5/2022 15:00,4.4,0.3,92,5.6,0,0,0.662719
1/5/2022 16:00,3.9,0.5,89,5.6,0,0,0.667402
1/5/2022 17:00,4.4,0.3,96,5,0,0,0.676474
1/5/2022 18:00,5.1,0.8,93,6.1,0,0,0.678805
1/5/2022 19:00,5.1,1,93,6.1,130,11.2,0.67252
1/5/2022 20:00,5,1.3,89,6.7,110,5.4,0.683091
1/5/2022 21:00,5,1.3,89,6.7,0,0,0.672398
1/5/2022 22:00,5.1,1.8,93,6.1,90,7.6,0.670018
1/5/2022 23:00,4.4,2.3,89,6.1,70,5.4,0.683193
1/6/2022 0:00,4.4,1,92,5.6,50,7.6,0.713132
1/6/2022 1:00,4,0.8,93,5,0,0,0.746645
1/6/2022 2:00,4,1.5,100,4,340,9,0.744316
1/6/2022 3:00,4,1,97,4.4,340,7.6,0.710316
1/6/2022 4:00,4,1.5,97,4.4,310,5.4,0.681036
1/6/2022 5:00,4,1,93,5,0,0,0.614449
1/6/2022 6:00,4,0.3,93,5,0,0,0.549654
1/6/2022 7:00,4.4,0.1,96,5,0,0,0.490123
1/6/2022 8:00,4.4,0.2,92,5.6,0,0,0.448333
1/6/2022 9:00,5,0.5,96,5.6,0,0,0.440274
1/6/2022 10:00,9.9,0.8,86,12.2,190,20.5,0.420177
1/6/2022 11:00,9.9,0.5,86,12.2,190,27.7,0.418579
1/6/2022 12:00,9.9,0.8,86,12.2,200,24.1,0.428844
1/6/2022 13:00,9.4,0.8,83,12.2,200,16.6,0.484091
1/6/2022 14:00,10.6,1.5,90,12.2,210,14.8,0.555492
1/6/2022 15:00,10.6,3,90,12.2,220,20.5,0.595271
1/6/2022 16:00,10.6,0.3,90,12.2,200,25.9,0.603052
1/6/2022 17:00,10,0,83,12.8,190,29.5,0.609238
1/6/2022 18:00,9.9,0.7,86,12.2,190,35.3,0.603097
1/6/2022 19:00,9.4,0.8,80,12.8,190,29.5,0.592975
1/6/2022 20:00,9.4,0,80,12.8,190,31.7,0.573167
1/6/2022 21:00,10,0.1,83,12.8,180,37.1,0.574288
1/6/2022 22:00,9.9,0.1,86,12.2,180,35.3,0.571973
1/6/2022 23:00,9.4,0,83,12.2,200,25.9,0.583707
1/7/2022 0:00,8.3,0,77,12.2,200,35.3,0.608021
1/7/2022 1:00,8.3,0,83,11.1,190,24.1,0.649146
1/7/2022 2:00,7.8,0,80,11.1,200,18.4,0.618066
1/7/2022 3:00,6.6,0,74,11.1,190,20.5,0.58576
1/7/2022 4:00,6,0,71,11.1,200,16.6,0.549969
1/7/2022 5:00,6.6,0.6,74,11.1,190,16.6,0.516339
1/7/2022 6:00,6.7,1.8,77,10.6,190,22.3,0.470516
1/7/2022 7:00,6.7,0.5,77,10.6,190,25.9,0.433296
1/7/2022 8:00,8.3,1.3,89,10,190,24.1,0.410718
1/7/2022 9:00,7.8,1,86,10,190,25.9,0.397733
1/7/2022 10:00,7.8,0.3,86,10,190,22.3,0.394528
1/7/2022 11:00,7.8,0,86,10,170,27.7,0.408376
1/7/2022 12:00,8.3,1.8,89,10,170,25.9,0.427344
1/7/2022 13:00,7.8,1,83,10.6,170,31.7,0.473015
1/7/2022 14:00,8.4,1.8,86,10.6,170,31.7,0.53611
1/7/2022 15:00,7.8,1,83,10.6,210,35.3,0.579605
1/7/2022 16:00,5.1,0.5,80,8.3,240,38.9,0.601457
1/7/2022 17:00,4,0.9,80,7.2,230,33.5,0.617996
1/7/2022 18:00,4,0,80,7.2,230,33.5,0.617643
1/7/2022 19:00,4,0.1,80,7.2,220,22.3,0.612862
1/7/2022 20:00,3.8,0,76,7.8,250,22.3,0.60714
1/7/2022 21:00,1.7,0,68,7.2,260,20.5,0.507764
1/7/2022 22:00,2.3,0,71,7.2,250,20.5,0.552439
1/7/2022 23:00,2.2,0,73,6.7,260,16.6,0.603664
1/8/2022 0:00,1.6,0,73,6.1,240,11.2,0.642261
1/8/2022 1:00,2.2,0,76,6.1,220,16.6,0.678798
1/8/2022 2:00,2.2,0,79,5.6,190,13,0.681176
1/8/2022 3:00,2.2,0,79,5.6,230,13,0.649964
1/8/2022 4:00,2.8,0.1,82,5.6,230,14.8,0.619486
1/8/2022 5:00,2.9,0.1,86,5,190,11.2,0.5699
1/8/2022 6:00,2.2,0,82,5,220,7.6,0.541069
1/8/2022 7:00,2.3,0,89,3.9,260,11.2,0.492131
1/8/2022 8:00,2.3,0,86,4.4,190,13,0.486392
1/8/2022 9:00,2.9,0,86,5,160,13,0.469082
1/8/2022 10:00,2.9,0,86,5,0,0,0.459612
1/8/2022 11:00,2.9,0,86,5,0,0,0.46647
1/8/2022 12:00,2.7,0.3,89,4.4,250,7.6,0.485495
1/8/2022 13:00,2.9,0,86,5,220,7.6,0.514473
1/8/2022 14:00,3.3,0,89,5,220,11.2,0.559298
1/8/2022 15:00,2.9,0,86,5,0,0,0.618068
1/8/2022 16:00,2.7,0,89,4.4,0,0,0.65814
1/8/2022 17:00,3.3,0,89,5,0,0,0.681349
1/8/2022 18:00,3.3,0,82,6.1,0,0,0.657187
1/8/2022 19:00,3.8,0,76,7.8,0,0,0.568604
1/8/2022 20:00,3.8,0,76,7.8,0,0,0.468477
1/8/2022 21:00,4.3,0,73,8.9,0,0,0.432577
1/8/2022 22:00,4,0,69,9.4,0,0,0.451817
1/8/2022 23:00,4,0,69,9.4,0,0,0.504599
1/9/2022 0:00,3.9,0,74,8.3,360,5.4,0.565232
1/9/2022 1:00,2.8,0,76,6.7,10,7.6,0.633171
1/9/2022 2:00,2.8,0,82,5.6,340,9.4,0.639607
1/9/2022 3:00,2.3,0,86,4.4,340,11.2,0.645026
1/9/2022 4:00,2.3,0,89,3.9,340,11.2,0.619577
1/9/2022 5:00,1.7,0,89,3.3,350,13,0.593267
1/9/2022 6:00,1,0,92,2.2,350,9.4,0.556188
1/9/2022 7:00,1,0,92,2.2,340,13,0.530756
1/9/2022 8:00,0.6,0,89,2.2,350,11.2,0.510488
1/9/2022 9:00,0.5,0,92,1.7,350,9.4,0.508062
1/9/2022 10:00,0.5,0,92,1.7,350,9.4,0.517208
1/9/2022 11:00,-0.7,0,88,1.1,340,9.4,0.524458
1/9/2022 12:00,-0.6,0,92,0.6,0,0,0.552464
1/9/2022 13:00,-0.7,0,88,1.1,350,11.2,0.607797
1/9/2022 14:00,-0.6,0,92,0.6,360,7.6,0.66313
1/9/2022 15:00,-0.6,0,92,0.6,0,0,0.700218
1/9/2022 16:00,-2.2,0,92,-1.1,270,7.6,0.727181
1/9/2022 17:00,-1.2,0,88,0.6,0,0,0.697612
1/9/2022 18:00,1.7,0,89,3.3,0,0,0.623907
1/9/2022 19:00,2.2,0,73,6.7,340,7.6,0.521549
1/9/2022 20:00,2.2,0,63,8.9,360,7.6,0.483856
1/9/2022 21:00,1.6,0,56,10,0,0,0.437021
1/9/2022 22:00,2.1,0,54,11.1,0,0,0.483288
1/9/2022 23:00,2.2,0,52,11.7,10,5.4,0.518503
1/10/2022 0:00,2.9,0,59,10.6,330,7.6,0.597037
1/10/2022 1:00,1.6,0,56,10,350,7.6,0.679228
1/10/2022 2:00,1.7,0,68,7.2,340,9.4,0.695897
1/10/2022 3:00,1.1,0,82,3.9,360,9.4,0.707773
1/10/2022 4:00,1.1,0,82,3.9,360,11.2,0.659698
1/10/2022 5:00,0.6,0,79,3.9,340,13,0.608046
1/10/2022 6:00,0,0,79,3.3,350,13,0.54241
1/10/2022 7:00,-0.6,0,82,2.2,350,9.4,0.523021
1/10/2022 8:00,-0.7,0,78,2.8,360,5.4,0.504273
1/10/2022 9:00,-0.7,0,88,1.1,0,0,0.499625
1/10/2022 10:00,-1.2,0,88,0.6,10,7.6,0.506373
1/10/2022 11:00,-1.2,0,88,0.6,250,5.4,0.526084
1/10/2022 12:00,-0.6,0,92,0.6,0,0,0.5509
1/10/2022 13:00,-0.7,0,88,1.1,0,0,0.641501
1/10/2022 14:00,-0.1,0.2,92,1.1,0,0,0.716631
1/10/2022 15:00,0.5,0.8,92,1.7,0,0,0.769943
1/10/2022 16:00,1,0.8,92,2.2,100,5.4,0.772815
1/10/2022 17:00,1.8,0.5,93,2.8,0,0,0.751732
1/10/2022 18:00,1.7,0.5,89,3.3,0,0,0.751232
1/10/2022 19:00,2.3,0,89,3.9,360,7.6,0.734415
1/10/2022 20:00,3.3,0,89,5,330,5.4,0.670593
1/10/2022 21:00,3.3,0,82,6.1,330,5.4,0.550414
1/10/2022 22:00,4,0,80,7.2,340,7.6,0.616458
1/10/2022 23:00,4.3,0,82,7.2,340,5.4,0.638888
1/11/2022 0:00,5.1,0,83,7.8,0,0,0.662053
1/11/2022 1:00,4.4,0,89,6.1,60,5.4,0.711387
1/11/2022 2:00,4.4,0,89,6.1,290,5.4,0.702753
1/11/2022 3:00,4.4,0,92,5.6,0,0,0.668519
1/11/2022 4:00,4.4,0,96,5,0,0,0.637455
1/11/2022 5:00,5.1,0,93,6.1,0,0,0.579501
1/11/2022 6:00,5.1,0,93,6.1,0,0,0.521006
1/11/2022 7:00,5,0,96,5.6,160,5.4,0.486512
1/11/2022 8:00,5.1,0,93,6.1,0,0,0.455633
1/11/2022 9:00,4.4,0,92,5.6,0,0,0.440965
1/11/2022 10:00,4.4,0,92,5.6,40,7.6,0.440545
1/11/2022 11:00,4.4,0,96,5,0,0,0.448428
1/11/2022 12:00,4.4,0,92,5.6,0,0,0.46065
1/11/2022 13:00,5.1,0.2,93,6.1,0,0,0.526505
1/11/2022 14:00,5.1,0.8,93,6.1,0,0,0.599431
1/11/2022 15:00,5.1,0.8,93,6.1,0,0,0.629654
1/11/2022 16:00,5.1,0.3,93,6.1,0,0,0.610746
1/11/2022 17:00,5.6,0.4,93,6.7,0,0,0.621611
1/11/2022 18:00,6.1,0.1,93,7.2,0,0,0.61595
1/11/2022 19:00,6.8,0.1,90,8.3,0,0,0.597281
1/11/2022 20:00,7.2,0,89,8.9,20,5.4,0.599
1/11/2022 21:00,7.2,0,86,9.4,0,0,0.577765
1/11/2022 22:00,8.4,0,86,10.6,0,0,0.572146
1/11/2022 23:00,8.4,0,86,10.6,50,5.4,0.567987
1/12/2022 0:00,8.4,0,86,10.6,360,5.4,0.602923
1/12/2022 1:00,8.4,0,86,10.6,0,0,0.615377
1/12/2022 2:00,8.4,0,80,11.7,140,14.8,0.626721
1/12/2022 3:00,8.3,0,77,12.2,140,14.8,0.599846
1/12/2022 4:00,8.4,0,80,11.7,140,14.8,0.569011
1/12/2022 5:00,8.4,0,72,13.3,180,18.4,0.500859
1/12/2022 6:00,8.4,0,72,13.3,190,11.2,0.445031
1/12/2022 7:00,8.3,0,74,12.8,0,0,0.408989
1/12/2022 8:00,7.8,0,77,11.7,220,14.8,0.385411
1/12/2022 9:00,7.8,0,77,11.7,0,0,0.367278
1/12/2022 10:00,7.8,0,77,11.7,0,0,0.364344
1/12/2022 11:00,7.8,0,77,11.7,0,0,0.356193
1/12/2022 12:00,7.8,0,80,11.1,0,0,0.376292
1/12/2022 13:00,7.2,0,86,9.4,0,0,0.442794
1/12/2022 14:00,7.2,0,86,9.4,30,7.6,0.51015
1/12/2022 15:00,7.2,0,89,8.9,0,0,0.5454
1/12/2022 16:00,6.8,0,90,8.3,0,0,0.549738
1/12/2022 17:00,6.1,0,93,7.2,0,0,0.529436
1/12/2022 18:00,7.8,0,86,10,0,0,0.51149
1/12/2022 19:00,6.6,0,74,11.1,0,0,0.425644
1/12/2022 20:00,6.2,0,64,12.8,0,0,0.418728
1/12/2022 21:00,6.6,0,64,13.3,0,0,0.379565
1/12/2022 22:00,6.7,0,60,14.4,110,9.4,0.435544
1/12/2022 23:00,7.9,0,67,13.9,120,7.6,0.463158
1/13/2022 0:00,7.7,0,69,13.3,60,5.4,0.493323
1/13/2022 1:00,6.7,0,77,10.6,350,9.4,0.549594
1/13/2022 2:00,5.6,0,83,8.3,0,0,0.585293
1/13/2022 3:00,5.1,0,93,6.1,270,11.2,0.583653
1/13/2022 4:00,5.1,0,93,6.1,0,0,0.577732
1/13/2022 5:00,4,0,93,5,0,0,0.521807
1/13/2022 6:00,5.1,0,93,6.1,90,7.6,0.471655
1/13/2022 7:00,5,0,89,6.7,100,14.8,0.420924
1/13/2022 8:00,5.7,0,90,7.2,300,7.6,0.412114
1/13/2022 9:00,5.6,0.3,93,6.7,0,0,0.403055
1/13/2022 10:00,5.1,0,93,6.1,0,0,0.395416
1/13/2022 11:00,5,0.2,89,6.7,10,7,0.399386
1/13/2022 12:00,6.7,1,93,7.8,0,0,0.419682
1/13/2022 13:00,7.8,0,83,10.6,190,22.3,0.480145
1/13/2022 14:00,7.8,0.3,86,10,180,16.6,0.550304
1/13/2022 15:00,7.2,0,86,9.4,160,18.4,0.579396
1/13/2022 16:00,7.2,0,86,9.4,160,24.1,0.580318
1/13/2022 17:00,7.8,0.2,90,9.4,160,14.8,0.59199
1/13/2022 18:00,7.8,0,86,10,160,20.5,0.587218
1/13/2022 19:00,7.8,0.1,86,10,150,16.6,0.595562
1/13/2022 20:00,8.3,0.3,89,10,150,20.5,0.575315
1/13/2022 21:00,8.9,0.1,89,10.6,170,14.8,0.555752
1/13/2022 22:00,8.9,0,89,10.6,160,16.6,0.546392
1/13/2022 23:00,8.8,0,86,11.1,160,18.4,0.533529
1/14/2022 0:00,8.8,0,86,11.1,150,13,0.563431
1/14/2022 1:00,8.9,0,89,10.6,150,9.4,0.598762
1/14/2022 2:00,8.9,0,89,10.6,160,9.4,0.601447
1/14/2022 3:00,8.9,0.3,89,10.6,200,9.4,0.571955
1/14/2022 4:00,8.9,0,93,10,200,9.4,0.540567
1/14/2022 5:00,8.3,0,89,10,0,0,0.486203
1/14/2022 6:00,8.3,0,93,9.4,0,0,0.453722
1/14/2022 7:00,7.8,0,93,8.9,0,0,0.419568
1/14/2022 8:00,8.3,0,96,8.9,0,0,0.397717
1/14/2022 9:00,7.8,0,93,8.9,350,5.4,0.381942
1/14/2022 10:00,8.3,0,96,8.9,0,0,0.382495
1/14/2022 11:00,6.8,0,97,7.2,0,0,0.388047
1/14/2022 12:00,7.2,0,93,8.3,0,0,0.41382
1/14/2022 13:00,7.2,0,93,8.3,60,9.4,0.465165
1/14/2022 14:00,6.7,0,93,7.8,310,7.6,0.501801
1/14/2022 15:00,6.1,0,93,7.2,30,5.4,0.553665
1/14/2022 16:00,6.1,0,93,7.2,50,5.4,0.557737
1/14/2022 17:00,7.2,0,93,8.3,0,0,0.532407
1/14/2022 18:00,7.8,0,93,8.9,310,5.4,0.502282
1/14/2022 19:00,7.8,0,83,10.6,20,7.6,0.50052
1/14/2022 20:00,8.3,0,89,10,110,9.4,0.521737
1/14/2022 21:00,7.2,0,86,9.4,120,5.4,0.509815
1/14/2022 22:00,7.2,0,83,10,0,0,0.427501
1/14/2022 23:00,7.2,0,74,11.7,350,9.4,0.441974
1/15/2022 0:00,7.2,0,74,11.7,30,7.6,0.49093
1/15/2022 1:00,6.7,0,80,10,340,7.6,0.55557
1/15/2022 2:00,6.1,0,86,8.3,10,5.4,0.564776
1/15/2022 3:00,4.3,0,82,7.2,350,7.6,0.561616
1/15/2022 4:00,5.1,0,93,6.1,0,0,0.555185
1/15/2022 5:00,4.4,0,92,5.6,320,5.4,0.524271
1/15/2022 6:00,4,0,93,5,350,7.6,0.499694
1/15/2022 7:00,2.3,0,93,3.3,350,7.6,0.478117
1/15/2022 8:00,2.2,0,100,2.2,0,0,0.456482
1/15/2022 9:00,1.8,0,93,2.8,330,7.6,0.446589
1/15/2022 10:00,0.7,0,97,1.1,260,7.6,0.442833
1/15/2022 11:00,-0.6,0,92,0.6,260,9.4,0.459637
1/15/2022 12:00,-0.6,0,92,0.6,0,0,0.498093
1/15/2022 13:00,-0.6,0,96,0,0,0,0.515058
1/15/2022 14:00,-0.6,0,92,0.6,0,0,0.578363
1/15/2022 15:00,-0.6,0,96,0,300,5.4,0.641087
1/15/2022 16:00,0,0,96,0.6,0,0,0.701902
1/15/2022 17:00,0,0,96,0.6,0,0,0.70199
1/15/2022 18:00,1.1,0,96,1.7,0,0,0.694341
1/15/2022 19:00,1.8,0,97,2.2,0,0,0.652602
1/15/2022 20:00,2.2,0,96,2.8,0,0,0.600838
1/15/2022 21:00,2.9,0,97,3.3,0,0,0.560322
1/15/2022 22:00,3.3,0,96,3.9,0,0,0.537647
1/15/2022 23:00,3.3,0,89,5,0,0,0.564799
1/16/2022 0:00,3.4,0,93,4.4,0,0,0.593092
1/16/2022 1:00,3.3,0,96,3.9,0,0,0.639463
1/16/2022 2:00,2.9,0,93,3.9,0,0,0.636974
1/16/2022 3:00,2.9,0,97,3.3,0,0,0.625856
1/16/2022 4:00,2.9,0,97,3.3,0,0,0.610232
1/16/2022 5:00,2.9,0,97,3.3,0,0,0.577793
1/16/2022 6:00,2.9,0,97,3.3,0,0,0.536768
1/16/2022 7:00,2.3,0,93,3.3,0,0,0.500278
1/16/2022 8:00,2.2,0,96,2.8,0,0,0.467893
1/16/2022 9:00,1.8,0,93,2.8,0,0,0.451796
1/16/2022 10:00,2.2,0,96,2.8,0,0,0.458211
1/16/2022 11:00,2.2,0,96,2.8,0,0,0.464203
1/16/2022 12:00,2.2,0,96,2.8,170,5.4,0.481246
1/16/2022 13:00,2.2,0,96,2.8,0,0,0.513697
1/16/2022 14:00,2.2,0,96,2.8,0,0,0.546045
1/16/2022 15:00,2.2,0,96,2.8,340,5.4,0.60187
1/16/2022 16:00,2.2,0,96,2.8,0,0,0.638289
1/16/2022 17:00,1.8,0,93,2.8,0,0,0.679423
1/16/2022 18:00,2.2,0,96,2.8,310,7.6,0.65041
1/16/2022 19:00,2.3,0,93,3.3,0,0,0.596856
1/16/2022 20:00,2.9,0,86,5,0,0,0.531687
1/16/2022 21:00,3.3,0,82,6.1,340,7.6,0.441184
1/16/2022 22:00,4,0,80,7.2,340,5.4,0.447241
1/16/2022 23:00,4.3,0,82,7.2,340,5.4,0.516624
1/17/2022 0:00,4.3,0,82,7.2,360,11.2,0.57745
1/17/2022 1:00,4.4,0,85,6.7,0,0,0.631999
1/17/2022 2:00,4.4,0,89,6.1,0,0,0.633229
1/17/2022 3:00,4.4,0,92,5.6,330,5.4,0.617803
1/17/2022 4:00,3.4,0,93,4.4,0,0,0.611155
1/17/2022 5:00,2.9,0,97,3.3,0,0,0.575762
1/17/2022 6:00,3.4,0,93,4.4,280,5.4,0.516133
1/17/2022 7:00,3.4,0,93,4.4,0,0,0.476186
1/17/2022 8:00,2.7,0,89,4.4,0,0,0.449461
1/17/2022 9:00,3.3,0,96,3.9,260,5.4,0.441143
1/17/2022 10:00,2.3,0,93,3.3,0,0,0.438285
1/17/2022 11:00,2.9,0,97,3.3,280,7.6,0.446492
1/17/2022 12:00,2.9,0,93,3.9,260,7.6,0.472967
1/17/2022 13:00,3.3,0,96,3.9,230,5.4,0.528363
1/17/2022 14:00,2.9,0,93,3.9,0,0,0.584552
1/17/2022 15:00,2.9,0,93,3.9,0,0,0.631008
1/17/2022 16:00,2.9,0,93,3.9,0,0,0.651646
1/17/2022 17:00,2.9,0,97,3.3,0,0,0.651578
1/17/2022 18:00,2.9,0,97,3.3,270,5.4,0.664657
1/17/2022 19:00,2.9,0,97,3.3,230,5.4,0.668578
1/17/2022 20:00,2.9,0,93,3.9,0,0,0.652669
1/17/2022 21:00,2.9,0,93,3.9,0,0,0.647642
1/17/2022 22:00,3.4,0,93,4.4,230,5.4,0.636323
1/17/2022 23:00,3.4,0,93,4.4,260,7.6,0.630599
1/18/2022 0:00,3.4,0,93,4.4,0,0,0.670858
1/18/2022 1:00,2.9,0,93,3.9,240,5.4,0.719567
1/18/2022 2:00,2.9,0,93,3.9,260,5.4,0.711868
1/18/2022 3:00,3.3,0,96,3.9,0,0,0.694597
1/18/2022 4:00,3.3,0,96,3.9,200,5.4,0.656237
1/18/2022 5:00,3.3,0,96,3.9,0,0,0.581677
1/18/2022 6:00,4,0,97,4.4,170,5.4,0.526282
1/18/2022 7:00,3.3,0,96,3.9,160,9.4,0.485924
1/18/2022 8:00,2.9,0,93,3.9,0,0,0.46078
1/18/2022 9:00,2.9,0,93,3.9,0,0,0.447844
1/18/2022 10:00,3.4,0.5,93,4.4,120,7.6,0.455166
1/18/2022 11:00,3.4,0.2,93,4.4,0,0,0.452199
1/18/2022 12:00,3.4,0,93,4.4,188,12.6,0.491464
1/18/2022 13:00,3.4,0,93,4.4,0,0,0.552705
1/18/2022 14:00,4,0.2,93,5,0,0,0.629889
1/18/2022 15:00,4,0,93,5,0,0,0.651265
1/18/2022 16:00,4,0.1,93,5,330,5.4,0.647202
1/18/2022 17:00,4,0,93,5,340,7.6,0.618562
